River,length,flowsinto
Clanence,209.00,Pacific
Conway,48.00,Pacific
Waliau,169.00,Pacific
Huruni,138.00,Pacific
Wipara,64.00,Pacific
Ashley,97.00,Pacific
Wiaimakariri,161.00,Pacific
Selwyn,95.00,Pacific
Rakaia,145.00,Pacific
Ashburton,90.00,Pacific
Rangitata,121.00,Pacific
Ophi,8.00,Pacific
Pareora,56.00,Pacific
Waihaeo,64.00,Pacific
Waitaki,209.00,Pacific
Kakanui,64.00,Pacific
Shag,72.00,Pacific
Teieri,288.00,Pacific
Clutha,322.00,Pacific
Hollyford,76.00,Tasman
Cascde,64.00,Tasman
Arawhata,68.00,Tasman
Haast,64.00,Tasman
Karangrua,37.00,Tasman
Cook,32.00,Tasman
Waliho,32.00,Tasman
Wataroa,51.00,Tasman
Wanganui,56.00,Tasman
Waitaha,40.00,Tasman
Hotjika,64.00,Tasman
Arahura,56.00,Tasman
Taramakau,80.00,Tasman
Grey,121.00,Tasman
Buler,177.00,Tasman
Mokihinai,56.00,Tasman
Karamea,80.00,Tasman
Heaphy,35.00,Tasman
Acere,72.00,Tasman
Takaka,72.00,Tasman
Motueka,108.00,Tasman
Waimea,48.00,Tasman
