Timestamp,car,gender,distance,ice_cream,rent,major,height,winter
2019,Chevrolet,Female,10,Rocky Road,1500,Accounting,72,Loved it
2019,No car/truck,Female,2,Moose Tracks,900,,68,Liked it
2019,Honda,Female,2,Mint Chocolate Chip,418,speech language pathology ,63,Loved it
2019,Ford,Female,7.3,Rocky Road,1189,Pre-Health Careers,66,Loved it
2019,Jeep,Female,5,Chocolate,815,Dental Hygienist ,63,Liked it
2019,Volkswagen,Male,5,Mint Chocolate Chip,600,Business,74,Liked it
2019,Toyota,Male,8,Sherbet,1500,Forestry Science ,71,Liked it
2019,Chevrolet,Male,10,Cookies and Cream,1400,Business Management ,72,Liked it
2019,Honda,Male,2.2,Sherbet,850,Business marketing ,66,Hated it
2019,Ford,Female,5,Vanilla,0,Dental Hygiene,63,Liked it
2019,I own a Subaru and a Jeep,Male,5,Rocky Road,0,Accounting,70,Liked it
2019,Nissan,Female,1.5,Rocky Road,1258,Forestry,67,Loved it
2019,Honda,Male,2.2,Cookie Dough,750,Forestry,66,Liked it
2019,Chevrolet,Female,10,Rocky Road,1500,Accounting,72,Loved it
2019,Hyundai,Female,12,Cookies and Cream,217,Business- Finance,67,Don't like it
2019,Toyota,Male,6.5,Cookie Dough,0,None,74,Liked it
2019,No car/truck,Male,3,Cookies and Cream,750,Accounting,68,Loved it
2019,Suzuki,Male,4,Chocolate Chip,375,Business,71,Liked it
2019,Toyota,Male,3,Strawberry,700,General Studies,69,Loved it
2019,,Male,6,Butter Pecan,500,Environmental Science,70,Loved it
2019,Toyota,Female,,Rocky Road,650,math,64,Liked it
2020,Subaru,Male,5,Cake Batter,650,BioMedical,71,Loved it
2020,Toyota,Male,5,I like them all,1758,Forestry,75,Liked it
2020,Saturn ,Female,1.3,Gelato,368,Bio Education ,64,Liked it
2020,Buick,Male,5,Cotton Candy,600,Finance,72,Liked it
2020,Honda,Male,12.7,Mint Chocolate Chip,0,Pre Health,69,Don't like it
2020,Nissan,Male,3,Cookies and Cream,590,Business,60,Don't like it
2020,Chevrolet,Male,3,Strawberry,700,Forestry ,72,Loved it
2020,Kia,Female,2,Strawberry,700,Communication sciences and disorders ,62,Loved it
2020,Toyota,,14,Reese's Peanut Butter Cup,560,General Business ,70,Loved it
2020,Volkswagen,Male,5,Mint Chocolate Chip,2100,Business,74,Loved it
2020,Ford,Female,2.2,Sherbet,678,Environmental Science,64,Loved it
2020,Nissan,Male,4,Cookie Dough,450,Finance,73,Liked it
2020,Jeep,Female,5,Vanilla,250,Nursing ,63,Liked it
2020,Ford,Male,2.3,Cookie Dough,784,Business management,67,Loved it
2020,Toyota,Male,3.5,Strawberry,600,Business Marketing,74,Loved it
2020,Dodge,Male,6,Cookies and Cream,1450,Business,71,Loved it
2020,chrysler,Male,1,Strawberry,1481,Forestry/Wildlife Management,72,Loved it
2020,Ford,Female,3,Cookies and Cream,800,Marketing,64,Liked it
2020,Ford,Female,40,Sherbet,850,Physical therapy ,67,Loved it
2020,Chevrolet,Female,1,Cookie Dough,1325,Business,63,Hated it
2020,Toyota,Male,5,Cookie Dough,400,Kinesiology ,177,Loved it
2020,Toyota,Male,5,Cookie Dough,400,Kinesiology ,177,Loved it
2020,Toyota,Male,5,Cookie Dough,400,Kinesiology ,177,Loved it
2020,Toyota,Male,5,Cookie Dough,400,Kinesiology ,177,Loved it
2020,Ford,Female,40,Sherbet,850,Physical therapy ,67,Loved it
2021,Toyota,Female,"1,200",Cookies and Cream,0,Marketing,70,Liked it
2021,Lexus,Female,4.5,Cherry Jubilee,0,Business Marketing,68,Loved it
2021,Subaru,Female,6.7,Chocolate,600,General Studies ,63,Loved it
2021,Nissan,Male,1.9,Cookie Dough,700,Undecided,73,Liked it
2021,Dodge,Female,15,Vanilla,0,Nursing,63,No opinion
2021,Chevy,Female,5.4,Mint Chocolate Chip,1650,Nursing,60,Loved it
2021,No car/truck,Female,82,Sherbet,0,Nursing,61,No opinion
2021,Subaru,Male,5,Vanilla,700,Biomedical,71,Loved it
2021,No car/truck,Female,124,Strawberry,1000,Econ,63,Loved it
2021,No car/truck,Female,2,Cookie Dough,0,General Studies,66,Loved it
2021,Toyota,Male,3,Vanilla,515,Business,69,Liked it
2021,Nissan,Male,4,Butter Pecan,700,Computer Science,69,Don't like it
2021,Toyota,Female,14,Chocolate,480,Business management,62,Loved it
2021,Toyota,Male,0.5,Cookies and Cream,610,Biomedical Science,75,Don't like it
2021,Honda,Male,6.4,Cookie Dough,0,Piano Performance and Political Science,70,Liked it
2021,Ford,Male,14,Vanilla,1160,Business AA,70,Hated it
2021,Subaru,Female,12,Strawberry,550,Nursing,64,Loved it
