OCC_TITLE,TOT_EMP_NY,H_MEAN_NY,A_MEAN_NY,H_MEDIAN_NY,A_MEDIAN_NY,TOT_EMP_SF,H_MEAN_SF,A_MEAN_SF,H_MEDIAN_SF,A_MEDIAN_SF
All Occupations,"8,834,370",34.16,"71,050",25.01,"52,020","2,330,800",39.35,"81,840",29.71,"61,790"
Management Occupations,"526,780",83.06,"172,760",75.13,"156,280","209,440",80.68,"167,810",74.6,"155,160"
Chief Executives,"5,340",125.19,"260,390",#,#,"5,850",112.58,"234,160",#,#
General and Operations Managers,"152,090",82.87,"172,370",72.33,"150,440","43,260",78.04,"162,320",68.06,"141,570"
Legislators,"2,580",*,"66,710",*,"67,030",280,*,"89,510",*,"83,500"
Advertising and Promotions Managers,"7,690",89.18,"185,490",80.93,"168,330",610,87.28,"181,540",75.58,"157,210"
Marketing Managers,"28,360",93.77,"195,030",87.3,"181,590","11,350",94.36,"196,260",89.78,"186,750"
Sales Managers,"30,840",97.45,"202,700",90.86,"189,000","13,410",83.39,"173,450",76.48,"159,070"
Public Relations and Fundraising Managers,"7,350",85.97,"178,810",77.91,"162,060","2,850",70.93,"147,520",63.25,"131,550"
Administrative Services and Facilities Managers,"24,470",70.42,"146,480",64.23,"133,590","7,010",62.92,"130,880",56.45,"117,420"
Computer and Information Systems Managers,"37,080",96.79,"201,320",90.02,"187,240","23,830",102.15,"212,480",96.04,"199,760"
Financial Managers,"56,680",103.21,"214,670",95.78,"199,230","19,310",92.01,"191,380",83.55,"173,790"
Industrial Production Managers,"6,200",70.57,"146,790",65.12,"135,440","3,000",74,"153,910",67.99,"141,410"
Purchasing Managers,"4,900",82.84,"172,300",76.19,"158,470","1,430",77.07,"160,300",73.77,"153,440"
"Transportation, Storage, and Distribution Managers","6,840",63.39,"131,860",57.5,"119,610","2,780",59.54,"123,830",55.16,"114,740"
Compensation and Benefits Managers,"1,530",93.66,"194,810",85.69,"178,240",520,86.94,"180,840",83.1,"172,840"
Human Resources Managers,"12,270",86.48,"179,870",78.57,"163,420","5,360",84,"174,710",77.03,"160,210"
Training and Development Managers,"3,030",85.86,"178,590",80.5,"167,450","1,300",80.17,"166,750",75.43,"156,890"
"Farmers, Ranchers, and Other Agricultural Managers",90,50.66,"105,370",45.72,"95,100","5,160",65.9,"137,080",63.12,"131,300"
Construction Managers,"11,510",73.79,"153,490",66.87,"139,100","1,190",35.22,"73,250",30.09,"62,600"
"Education and Childcare Administrators, Preschool and Daycare","3,210",42.38,"88,160",36.56,"76,050","2,430",*,"128,700",*,"128,830"
"Education Administrators, Kindergarten through Secondary","21,130",*,"146,070",*,"143,650","1,210",66.36,"138,030",63.03,"131,100"
"Education Administrators, Postsecondary",**,78.12,"162,490",71.38,"148,470","2,230",45.08,"93,760",39.21,"81,550"
"Education Administrators, All Other","1,980",56.59,"117,710",51.07,"106,220","6,550",92.81,"193,050",88.56,"184,200"
Architectural and Engineering Managers,"7,590",84.81,"176,400",81.34,"169,190","5,050",32.29,"67,170",31.01,"64,510"
Food Service Managers,"7,540",39.1,"81,330",37.57,"78,140",530,50.75,"105,560",39.69,"82,550"
Lodging Managers,970,46.96,"97,680",39.44,"82,030","6,650",75.03,"156,050",74.07,"154,070"
Medical and Health Services Managers,"27,400",73.84,"153,590",63.77,"132,640",**,106.47,"221,460",97.61,"203,020"
Natural Sciences Managers,"6,410",96.18,"200,050",88.82,"184,740",80,42.06,"87,480",41.95,"87,260"
Postmasters and Mail Superintendents,620,40.52,"84,280",40.13,"83,470","5,590",49.89,"103,770",39.86,"82,910"
"Property, Real Estate, and Community Association Managers","10,320",54.71,"113,800",45.4,"94,440",**,34.18,"71,100",31.22,"64,950"
Social and Community Service Managers,"11,970",45.98,"95,650",42.45,"88,300",150,66.63,"138,590",62.13,"129,230"
Emergency Management Directors,530,52.9,"110,030",47.91,"99,650",130,41.16,"85,620",35.37,"73,560"
Funeral Home Managers,690,*,*,*,*,"16,590",83.62,"173,930",77.58,"161,370"
"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other","21,680",75.04,"156,090",67.78,"140,980","191,940",48.53,"100,950",44.16,"91,860"
Business and Financial Operations Occupations,"663,710",49.45,"102,850",43.14,"89,740",310,46.81,"97,360",39.57,"82,300"
"Agents and Business Managers of Artists, Performers, and Athletes","2,840",47.89,"99,600",34.29,"71,320","6,380",39.46,"82,070",37.8,"78,630"
Buyers and Purchasing Agents,"28,760",40.77,"84,800",37.55,"78,110","3,950",42.67,"88,750",42.83,"89,090"
"Claims Adjusters, Examiners, and Investigators","15,800",40.57,"84,380",39.11,"81,360",**,38.23,"79,510",35.86,"74,580"
"Insurance Appraisers, Auto Damage",290,34.87,"72,530",32.99,"68,620","6,820",47.13,"98,030",46.69,"97,120"
Compliance Officers,"23,190",43.67,"90,830",41.08,"85,440","3,520",50.25,"104,530",46.41,"96,530"
Cost Estimators,"9,060",39.73,"82,640",36.35,"75,600","14,120",45.04,"93,680",41.4,"86,110"
Human Resources Specialists,"42,260",39.7,"82,580",36.47,"75,850","1,700",40.04,"83,290",38.26,"79,580"
Labor Relations Specialists,"7,860",49.65,"103,280",45.28,"94,190","3,740",40.61,"84,480",39.63,"82,420"
Logisticians,"8,920",42.51,"88,420",40.39,"84,000","16,130",55.37,"115,170",51.15,"106,380"
Management Analysts,"55,140",57.29,"119,170",50.46,"104,960","3,180",34.27,"71,280",31.11,"64,710"
"Meeting, Convention, and Event Planners","9,050",35.95,"74,770",33.39,"69,450","2,540",40.07,"83,340",36.75,"76,430"
Fundraisers,"7,300",37.85,"78,730",35.88,"74,630","2,360",42.79,"89,010",39.54,"82,240"
"Compensation, Benefits, and Job Analysis Specialists","10,270",44.35,"92,250",41.19,"85,670","5,570",42.83,"89,080",38.95,"81,020"
Training and Development Specialists,"19,270",37.89,"78,800",36.55,"76,030","22,020",46.23,"96,150",43.88,"91,260"
Market Research Analysts and Marketing Specialists,"76,650",42.76,"88,950",39.07,"81,270","40,940",46.95,"97,660",44.4,"92,350"
"Project Management Specialists and Business Operations Specialists, All Other","82,780",47,"97,760",42.77,"88,970","24,510",48.6,"101,090",43.49,"90,460"
Accountants and Auditors,"119,910",50.83,"105,720",45.38,"94,380",550,49.05,"102,020",47.73,"99,270"
Property Appraisers and Assessors,"2,430",38.33,"79,720",34.9,"72,590",900,46.17,"96,030",45,"93,600"
Budget Analysts,"2,810",42.76,"88,950",41.17,"85,640","1,610",52.98,"110,200",48.44,"100,750"
Credit Analysts,"7,530",58.91,"122,540",51.04,"106,160","7,740",74.98,"155,960",62.85,"130,720"
Personal Financial Advisors,"23,020",81.66,"169,850",70.48,"146,600","1,790",45.59,"94,820",42.94,"89,320"
Insurance Underwriters,"7,560",49.63,"103,240",42.64,"88,680","1,700",62.61,"130,230",53.93,"112,170"
Financial Examiners,"11,900",60.12,"125,050",53.24,"110,740",430,28.04,"58,320",24.95,"51,900"
Credit Counselors,"1,980",32.94,"68,500",30.66,"63,780","4,790",43,"89,430",33.62,"69,930"
Loan Officers,"12,090",51.91,"107,970",41.2,"85,690",410,47.35,"98,480",47.99,"99,820"
"Tax Examiners and Collectors, and Revenue Agents","2,820",39.74,"82,660",36.25,"75,400",850,27.41,"57,020",27.11,"56,390"
Tax Preparers,"4,010",33.3,"69,270",33.74,"70,170","13,080",57.89,"120,410",50.06,"104,130"
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","68,190",62.51,"130,020",51.18,"106,460","158,730",61.64,"128,210",60.52,"125,870"
Computer and Mathematical Occupations,"305,430",52.41,"109,010",49.65,"103,280","15,450",60.27,"125,350",59.97,"124,730"
Computer Systems Analysts,"40,880",55.05,"114,500",51.43,"106,960","2,590",65.82,"136,910",62.41,"129,820"
Information Security Analysts,"8,280",62.5,"130,000",61.09,"127,070","2,330",78.53,"163,330",76.61,"159,340"
