Title,Assets_RBA,Assets_ADIs_Banks,Assets_ADIs_Building,Assets_ADIs_CU,Assets_ADIs_Total,Assets_RFCs_MM,Assets_RFCs_Finance,Assets_RFCs_Total,Assets_Life offices and superannuation funds_Life insurance offices,Assets_Life_funds,Assets_Life_Total,Assets_Other_Public_trusts,Assets_Other_Cash_trusts,Assets_Other_Common_funds,Assets_Others_Friendly societies,Assets_Other_General_insurance,Assets_Other_vehicles,Assets_Unconsolidated
Sep-69,2.7,,,,,,,,,,,,,,,,,
Dec-69,2.9,,,,,,,,,,,,,,,,,
Mar-70,3,,,,,,,,,,,,,,,,,
Jun-70,3,,,,,,,,,,,,,,,,,
Sep-70,3,,,,,,,,,,,,,,,,,
Dec-70,3,,,,,,,,,,,,,,,,,
Mar-71,3.2,,,,,,,,,,,,,,,,,
Jun-71,3.6,,,,,,,,,,,,,,,,,
Sep-71,3.5,,,,,,,,,,,,,,,,,
Dec-71,3.7,,,,,,,,,,,,,,,,,
Mar-72,4.2,,,,,,,,,,,,,,,,,
Jun-72,4.7,,,,,,,,,,,,,,,,,
Sep-72,4.8,,,,,,,,,,,,,,,,,
Dec-72,5.3,,,,,,,,,,,,,,,,,
Mar-73,5.7,,,,,,,,,,,,,,,,,
Jun-73,5.8,,,,,,,,,,,,,,,,,
Sep-73,5.6,,,,,,,,,,,,,,,,,
Dec-73,5.7,,,,,,,,,,,,,,,,,
Mar-74,5.7,,,,,,,,,,,,,,,,,
Jun-74,6.4,,,,,,,,,,,,,,,,,
Sep-74,5.6,,,,,,,,,,,,,,,,,
Dec-74,5.2,,,,,,,,,,,,,,,,,
Mar-75,5,,,,,,,,,,,,,,,,,
Jun-75,5.5,,,,,,,,,,,,,,,,,
Sep-75,5.1,,,,,,,,,,,,,,,,,
Dec-75,6.2,,,,,,,,,,,,,,,,,
Mar-76,6.1,,,,,,,,,,,,,,,,,
Jun-76,5.8,,,,,,,,,,,,,,,,,
Sep-76,6.5,,,,,,,,,,,,,,,,,
Dec-76,7.6,,,,,,,,,,,,,,,,,
Mar-77,8.1,,,,,,,,,,,,,,,,,
Jun-77,7.8,,,,,,,,,,,,,,,,,
Sep-77,8.2,,,,,,,,,,,,,,,,,
Dec-77,8.9,,,,,,,,,,,,,,,,,
Mar-78,9,,,,,,,,,,,,,,,,,
Jun-78,8.4,,,,,,,,,,,,,,,,,
Sep-78,8.7,,,,,,,,,,,,,,,,,
Dec-78,8.9,,,,,,,,,,,,,,,,,
Mar-79,10.1,,,,,,,,,,,,,,,,,
Jun-79,9.7,,,,,,,,,,,,,,,,,
Sep-79,9.8,,,,,,,,,,,,,,,,,
Dec-79,11.1,,,,,,,,,,,,,,,,,
Mar-80,13.1,,,,,,,,,,,,,,,,,
Jun-80,11.4,,,,,,,,,,,,,,,,,
Sep-80,12.2,,,,,,,,,,,,,,,,,
Dec-80,13.1,,,,,,,,,,,,,,,,,
Mar-81,12.1,,,,,,,,,,,,,,,,,
Jun-81,12.1,,,,,,,,,,,,,,,,,
Sep-81,11.7,,,,,,,,,,,,,,,,,
Dec-81,12.6,,,,,,,,,,,,,,,,,
