length,bird
19.65,Meadow
20.05,Meadow
20.65,Meadow
20.85,Meadow
21.65,Meadow
21.65,Meadow
21.65,Meadow
21.85,Meadow
21.85,Meadow
21.85,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.05,Meadow
22.25,Meadow
22.25,Meadow
22.25,Meadow
22.25,Tree
22.45,Tree
22.45,Tree
22.45,Tree
22.65,Tree
22.65,Tree
22.85,Tree
22.85,Tree
22.85,Tree
22.85,Tree
23.05,Tree
23.25,Tree
23.25,Tree
23.45,Tree
23.65,Tree
23.85,Tree
24.25,Tree
24.45,Tree
22.25,Tree
22.25,Tree
22.25,Tree
22.25,Tree
21.05,Sparrow
21.85,Sparrow
22.05,Sparrow
22.45,Sparrow
22.65,Sparrow
23.25,Sparrow
23.25,Sparrow
23.25,Sparrow
23.45,Sparrow
23.45,Sparrow
23.65,Sparrow
23.85,Sparrow
24.05,Sparrow
24.05,Sparrow
24.05,Sparrow
23.85,Sparrow
20.85,Robin
21.65,Robin
22.05,Robin
22.85,Robin
23.05,Robin
23.05,Robin
23.05,Robin
23.05,Robin
23.45,Robin
23.85,Robin
23.85,Robin
23.85,Robin
24.05,Robin
25.05,Robin
23.25,Robin
21.05,Wagtail
21.85,Wagtail
22.05,Wagtail
22.05,Wagtail
22.05,Wagtail
22.25,Wagtail
22.45,Wagtail
22.45,Wagtail
22.65,Wagtail
23.05,Wagtail
23.05,Wagtail
23.05,Wagtail
23.05,Wagtail
23.05,Wagtail
24.85,Wagtail
19.85,Wren
20.05,Wren
20.25,Wren
20.85,Wren
20.85,Wren
20.85,Wren
21.05,Wren
21.05,Wren
21.05,Wren
21.25,Wren
21.45,Wren
22.05,Wren
22.05,Wren
22.05,Wren
