CO2 Emissions per Capita (metric tons)                                                                                                                                                                                 
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                              
Afghanistan,Country,2006,Number,-,1                                                                                                                                                                                    
Albania,Country,2006,Number,1.3,                                                                                                                                                                                       
Algeria,Country,2006,Number,2.6,                                                                                                                                                                                       
Andorra,Country,2006,Number,-,1                                                                                                                                                                                        
Angola,Country,2006,Number,0.5,                                                                                                                                                                                        
Antigua and Barbuda,Country,2006,Number,-,1                                                                                                                                                                            
Argentina,Country,2006,Number,3.8,                                                                                                                                                                                     
Armenia,Country,2006,Number,1.4,                                                                                                                                                                                       
Australia,Country,2006,Number,19.0,                                                                                                                                                                                    
Austria,Country,2006,Number,8.8,                                                                                                                                                                                       
Azerbaijan,Country,2006,Number,3.6,                                                                                                                                                                                    
Bahamas,Country,2006,Number,-,1                                                                                                                                                                                        
Bahrain,Country,2006,Number,27.0,                                                                                                                                                                                      
Bangladesh,Country,2006,Number,0.2,                                                                                                                                                                                    
Barbados,Country,2006,Number,-,1                                                                                                                                                                                       
Belarus,Country,2006,Number,6.6,                                                                                                                                                                                       
Belgium,Country,2006,Number,11.1,                                                                                                                                                                                      
Belize,Country,2006,Number,-,1                                                                                                                                                                                         
Benin,Country,2006,Number,0.3,                                                                                                                                                                                         
Bhutan,Country,2006,Number,-,1                                                                                                                                                                                         
Bolivia,Country,2006,Number,1.4,                                                                                                                                                                                       
Bosnia-Herzegovina,Country,2006,Number,4.4,                                                                                                                                                                            
Botswana,Country,2006,Number,2.4,                                                                                                                                                                                      
Brazil,Country,2006,Number,1.8,                                                                                                                                                                                        
Brunei,Country,2006,Number,15.1,                                                                                                                                                                                       
Bulgaria,Country,2006,Number,6.2,                                                                                                                                                                                      
Burkina Faso,Country,2006,Number,-,1                                                                                                                                                                                   
Burundi,Country,2006,Number,-,1                                                                                                                                                                                        
Cambodia,Country,2006,Number,0.3,                                                                                                                                                                                      
Cameroon,Country,2006,Number,0.2,                                                                                                                                                                                      
Canada,Country,2006,Number,16.5,                                                                                                                                                                                       
Cape Verde,Country,2006,Number,-,1                                                                                                                                                                                     
Central African Republic,Country,2006,Number,-,1                                                                                                                                                                       
Chad,Country,2006,Number,-,1                                                                                                                                                                                           
Channel Islands,Country,2006,Number,-,1                                                                                                                                                                                
Chile,Country,2006,Number,3.6,                                                                                                                                                                                         
China,Country,2006,Number,4.3,                                                                                                                                                                                         
Colombia,Country,2006,Number,1.3,                                                                                                                                                                                      
Comoros,Country,2006,Number,-,1                                                                                                                                                                                        
Congo,Country,2006,Number,0.3,                                                                                                                                                                                         
Congo, Dem. Rep. of                                                                                                                                                                                                    
Costa Rica,Country,2006,Number,1.4,                                                                                                                                                                                    
Cote d'Ivoire,Country,2006,Number,0.3,                                                                                                                                                                                 
Croatia,Country,2006,Number,4.7,                                                                                                                                                                                       
Cuba,Country,2006,Number,2.4,                                                                                                                                                                                          
Cyprus,Country,2006,Number,9.1,                                                                                                                                                                                        
Czech Republic,Country,2006,Number,11.8,                                                                                                                                                                               
Denmark,Country,2006,Number,10.2,                                                                                                                                                                                      
Djibouti,Country,2006,Number,-,1                                                                                                                                                                                       
Dominica,Country,2006,Number,-,1                                                                                                                                                                                       
Dominican Republic,Country,2006,Number,1.9,                                                                                                                                                                            
Ecuador,Country,2006,Number,1.9,                                                                                                                                                                                       
Egypt,Country,2006,Number,2.1,                                                                                                                                                                                         
El Salvador,Country,2006,Number,0.9,                                                                                                                                                                                   
Equatorial Guinea,Country,2006,Number,-,1                                                                                                                                                                              
Eritrea,Country,2006,Number,0.1,                                                                                                                                                                                       
Estonia,Country,2006,Number,11.3,                                                                                                                                                                                      
Ethiopia,Country,2006,Number,0.1,                                                                                                                                                                                      
Federated States of Micronesia,Country,2006,Number,-,1                                                                                                                                                                 
Fiji,Country,2006,Number,-,1                                                                                                                                                                                           
Finland,Country,2006,Number,12.7,                                                                                                                                                                                      
France,Country,2006,Number,6.0,                                                                                                                                                                                        
French Guiana,Country,2006,Number,-,1                                                                                                                                                                                  
French Polynesia,Country,2006,Number,-,1                                                                                                                                                                               
Gabon,Country,2006,Number,1.6,                                                                                                                                                                                         
Gambia,Country,2006,Number,-,1                                                                                                                                                                                         
Georgia,Country,2006,Number,1.0,                                                                                                                                                                                       
Germany,Country,2006,Number,10.0,                                                                                                                                                                                      
Ghana,Country,2006,Number,0.4,                                                                                                                                                                                         
Greece,Country,2006,Number,8.4,                                                                                                                                                                                        
Grenada,Country,2006,Number,-,1                                                                                                                                                                                        
Guadeloupe,Country,2006,Number,-,1                                                                                                                                                                                     
Guam,Country,2006,Number,-,1                                                                                                                                                                                           
Guatemala,Country,2006,Number,0.8,                                                                                                                                                                                     
Guinea,Country,2006,Number,-,1                                                                                                                                                                                         
Guinea-Bissau,Country,2006,Number,-,1                                                                                                                                                                                  
Guyana,Country,2006,Number,-,1                                                                                                                                                                                         
Haiti,Country,2006,Number,0.2,                                                                                                                                                                                         
Honduras,Country,2006,Number,1.0,                                                                                                                                                                                      
Hong Kong, SAR                                                                                                                                                                                                         
Hungary,Country,2006,Number,5.6,                                                                                                                                                                                       
Iceland,Country,2006,Number,7.2,                                                                                                                                                                                       
India,Country,2006,Number,1.1,                                                                                                                                                                                         
Indonesia,Country,2006,Number,1.5,                                                                                                                                                                                     
Iran,Country,2006,Number,6.2,                                                                                                                                                                                          
Iraq,Country,2006,Number,3.2,                                                                                                                                                                                          
Ireland,Country,2006,Number,10.6,                                                                                                                                                                                      
Israel,Country,2006,Number,8.9,                                                                                                                                                                                        
Italy,Country,2006,Number,7.6,                                                                                                                                                                                         
Jamaica,Country,2006,Number,4.3,                                                                                                                                                                                       
Japan,Country,2006,Number,9.5,                                                                                                                                                                                         
Jordan,Country,2006,Number,3.3,                                                                                                                                                                                        
Kazakhstan,Country,2006,Number,11.9,                                                                                                                                                                                   
Kenya,Country,2006,Number,0.3,                                                                                                                                                                                         
Kiribati,Country,2006,Number,-,1                                                                                                                                                                                       
Korea, North                                                                                                                                                                                                           
Korea, South                                                                                                                                                                                                           
Kosovo,Country,2006,Number,-,1                                                                                                                                                                                         
Kuwait,Country,2006,Number,25.7,                                                                                                                                                                                       
Kyrgyzstan,Country,2006,Number,1.0,                                                                                                                                                                                    
Laos,Country,2006,Number,-,1                                                                                                                                                                                           
Latvia,Country,2006,Number,3.5,                                                                                                                                                                                        
Lebanon,Country,2006,Number,3.3,                                                                                                                                                                                       
Lesotho,Country,2006,Number,-,1                                                                                                                                                                                        
Liberia,Country,2006,Number,-,1                                                                                                                                                                                        
Libya,Country,2006,Number,7.0,                                                                                                                                                                                         
Liechtenstein,Country,2006,Number,-,1                                                                                                                                                                                  
Lithuania,Country,2006,Number,4.0,                                                                                                                                                                                     
Luxembourg,Country,2006,Number,23.6,                                                                                                                                                                                   
