order,first_card,outcomes
1,7,lose
2,7,lose
3,6,lose
4,6,lose
5,4,lose
6,3,lose
7,Q,lose
8,K,lose
9,4,lose
10,Q,lose
11,3,win
12,5,lose
13,6,lose
14,3,win
15,6,lose
16,9,lose
17,3,lose
18,8,lose
19,6,lose
20,Q,lose
21,Q,lose
22,J,lose
23,8,lose
24,2,lose
25,9,lose
26,J,lose
27,3,lose
28,J,lose
29,10,lose
30,Q,lose
31,10,lose
32,A,lose
33,7,lose
34,5,lose
35,K,lose
36,3,lose
37,K,lose
38,9,lose
39,9,win
40,9,lose
41,3,lose
42,3,lose
43,Q,lose
44,7,lose
45,6,lose
46,2,lose
47,4,lose
48,2,lose
49,3,lose
50,3,lose
51,Q,lose
52,9,lose
53,J,lose
54,2,win
55,8,lose
56,3,lose
57,A,lose
58,K,lose
59,Q,win
60,10,lose
61,10,lose
62,7,lose
63,10,lose
64,9,lose
65,8,lose
66,A,lose
67,8,win
68,2,lose
69,4,lose
70,J,lose
71,8,lose
72,5,win
73,K,lose
74,K,win
75,6,lose
76,5,lose
77,5,lose
78,5,lose
79,5,lose
80,A,lose
81,A,lose
82,9,lose
83,J,lose
84,10,lose
85,2,lose
86,8,lose
87,2,lose
88,3,lose
89,5,lose
90,3,lose
91,Q,lose
92,Q,lose
93,9,lose
94,5,lose
95,7,lose
96,5,lose
97,3,lose
98,6,lose
99,9,lose
100,6,lose
101,J,lose
102,8,lose
103,Q,lose
104,6,lose
105,A,lose
106,A,lose
107,3,win
108,6,lose
109,5,lose
110,4,lose
111,A,lose
112,A,lose
113,5,lose
114,9,lose
115,9,lose
116,9,lose
117,10,lose
118,J,lose
119,Q,lose
120,6,lose
121,2,lose
122,4,lose
123,A,lose
124,9,lose
125,10,lose
126,A,lose
127,J,lose
128,Q,lose
129,2,lose
130,Q,win
131,8,lose
132,9,lose
133,5,lose
134,9,lose
135,4,lose
136,7,lose
137,Q,lose
138,3,lose
139,3,lose
140,K,lose
141,2,win
142,3,win
143,J,win
144,4,lose
145,8,win
146,2,lose
147,10,lose
148,K,lose
149,3,lose
150,A,lose
151,8,lose
152,2,lose
153,8,lose
154,6,lose
155,A,lose
156,8,lose
157,3,lose
158,A,win
159,5,lose
160,7,lose
161,7,lose
162,10,lose
163,3,lose
164,9,lose
165,7,win
166,3,lose
167,Q,lose
168,5,lose
169,4,lose
170,Q,lose
171,3,lose
172,2,lose
173,6,lose
174,7,lose
175,K,lose
176,5,win
177,J,lose
178,4,lose
179,Q,lose
180,6,lose
181,Q,lose
182,5,lose
183,J,lose
184,6,lose
185,4,lose
186,6,lose
187,4,lose
188,6,lose
189,10,win
190,5,lose
191,5,lose
192,7,lose
193,8,lose
194,4,lose
195,J,lose
196,6,lose
197,Q,lose
198,K,lose
199,Q,lose
200,7,lose
201,8,lose
202,7,lose
203,9,lose
204,6,lose
205,J,lose
206,2,lose
207,J,lose
208,4,lose
209,10,lose
210,K,lose
211,9,lose
212,Q,lose
213,10,lose
214,7,lose
215,A,lose
216,8,lose
217,2,lose
218,J,lose
219,6,lose
220,3,lose
221,J,lose
222,7,lose
223,9,lose
224,4,lose
225,2,lose
226,7,lose
227,7,lose
228,A,lose
229,7,lose
230,2,lose
231,A,lose
232,6,lose
233,6,lose
234,9,lose
235,8,lose
236,Q,lose
237,3,lose
238,9,lose
239,9,lose
240,J,lose
241,J,lose
242,K,lose
243,8,win
244,A,lose
245,6,lose
246,A,lose
247,K,lose
248,7,lose
249,4,lose
250,6,lose
251,2,lose
252,2,lose
253,Q,lose
254,6,lose
255,2,lose
256,K,lose
257,K,lose
258,5,lose
259,A,lose
260,K,lose
261,Q,lose
262,5,lose
263,7,lose
264,Q,lose
265,3,lose
266,10,lose
267,A,lose
268,6,lose
269,10,lose
270,8,lose
271,K,win
272,K,lose
273,2,lose
274,J,lose
275,5,lose
276,6,lose
277,2,lose
278,Q,lose
279,K,win
280,3,lose
281,Q,lose
282,5,lose
283,K,lose
284,10,lose
285,8,lose
286,4,lose
287,2,lose
288,6,lose
289,K,lose
290,5,lose
291,7,lose
292,A,lose
293,Q,lose
294,3,lose
295,3,lose
296,A,lose
297,Q,lose
298,6,lose
299,J,lose
300,2,win
301,10,lose
302,5,lose
303,5,win
304,6,lose
305,8,lose
306,J,lose
307,Q,lose
308,K,lose
309,5,lose
310,9,lose
311,9,lose
312,K,lose
313,Q,lose
314,3,win
315,A,lose
316,J,lose
317,5,lose
318,3,lose
319,7,lose
320,6,lose
321,6,lose
322,2,lose
323,Q,lose
324,10,lose
325,4,lose
326,K,lose
327,Q,lose
328,J,lose
329,10,win
330,A,lose
331,J,lose
332,Q,lose
333,9,lose
334,10,lose
335,9,lose
336,Q,lose
337,A,lose
338,K,win
339,2,lose
340,10,lose
341,4,lose
342,9,lose
343,J,lose
344,Q,lose
345,7,lose
346,Q,win
347,9,lose
348,A,lose
349,5,lose
350,4,lose
351,5,lose
352,6,lose
353,10,lose
354,K,lose
355,10,win
356,K,lose
357,K,lose
358,8,lose
359,A,lose
360,K,lose
361,10,lose
362,A,lose
363,10,lose
364,4,lose
365,8,lose
366,10,lose
367,5,lose
368,Q,lose
369,10,lose
370,3,lose
371,9,win
372,4,lose
373,7,lose
374,5,lose
375,5,lose
376,10,win
377,4,lose
378,7,lose
379,3,win
380,5,lose
381,6,lose
382,A,win
383,2,lose
384,4,lose
385,7,lose
386,A,lose
387,A,lose
388,3,lose
389,Q,lose
390,3,lose
391,10,lose
392,2,lose
393,4,lose
394,3,lose
395,5,lose
396,7,lose
397,A,lose
398,K,lose
399,2,lose
400,10,lose
401,5,lose
402,J,lose
403,3,win
404,3,lose
405,3,lose
406,8,lose
407,6,lose
408,5,lose
409,A,lose
410,6,lose
411,4,win
412,A,lose
413,5,lose
414,A,lose
415,A,lose
416,3,lose
417,9,win
418,8,lose
419,Q,lose
420,7,lose
421,2,lose
422,5,lose
423,K,lose
424,7,lose
425,K,lose
426,J,lose
427,5,lose
428,K,lose
429,J,lose
430,6,lose
431,7,lose
432,K,lose
433,5,lose
434,K,lose
435,2,win
436,2,lose
437,5,lose
438,6,lose
439,7,lose
440,4,lose
441,7,lose
442,8,lose
443,3,lose
444,4,lose
445,2,lose
446,7,lose
447,A,lose
448,4,lose
449,3,lose
450,9,lose
451,Q,win
452,7,lose
453,5,lose
454,10,lose
455,9,lose
456,K,lose
457,5,lose
458,2,lose
459,2,lose
460,2,lose
461,K,lose
462,9,lose
463,Q,lose
464,4,lose
465,8,lose
466,4,lose
467,10,win
468,J,lose
469,5,lose
470,5,lose
471,7,lose
472,A,lose
473,A,win
474,A,lose
475,A,lose
476,9,lose
477,2,lose
478,K,win
479,Q,lose
480,6,lose
481,2,lose
482,7,lose
483,5,lose
484,4,lose
485,J,lose
486,J,lose
487,2,lose
488,A,lose
489,8,lose
490,5,lose
491,5,lose
492,7,lose
493,9,lose
494,8,lose
495,Q,lose
496,9,lose
497,7,lose
498,10,lose
499,4,lose
500,A,lose
501,6,lose
502,8,lose
503,2,lose
504,K,lose
505,3,lose
506,J,lose
507,9,lose
508,7,lose
509,6,lose
510,6,win
511,J,lose
512,9,lose
513,A,win
514,J,lose
515,K,win
516,J,lose
517,6,lose
518,5,lose
519,10,lose
520,8,lose
521,J,lose
522,9,win
523,8,lose
524,3,lose
525,9,lose
526,Q,lose
527,Q,lose
528,5,lose
529,5,lose
530,6,lose
531,K,lose
532,8,lose
533,J,lose
534,9,lose
535,8,lose
536,7,lose
537,Q,lose
538,7,lose
539,4,lose
540,6,lose
541,3,lose
542,9,lose
543,7,lose
544,J,win
545,9,lose
546,5,lose
547,9,lose
548,2,lose
549,8,lose
550,7,lose
551,K,lose
552,Q,lose
553,2,lose
554,5,lose
555,K,lose
556,A,lose
557,8,lose
558,Q,lose
559,Q,lose
560,10,lose
561,K,lose
562,5,lose
563,9,lose
564,7,lose
565,K,lose
566,2,lose
567,5,lose
568,A,lose
569,7,lose
570,J,lose
571,6,lose
572,3,lose
573,6,lose
574,6,lose
575,A,lose
576,8,lose
577,4,lose
578,2,lose
579,3,lose
580,3,lose
581,J,lose
582,3,lose
583,K,lose
584,2,lose
585,A,win
586,3,lose
587,A,lose
588,5,lose
589,5,lose
590,J,lose
591,8,lose
592,2,lose
593,8,lose
594,8,lose
595,4,lose
596,8,lose
597,A,lose
598,J,lose
599,Q,lose
600,Q,lose
601,3,lose
602,K,lose
603,10,win
604,10,win
605,8,lose
606,J,lose
607,7,lose
608,2,lose
609,5,lose
610,7,lose
611,3,win
612,2,lose
613,7,lose
614,10,lose
615,3,lose
616,10,lose
617,5,lose
618,A,lose
619,4,lose
620,10,lose
621,Q,lose
622,6,lose
623,6,lose
624,2,lose
625,10,lose
626,Q,lose
627,6,lose
628,K,lose
629,A,lose
630,K,lose
631,2,win
632,5,lose
633,2,lose
634,10,lose
635,Q,lose
636,6,lose
637,4,lose
638,8,lose
639,Q,lose
640,7,lose
641,Q,lose
642,7,lose
643,2,lose
644,6,lose
645,A,win
646,6,lose
647,6,lose
648,3,lose
649,2,lose
650,7,lose
651,5,lose
652,Q,lose
653,8,lose
654,A,win
655,4,win
656,A,lose
657,5,lose
658,6,lose
659,Q,lose
660,7,lose
661,A,lose
662,8,lose
663,7,lose
664,4,lose
665,4,lose
666,5,lose
667,6,lose
668,A,lose
669,3,win
670,3,lose
671,J,lose
