Date,time,chirps,tempF,tempC
21-Aug,2030,176,80.5,26.944
21-Aug,2100,185.6,78.5,25.833
21-Aug,2200,174.4,78,25.556
24-Aug,1945,140,73.5,23.056
24-Aug,2015,140,70.5,21.389
24-Aug,2100,130.4,68,20
24-Aug,2200,115.6,66,18.889
24-Aug,2230,110.8,65,18.333
25-Aug,30,102,61.5,16.389
25-Aug,330,81.5,57,13.889
25-Aug,500,50,55,12.778
25-Aug,2000,148,76.25,24.583
25-Aug,2030,150,74,23.333
25-Aug,2100,146,74,23.333
25-Aug,2200,144.8,72.5,22.5
26-Aug,530,132,66,18.889
26-Aug,2030,172,77.5,25.278
26-Aug,2200,184,78.5,25.833
27-Aug,2000,116,68.5,20.278
27-Aug,2030,126.8,68.5,20.278
27-Aug,2100,124,68,20
27-Aug,2200,115,66,18.889
28-Aug,240,94,59,15
28-Aug,2010,129.6,70,21.111
28-Aug,2050,124,69,20.556
28-Aug,2200,118,67,19.444
29-Aug,240,90,61.25,16.25
29-Aug,440,82.4,58.5,14.722
29-Aug,2000,140,72,22.222
29-Aug,2050,132.4,71,21.667
29-Aug,2200,126,69,20.556
29-Aug,2330,115.2,66.5,19.167
30-Aug,330,85.2,60,15.556
30-Aug,2000,151.2,75,23.889
30-Aug,2055,148,73.25,22.917
30-Aug,2200,148.4,72.5,22.5
1-Sep,2200,144.8,70,21.111
2-Sep,330,125.6,67.5,19.722
2-Sep,600,120.8,66,18.889
4-Sep,240,125.2,69,20.556
4-Sep,505,104.4,63,17.222
5-Sep,500,100.8,63,17.222
6-Sep,600,94.64,61,16.111
7-Sep,215,89,62,16.667
7-Sep,525,70,56.5,13.611
9-Sep,2010,62,55,12.778
9-Sep,2110,59,52,11.111
10-Sep,2115,60,53,11.667
10-Sep,2210,56,50,10
11-Sep,315,74,52,11.111
16-Sep,2100,110.8,65,18.333
17-Sep,2200,104,63,17.222
18-Sep,130,86.8,59,15
19-Sep,415,50,50.75,10.417
19-Sep,435,50,49.25,9.5833
