State,City/Town,,Gas Station,,,Price,,,
AZ,Page,,Shell,,,3.29,,,
AZ,Page,,Sinclair,,,3.29,,,
AZ,Page,,Marathon,,,3.09,,,
AZ,Page,,Maverik,,,3.05,,,
AZ,Page,,Conoco,,,3.19,,,
AZ,Tuba City,,Superfuels,,,2.95,,,
AZ,Tuba City,,Alon,,,2.94,,,
AZ,Flagstaff,,Speedi Car Wash and Fuels,,,2.97,,,
AZ,Tuba City,,Speedway,,,2.95,,,
AZ,Tonalea,,Tonalea Express,,,2.94,,,
AZ,Cottonwood,,Fry's,,,2.85,,,
AZ,Clarkdale,,Number 1 Food Store,,,2.84,,,
AZ,Mayer,,Mayer Market,,,2.79,,,
AZ,Camp Verde,,Circle K,,,2.83,,,
AZ,Cottonwood,,Maverik,,,2.84,,,
AZ,Casa Grande,,QuikTrip,,,2.81,,,
AZ,Casa Grande,,ARCO,,,2.75,,,
AZ,Phoenix,,Sam's Club,,,2.81,,,
AZ,Eloy,,Xpress Fuel,,,2.79,,,
AZ,Casa Grande,,Circle K,,,2.81,,,
AZ,Tuscon,,Speedway,,,2.72,,,
AZ,Tuscon,,ARCO,,,2.71,,,
AZ,Tuscon,,QuikTrip,,,2.67,,,
AZ,Tuscon,,Costco,,,2.59,,,
AZ,Tuscon,,ARCO,,,2.67,,,
TX,Armarillo,,Murphy USA,,,2.37,,,
TX,Armarillo,,United Express,,,2.37,,,
TX,Armarillo,,Walmart,,,2.41,,,
TX,Armarillo,,Murphy USA,,,2.37,,,
TX,Armarillo,,Valero,,,2.42,,,
TX,Garland,,Sam's Club,,,2.32,,,
TX,Lewisville,,Sam's Club,,,2.27,,,
TX,Plano,,Sam's Club,,,2.26,,,
TX,Fort Worth,,Sam's Club,,,2.33,,,
TX,Anna,,Walmart,,,2.34,,,
TX,Round Rock,,H-E-B,,,2.29,,,
TX,Round Rock,,Shell,,,2.29,,,
TX,Austin,,American Fuels,,,2.29,,,
TX,Austin,,Shell,,,2.28,,,
TX,Round Rock,,7-Eleven,,,2.29,,,
TX,Spring,,H-E-B,,,2.25,,,
TX,Rosenberg,,Chevron,,,2.19,,,
TX,Spring,,Murphey USA,,,2.26,,,
TX,Sugar Land,,Murphey Express,,,2.27,,,
TX,Spring,,H-E-B,,,2.26,,,
TX,New Braunfels,,QuikTrip,,,2.21,,,
TX,New Braunfels,,Buc-ee's,,,2.21,,,
TX,New Braunfels,,H-E-B,,,2.21,,,
TX,San Antonio,,QuikTrip,,,2.26,,,
TX,San Antonio,,City Food Mart,,,2.26,,,
,,,,,,,,,
,,,,,,,,,
