Density (people per sq. km.),,,,,                                                                                                                                                                                      
,,,,,                                                                                                                                                                                                                  
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                              
Afghanistan,Asia,2011,Number,50,                                                                                                                                                                                       
Albania,Europe,2011,Number,111,                                                                                                                                                                                        
Algeria,Africa,2011,Number,15,                                                                                                                                                                                         
Andorra,Europe,2011,Number,183,                                                                                                                                                                                        
Angola,Africa,2011,Number,16,                                                                                                                                                                                          
Antigua and Barbuda,Caribbean,2011,Number,199,                                                                                                                                                                         
Argentina,South America,2011,Number,15,                                                                                                                                                                                
Armenia,Asia,2011,Number,105,                                                                                                                                                                                          
Australia,Pacific,2011,Number,3,                                                                                                                                                                                       
Austria,Europe,2011,Number,100,                                                                                                                                                                                        
Azerbaijan,Asia,2011,Number,106,                                                                                                                                                                                       
Bahamas,Caribbean,2011,Number,26,                                                                                                                                                                                      
Bahrain,Asia,2011,Number,"1,925",                                                                                                                                                                                      
Bangladesh,Asia,2011,Number,"1,046",                                                                                                                                                                                   
Barbados,Caribbean,2011,Number,637,                                                                                                                                                                                    
Belarus,Asia,2011,Number,46,                                                                                                                                                                                           
Belgium,Europe,2011,Number,359,                                                                                                                                                                                        
Belize,Central America,2011,Number,14,                                                                                                                                                                                 
Benin,Africa,2011,Number,81,                                                                                                                                                                                           
Bhutan,Asia,2011,Number,15,                                                                                                                                                                                            
Bolivia,South America,2011,Number,9,                                                                                                                                                                                   
Bosnia-Herzegovina,Europe,2011,Number,75,                                                                                                                                                                              
Botswana,Africa,2011,Number,3,                                                                                                                                                                                         
Brazil,South America,2011,Number,23,                                                                                                                                                                                   
Brunei,Asia,2011,Number,71,                                                                                                                                                                                            
Bulgaria,Europe,2011,Number,67,                                                                                                                                                                                        
Burkina Faso,Africa,2011,Number,62,                                                                                                                                                                                    
Burundi,Africa,2011,Number,367,                                                                                                                                                                                        
Cambodia,Asia,2011,Number,81,                                                                                                                                                                                          
Cameroon,Africa,2011,Number,42,                                                                                                                                                                                        
Canada,North America,2011,Number,3,                                                                                                                                                                                    
Cape Verde,Africa,2011,Number,123,                                                                                                                                                                                     
Central African Republic,Africa,2011,Number,8,                                                                                                                                                                         
Chad,Africa,2011,Number,9,                                                                                                                                                                                             
Channel Islands,Europe,2011,Number,804,                                                                                                                                                                                
Chile,south America,2011,Number,23,                                                                                                                                                                                    
China,Asia,2011,Number,141,                                                                                                                                                                                            
Colombia,South America,2011,Number,41,                                                                                                                                                                                 
Comoros,Africa,2011,Number,337,                                                                                                                                                                                        
Congo,Africa,2011,Number,12,                                                                                                                                                                                           
Congo, Dem. Rep. of                                                                                                                                                                                                    
Costa Rica,North America,2011,Number,92,                                                                                                                                                                               
Cote d'Ivoire,Africa,2011,Number,70,                                                                                                                                                                                   
Croatia,Europe,2011,Number,78,                                                                                                                                                                                         
Cuba,Caribbean,2011,Number,101,                                                                                                                                                                                        
Cyprus,Europe,2011,Number,120,                                                                                                                                                                                         
Czech Republic,Europe,2011,Number,134,                                                                                                                                                                                 
Denmark,Europe,2011,Number,129,                                                                                                                                                                                        
Djibouti,Africa,2011,Number,39,                                                                                                                                                                                        
Dominica,Caribbean,2011,Number,97,                                                                                                                                                                                     
Dominican Republic,Caribbean,2011,Number,206,                                                                                                                                                                          
Ecuador,South America,2011,Number,52,                                                                                                                                                                                  
Egypt,Africa,2011,Number,83,                                                                                                                                                                                           
El Salvador,Central America,2011,Number,296,                                                                                                                                                                           
Equatorial Guinea,Africa,2011,Number,26,                                                                                                                                                                               
Eritrea,Africa,2011,Number,51,                                                                                                                                                                                         
Estonia,Europe,2011,Number,30,                                                                                                                                                                                         
Ethiopia,Africa,2011,Number,79,                                                                                                                                                                                        
Federated States of Micronesia,Pacific,2011,Number,145,                                                                                                                                                                
Fiji,Pacific,2011,Number,47,                                                                                                                                                                                           
Finland,Europe,2011,Number,16,                                                                                                                                                                                         
France,Europe,2011,Number,115,                                                                                                                                                                                         
French Guiana,Africa,2011,Number,3,                                                                                                                                                                                    
French Polynesia,Pacific,2011,Number,68,                                                                                                                                                                               
Gabon,Africa,2011,Number,6,                                                                                                                                                                                            
Gambia,Africa,2011,Number,157,                                                                                                                                                                                         
Georgia,Asia,2011,Number,62,                                                                                                                                                                                           
Germany,Europe,2011,Number,229,                                                                                                                                                                                        
Ghana,Africa,2011,Number,105,                                                                                                                                                                                          
Greece,Europe,2011,Number,86,                                                                                                                                                                                          
Grenada,Caribbean,2011,Number,305,                                                                                                                                                                                     
Guadeloupe,Caribbean,2011,Number,238,                                                                                                                                                                                  
Guam,Pacific,2011,Number,350,                                                                                                                                                                                          
Guatemala,South America,2011,Number,135,                                                                                                                                                                               
Guinea,Africa,2011,Number,42,                                                                                                                                                                                          
Guinea-Bissau,Africa,2011,Number,45,                                                                                                                                                                                   
Guyana,South America,2011,Number,4,                                                                                                                                                                                    
Haiti,Caribbean,2011,Number,365,                                                                                                                                                                                       
Honduras,Central America,2011,Number,69,                                                                                                                                                                               
Hong Kong, SAR                                                                                                                                                                                                         
Hungary,Europe,2011,Number,107,                                                                                                                                                                                        
Iceland,Europe,2011,Number,3,                                                                                                                                                                                          
India,Asia,2011,Number,378,                                                                                                                                                                                            
Indonesia,Asia,2011,Number,125,                                                                                                                                                                                        
Iran,Middle East,2011,Number,47,                                                                                                                                                                                       
Iraq,Middle East,2011,Number,75,                                                                                                                                                                                       
Ireland,Europe,2011,Number,65,                                                                                                                                                                                         
Israel,Middle East,2011,Number,355,                                                                                                                                                                                    
Italy,Europe,2011,Number,202,                                                                                                                                                                                          
Jamaica,Caribbean,2011,Number,246,                                                                                                                                                                                     
Japan,Asia,2011,Number,339,                                                                                                                                                                                            
Jordan,Middle East,2011,Number,74,                                                                                                                                                                                     
Kazakhstan,Asia,2011,Number,6,                                                                                                                                                                                         
Kenya,Africa,2011,Number,72,                                                                                                                                                                                           
Kiribati,Pacific,2011,Number,142,                                                                                                                                                                                      
Korea, North                                                                                                                                                                                                           
Korea, South                                                                                                                                                                                                           
Kosovo,Europe,2011,Number,210,                                                                                                                                                                                         
Kuwait,Middle East,2011,Number,158,                                                                                                                                                                                    
