percent_diff,food
2,national
-28,national
-6,national
8,national
6,national
-1,national
10,national
13,national
15,national
-4,national
-4,national
-18,national
10,national
5,national
3,national
-7,national
3,national
-0.5,national
-10,national
6,national
41,regional
46,regional
2,regional
25,regional
39,regional
16.5,regional
17,regional
28,regional
-3,regional
14,regional
34,regional
42,regional
15,local
60,local
250,local
145,local
6,local
80,local
95,local
3,local
