Date,Weekly_US,Weekly_East,Weekly_NewEngland,Weekly_Central_Atlantic,Weekly_Lower_Atlantic,Weekly_Midwest,Weekly_Gulf_Coast,Weekly_Rocky_Mountain,California,Texas,difference
5-Jun-00,1.535,1.476,1.579,1.556,1.459,1.607,1.459,1.52,1.557,1.468,0.089
12-Jun-00,1.607,1.508,1.594,1.579,1.492,1.759,1.477,1.544,1.556,1.478,0.078
19-Jun-00,1.664,1.551,1.615,1.613,1.538,1.847,1.52,1.587,1.556,1.521,0.035
26-Jun-00,1.641,1.555,1.625,1.618,1.541,1.775,1.53,1.608,1.576,1.532,0.044
3-Jul-00,1.606,1.553,1.636,1.626,1.537,1.67,1.542,1.606,1.612,1.543,0.069
10-Jul-00,1.571,1.547,1.624,1.626,1.53,1.582,1.528,1.622,1.633,1.526,0.107
17-Jul-00,1.521,1.525,1.614,1.609,1.507,1.481,1.507,1.609,1.634,1.505,0.129
24-Jul-00,1.499,1.506,1.603,1.595,1.488,1.449,1.486,1.59,1.631,1.475,0.156
31-Jul-00,1.447,1.464,1.583,1.56,1.443,1.366,1.453,1.575,1.624,1.441,0.183
7-Aug-00,1.437,1.438,1.559,1.535,1.418,1.378,1.421,1.56,1.618,1.398,0.22
14-Aug-00,1.42,1.416,1.551,1.503,1.397,1.354,1.413,1.546,1.621,1.393,0.228
21-Aug-00,1.444,1.421,1.545,1.504,1.402,1.414,1.414,1.537,1.628,1.406,0.222
28-Aug-00,1.456,1.425,1.545,1.511,1.407,1.433,1.417,1.545,1.649,1.409,0.24
4-Sep-00,1.502,1.445,1.557,1.529,1.427,1.522,1.428,1.548,1.687,1.419,0.268
11-Sep-00,1.535,1.479,1.583,1.575,1.46,1.554,1.462,1.584,1.708,1.46,0.248
18-Sep-00,1.539,1.485,1.584,1.571,1.467,1.556,1.468,1.612,1.711,1.461,0.25
25-Sep-00,1.525,1.483,1.588,1.579,1.463,1.516,1.474,1.617,1.713,1.47,0.243
2-Oct-00,1.498,1.471,1.575,1.557,1.452,1.47,1.449,1.608,1.712,1.432,0.28
9-Oct-00,1.473,1.446,1.566,1.539,1.426,1.436,1.421,1.596,1.712,1.398,0.314
16-Oct-00,1.516,1.468,1.591,1.561,1.447,1.519,1.451,1.597,1.708,1.432,0.276
23-Oct-00,1.532,1.464,1.58,1.554,1.444,1.567,1.443,1.611,1.702,1.433,0.269
30-Oct-00,1.523,1.466,1.593,1.571,1.443,1.539,1.444,1.627,1.701,1.441,0.26
6-Nov-00,1.502,1.454,1.589,1.565,1.43,1.502,1.433,1.615,1.691,1.428,0.263
13-Nov-00,1.501,1.453,1.588,1.563,1.429,1.508,1.426,1.599,1.681,1.42,0.261
20-Nov-00,1.487,1.445,1.585,1.563,1.419,1.487,1.416,1.584,1.667,1.405,0.262
27-Nov-00,1.489,1.446,1.587,1.561,1.42,1.494,1.42,1.568,1.658,1.414,0.244
4-Dec-00,1.464,1.428,1.579,1.551,1.401,1.456,1.403,1.551,1.647,1.392,0.255
11-Dec-00,1.425,1.404,1.558,1.533,1.377,1.394,1.375,1.513,1.629,1.358,0.271
18-Dec-00,1.396,1.376,1.533,1.508,1.348,1.37,1.336,1.477,1.604,1.334,0.27
25-Dec-00,1.388,1.344,1.519,1.474,1.315,1.383,1.331,1.452,1.585,1.312,0.273
1-Jan-01,1.377,1.341,1.507,1.47,1.312,1.371,1.317,1.433,1.562,1.297,0.265
8-Jan-01,1.4,1.351,1.488,1.462,1.327,1.422,1.33,1.427,1.549,1.313,0.236
15-Jan-01,1.458,1.417,1.484,1.483,1.403,1.5,1.395,1.423,1.528,1.379,0.149
22-Jan-01,1.456,1.431,1.492,1.49,1.419,1.483,1.413,1.426,1.511,1.408,0.103
29-Jan-01,1.446,1.429,1.486,1.485,1.416,1.464,1.408,1.425,1.502,1.402,0.1
5-Feb-01,1.426,1.412,1.481,1.483,1.397,1.427,1.395,1.438,1.505,1.382,0.123
12-Feb-01,1.46,1.428,1.485,1.486,1.415,1.492,1.407,1.44,1.525,1.396,0.129
19-Feb-01,1.429,1.414,1.489,1.477,1.4,1.421,1.402,1.437,1.539,1.386,0.153
26-Feb-01,1.41,1.402,1.475,1.463,1.389,1.392,1.378,1.433,1.546,1.357,0.189
5-Mar-01,1.393,1.382,1.473,1.435,1.37,1.367,1.365,1.424,1.552,1.322,0.23
12-Mar-01,1.387,1.362,1.456,1.426,1.347,1.374,1.344,1.434,1.551,1.307,0.244
19-Mar-01,1.377,1.345,1.449,1.41,1.33,1.368,1.337,1.428,1.549,1.297,0.252
26-Mar-01,1.379,1.346,1.443,1.403,1.333,1.38,1.317,1.433,1.545,1.294,0.251
2-Apr-01,1.411,1.363,1.441,1.414,1.351,1.438,1.343,1.458,1.542,1.325,0.217
9-Apr-01,1.469,1.436,1.456,1.458,1.431,1.503,1.402,1.483,1.547,1.393,0.154
16-Apr-01,1.535,1.518,1.538,1.534,1.514,1.564,1.518,1.505,1.552,1.503,0.049
23-Apr-01,1.586,1.549,1.574,1.581,1.542,1.65,1.528,1.55,1.555,1.525,0.03
30-Apr-01,1.585,1.542,1.6,1.605,1.529,1.642,1.53,1.591,1.569,1.53,0.039
7-May-01,1.659,1.577,1.638,1.629,1.566,1.783,1.564,1.643,1.581,1.568,0.013
14-May-01,1.663,1.575,1.644,1.647,1.56,1.787,1.568,1.659,1.591,1.576,0.015
21-May-01,1.637,1.566,1.64,1.645,1.549,1.729,1.556,1.662,1.601,1.554,0.047
28-May-01,1.656,1.563,1.641,1.642,1.546,1.772,1.564,1.677,1.621,1.567,0.054
4-Jun-01,1.63,1.547,1.629,1.625,1.53,1.724,1.544,1.68,1.625,1.551,0.074
11-Jun-01,1.58,1.524,1.601,1.604,1.5,1.631,1.51,1.67,1.624,1.515,0.109
18-Jun-01,1.526,1.495,1.574,1.58,1.469,1.532,1.48,1.653,1.615,1.493,0.122
25-Jun-01,1.454,1.455,1.543,1.538,1.43,1.405,1.43,1.616,1.603,1.436,0.167
2-Jul-01,1.384,1.395,1.497,1.488,1.367,1.306,1.37,1.58,1.587,1.369,0.218
9-Jul-01,1.35,1.353,1.456,1.461,1.321,1.289,1.305,1.541,1.567,1.296,0.271
16-Jul-01,1.33,1.315,1.413,1.428,1.282,1.291,1.273,1.501,1.543,1.261,0.282
23-Jul-01,1.318,1.294,1.387,1.406,1.261,1.297,1.257,1.46,1.509,1.251,0.258
30-Jul-01,1.319,1.279,1.384,1.386,1.247,1.323,1.253,1.426,1.487,1.249,0.238
6-Aug-01,1.319,1.279,1.376,1.369,1.252,1.33,1.258,1.395,1.468,1.252,0.216
13-Aug-01,1.347,1.296,1.377,1.363,1.276,1.382,1.276,1.394,1.469,1.268,0.201
20-Aug-01,1.399,1.322,1.398,1.385,1.302,1.475,1.31,1.431,1.472,1.311,0.161
27-Aug-01,1.48,1.329,1.41,1.401,1.307,1.652,1.335,1.495,1.504,1.33,0.174
3-Sep-01,1.538,1.379,1.435,1.429,1.364,1.707,1.389,1.568,1.594,1.381,0.213
10-Sep-01,1.511,1.376,1.442,1.431,1.359,1.628,1.393,1.575,1.631,1.396,0.235
17-Sep-01,1.516,1.397,1.449,1.44,1.383,1.616,1.4,1.577,1.66,1.411,0.249
24-Sep-01,1.46,1.373,1.44,1.412,1.36,1.507,1.372,1.558,1.647,1.374,0.273
1-Oct-01,1.381,1.326,1.42,1.372,1.311,1.376,1.317,1.528,1.608,1.307,0.301
8-Oct-01,1.31,1.271,1.404,1.325,1.253,1.266,1.268,1.497,1.579,1.257,0.322
15-Oct-01,1.264,1.233,1.384,1.288,1.213,1.205,1.234,1.465,1.542,1.223,0.319
22-Oct-01,1.221,1.19,1.364,1.257,1.167,1.165,1.175,1.418,1.513,1.157,0.356
29-Oct-01,1.193,1.157,1.331,1.222,1.134,1.146,1.146,1.373,1.486,1.139,0.347
5-Nov-01,1.17,1.127,1.307,1.203,1.1,1.135,1.116,1.324,1.457,1.11,0.347
12-Nov-01,1.147,1.105,1.278,1.186,1.077,1.12,1.09,1.275,1.419,1.084,0.335
19-Nov-01,1.14,1.083,1.245,1.155,1.058,1.137,1.085,1.235,1.373,1.079,0.294
26-Nov-01,1.097,1.053,1.213,1.141,1.024,1.08,1.051,1.195,1.33,1.045,0.285
3-Dec-01,1.084,1.035,1.181,1.121,1.007,1.083,1.037,1.155,1.282,1.034,0.248
10-Dec-01,1.075,1.033,1.149,1.114,1.007,1.082,1.026,1.126,1.241,1.023,0.218
17-Dec-01,1.042,1.021,1.125,1.108,0.995,1.023,1.014,1.097,1.207,1.01,0.197
24-Dec-01,1.063,1.027,1.124,1.105,1.003,1.081,1.011,1.086,1.187,1.005,0.182
31-Dec-01,1.096,1.055,1.137,1.12,1.035,1.126,1.049,1.087,1.19,1.047,0.143
7-Jan-02,1.109,1.076,1.154,1.137,1.058,1.136,1.064,1.094,1.192,1.053,0.139
14-Jan-02,1.099,1.09,1.169,1.154,1.071,1.094,1.07,1.121,1.191,1.063,0.128
21-Jan-02,1.087,1.072,1.166,1.145,1.05,1.082,1.058,1.125,1.188,1.052,0.136
28-Jan-02,1.081,1.066,1.166,1.142,1.042,1.071,1.055,1.117,1.191,1.045,0.146
4-Feb-02,1.098,1.068,1.164,1.139,1.046,1.117,1.053,1.109,1.191,1.045,0.146
11-Feb-02,1.085,1.071,1.17,1.144,1.048,1.083,1.051,1.104,1.189,1.045,0.144
18-Feb-02,1.089,1.073,1.176,1.146,1.05,1.091,1.06,1.101,1.182,1.055,0.127
25-Feb-02,1.087,1.07,1.177,1.147,1.046,1.085,1.062,1.116,1.18,1.063,0.117
4-Mar-02,1.118,1.08,1.174,1.157,1.056,1.149,1.077,1.119,1.191,1.071,0.12
11-Mar-02,1.194,1.155,1.203,1.209,1.139,1.227,1.17,1.169,1.238,1.172,0.066
18-Mar-02,1.262,1.233,1.275,1.283,1.219,1.298,1.221,1.243,1.289,1.228,0.061
25-Mar-02,1.308,1.288,1.33,1.324,1.277,1.329,1.271,1.314,1.346,1.273,0.073
1-Apr-02,1.339,1.318,1.351,1.352,1.308,1.363,1.288,1.362,1.385,1.292,0.093
8-Apr-02,1.382,1.366,1.38,1.397,1.357,1.409,1.334,1.38,1.413,1.33,0.083
15-Apr-02,1.368,1.368,1.391,1.406,1.358,1.365,1.337,1.39,1.423,1.336,0.087
22-Apr-02,1.367,1.362,1.39,1.405,1.349,1.368,1.335,1.388,1.427,1.324,0.103
29-Apr-02,1.353,1.353,1.393,1.402,1.339,1.341,1.325,1.396,1.425,1.321,0.104
6-May-02,1.356,1.35,1.395,1.394,1.336,1.355,1.32,1.392,1.426,1.321,0.105
13-May-02,1.349,1.339,1.393,1.388,1.325,1.349,1.315,1.383,1.42,1.32,0.1
20-May-02,1.36,1.334,1.39,1.378,1.32,1.382,1.315,1.38,1.42,1.318,0.102
27-May-02,1.348,1.329,1.389,1.379,1.314,1.355,1.312,1.389,1.425,1.316,0.109
3-Jun-02,1.353,1.322,1.383,1.371,1.307,1.376,1.305,1.384,1.429,1.314,0.115
10-Jun-02,1.332,1.315,1.378,1.372,1.298,1.331,1.296,1.376,1.427,1.298,0.129
17-Jun-02,1.335,1.304,1.368,1.368,1.284,1.348,1.287,1.367,1.451,1.288,0.163
24-Jun-02,1.342,1.311,1.368,1.375,1.291,1.356,1.284,1.386,1.465,1.283,0.182
1-Jul-02,1.357,1.309,1.363,1.373,1.29,1.394,1.287,1.4,1.463,1.284,0.179
8-Jul-02,1.345,1.309,1.364,1.376,1.289,1.363,1.283,1.403,1.462,1.279,0.183
15-Jul-02,1.361,1.312,1.37,1.381,1.292,1.397,1.298,1.4,1.458,1.284,0.174
22-Jul-02,1.381,1.34,1.392,1.421,1.316,1.412,1.315,1.455,1.459,1.316,0.143
29-Jul-02,1.376,1.338,1.409,1.413,1.315,1.404,1.309,1.463,1.456,1.308,0.148
5-Aug-02,1.355,1.335,1.417,1.413,1.312,1.352,1.31,1.463,1.456,1.315,0.141
12-Aug-02,1.355,1.335,1.41,1.412,1.311,1.358,1.3,1.456,1.455,1.302,0.153
19-Aug-02,1.357,1.325,1.409,1.408,1.3,1.368,1.311,1.449,1.448,1.31,0.138
26-Aug-02,1.365,1.327,1.411,1.412,1.301,1.388,1.307,1.45,1.446,1.307,0.139
2-Sep-02,1.353,1.327,1.41,1.415,1.3,1.36,1.308,1.446,1.441,1.313,0.128
9-Sep-02,1.355,1.325,1.41,1.415,1.298,1.367,1.31,1.444,1.436,1.315,0.121
16-Sep-02,1.367,1.333,1.408,1.423,1.306,1.389,1.317,1.44,1.433,1.318,0.115
23-Sep-02,1.357,1.339,1.41,1.432,1.312,1.357,1.324,1.437,1.425,1.331,0.094
30-Sep-02,1.385,1.366,1.429,1.442,1.343,1.4,1.348,1.442,1.42,1.356,0.064
7-Oct-02,1.416,1.394,1.436,1.445,1.379,1.45,1.372,1.461,1.409,1.384,0.025
14-Oct-02,1.422,1.391,1.442,1.442,1.376,1.464,1.379,1.465,1.398,1.393,0.005
21-Oct-02,1.443,1.415,1.452,1.452,1.404,1.489,1.409,1.464,1.394,1.418,-0.024
28-Oct-02,1.427,1.409,1.461,1.455,1.394,1.455,1.405,1.465,1.387,1.408,-0.021
4-Nov-02,1.427,1.403,1.465,1.459,1.386,1.464,1.394,1.462,1.396,1.393,0.003
11-Nov-02,1.406,1.395,1.483,1.466,1.373,1.419,1.38,1.455,1.406,1.368,0.038
18-Nov-02,1.37,1.372,1.478,1.435,1.352,1.357,1.355,1.443,1.407,1.335,0.072
25-Nov-02,1.336,1.35,1.474,1.419,1.327,1.3,1.335,1.423,1.394,1.312,0.082
2-Dec-02,1.316,1.338,1.474,1.416,1.312,1.265,1.327,1.41,1.388,1.302,0.086
9-Dec-02,1.316,1.324,1.465,1.415,1.295,1.283,1.317,1.391,1.379,1.297,0.082
16-Dec-02,1.322,1.321,1.463,1.413,1.292,1.312,1.309,1.373,1.363,1.288,0.075
23-Dec-02,1.371,1.369,1.477,1.46,1.341,1.386,1.345,1.382,1.36,1.34,0.02
30-Dec-02,1.417,1.417,1.502,1.496,1.393,1.442,1.395,1.389,1.369,1.395,-0.026
6-Jan-03,1.412,1.43,1.51,1.512,1.405,1.413,1.402,1.411,1.376,1.408,-0.032
13-Jan-03,1.423,1.43,1.504,1.514,1.405,1.435,1.4,1.413,1.397,1.402,-0.005
20-Jan-03,1.422,1.431,1.504,1.511,1.407,1.427,1.408,1.414,1.41,1.411,-0.001
27-Jan-03,1.437,1.436,1.502,1.518,1.412,1.448,1.416,1.438,1.44,1.426,0.014
3-Feb-03,1.499,1.497,1.547,1.569,1.477,1.515,1.474,1.483,1.492,1.481,0.011
10-Feb-03,1.582,1.583,1.627,1.645,1.566,1.6,1.559,1.559,1.561,1.568,-0.007
17-Feb-03,1.63,1.612,1.664,1.664,1.596,1.657,1.583,1.618,1.665,1.583,0.082
24-Feb-03,1.617,1.606,1.664,1.666,1.589,1.613,1.585,1.626,1.726,1.577,0.149
3-Mar-03,1.641,1.605,1.667,1.663,1.588,1.654,1.581,1.646,1.801,1.573,0.228
10-Mar-03,1.663,1.624,1.663,1.679,1.608,1.679,1.595,1.667,1.844,1.588,0.256
17-Mar-03,1.673,1.644,1.68,1.7,1.628,1.674,1.614,1.68,1.864,1.612,0.252
24-Mar-03,1.626,1.613,1.666,1.674,1.595,1.589,1.59,1.671,1.858,1.597,0.261
31-Mar-03,1.577,1.575,1.644,1.64,1.556,1.515,1.56,1.647,1.835,1.565,0.27
7-Apr-03,1.557,1.546,1.621,1.609,1.527,1.505,1.529,1.627,1.813,1.528,0.285
14-Apr-03,1.521,1.517,1.584,1.588,1.496,1.465,1.487,1.595,1.78,1.486,0.294
21-Apr-03,1.504,1.486,1.571,1.558,1.464,1.47,1.46,1.57,1.745,1.45,0.295
28-Apr-03,1.486,1.467,1.56,1.539,1.445,1.457,1.436,1.553,1.716,1.429,0.287
5-May-03,1.441,1.433,1.544,1.508,1.409,1.394,1.403,1.531,1.681,1.393,0.288
12-May-03,1.427,1.402,1.506,1.477,1.379,1.406,1.373,1.511,1.644,1.359,0.285
19-May-03,1.444,1.397,1.494,1.471,1.374,1.463,1.369,1.507,1.61,1.362,0.248
26-May-03,1.439,1.392,1.482,1.463,1.371,1.46,1.369,1.495,1.597,1.36,0.237
2-Jun-03,1.428,1.393,1.484,1.457,1.372,1.439,1.364,1.483,1.594,1.356,0.238
9-Jun-03,1.456,1.408,1.475,1.466,1.388,1.495,1.376,1.478,1.6,1.363,0.237
16-Jun-03,1.48,1.443,1.486,1.485,1.427,1.508,1.402,1.513,1.656,1.386,0.27
23-Jun-03,1.451,1.432,1.478,1.474,1.416,1.441,1.397,1.52,1.665,1.382,0.283
30-Jun-03,1.443,1.42,1.468,1.461,1.404,1.437,1.385,1.517,1.655,1.369,0.286
7-Jul-03,1.448,1.425,1.478,1.46,1.41,1.442,1.39,1.519,1.662,1.38,0.282
14-Jul-03,1.489,1.479,1.496,1.5,1.471,1.487,1.436,1.521,1.65,1.423,0.227
21-Jul-03,1.496,1.488,1.521,1.525,1.475,1.489,1.45,1.541,1.636,1.439,0.197
28-Jul-03,1.488,1.485,1.519,1.52,1.472,1.475,1.443,1.571,1.624,1.431,0.193
4-Aug-03,1.516,1.488,1.518,1.521,1.476,1.537,1.447,1.582,1.636,1.44,0.196
11-Aug-03,1.55,1.53,1.558,1.55,1.522,1.561,1.488,1.621,1.672,1.47,0.202
18-Aug-03,1.594,1.57,1.592,1.592,1.562,1.593,1.523,1.649,1.82,1.502,0.318
25-Aug-03,1.693,1.658,1.707,1.698,1.642,1.711,1.606,1.71,1.937,1.583,0.354
1-Sep-03,1.688,1.664,1.742,1.748,1.632,1.691,1.595,1.749,1.947,1.573,0.374
8-Sep-03,1.653,1.637,1.723,1.732,1.601,1.638,1.572,1.74,1.925,1.543,0.382
15-Sep-03,1.636,1.611,1.704,1.703,1.575,1.643,1.543,1.72,1.871,1.513,0.358
22-Sep-03,1.58,1.576,1.675,1.672,1.54,1.56,1.501,1.678,1.815,1.465,0.35
29-Sep-03,1.524,1.544,1.661,1.648,1.503,1.479,1.454,1.633,1.764,1.415,0.349
6-Oct-03,1.511,1.521,1.642,1.633,1.477,1.491,1.427,1.6,1.722,1.397,0.325
13-Oct-03,1.515,1.509,1.624,1.618,1.468,1.515,1.435,1.573,1.692,1.413,0.279
20-Oct-03,1.527,1.504,1.62,1.608,1.464,1.554,1.437,1.57,1.665,1.422,0.243
27-Oct-03,1.499,1.487,1.608,1.582,1.449,1.504,1.42,1.587,1.645,1.406,0.239
3-Nov-03,1.494,1.477,1.585,1.571,1.441,1.507,1.412,1.574,1.637,1.398,0.239
10-Nov-03,1.464,1.46,1.563,1.552,1.424,1.453,1.397,1.555,1.631,1.38,0.251
17-Nov-03,1.459,1.457,1.561,1.539,1.425,1.442,1.397,1.542,1.64,1.385,0.255
24-Nov-03,1.478,1.472,1.575,1.546,1.442,1.475,1.409,1.533,1.64,1.405,0.235
1-Dec-03,1.454,1.465,1.574,1.541,1.434,1.426,1.404,1.514,1.627,1.395,0.232
8-Dec-03,1.441,1.452,1.556,1.535,1.419,1.415,1.394,1.496,1.602,1.384,0.218
15-Dec-03,1.433,1.449,1.552,1.527,1.417,1.406,1.39,1.481,1.582,1.379,0.203
22-Dec-03,1.459,1.467,1.567,1.533,1.44,1.449,1.409,1.506,1.567,1.4,0.167
29-Dec-03,1.454,1.47,1.567,1.534,1.444,1.434,1.413,1.498,1.563,1.395,0.168
5-Jan-04,1.492,1.495,1.576,1.547,1.473,1.495,1.442,1.493,1.581,1.43,0.151
12-Jan-04,1.544,1.567,1.622,1.595,1.554,1.537,1.496,1.522,1.616,1.482,0.134
19-Jan-04,1.579,1.601,1.654,1.648,1.582,1.571,1.535,1.54,1.657,1.517,0.14
26-Jan-04,1.604,1.621,1.679,1.672,1.602,1.606,1.545,1.569,1.679,1.524,0.155
2-Feb-04,1.591,1.622,1.687,1.679,1.6,1.57,1.546,1.566,1.692,1.521,0.171
9-Feb-04,1.609,1.624,1.679,1.68,1.603,1.608,1.551,1.572,1.708,1.529,0.179
16-Feb-04,1.617,1.631,1.682,1.69,1.61,1.615,1.556,1.589,1.724,1.536,0.188
23-Feb-04,1.641,1.647,1.709,1.708,1.624,1.641,1.573,1.603,1.801,1.556,0.245
1-Mar-04,1.664,1.665,1.727,1.732,1.64,1.664,1.589,1.639,1.855,1.571,0.284
8-Mar-04,1.69,1.698,1.751,1.761,1.675,1.679,1.619,1.707,1.864,1.598,0.266
15-Mar-04,1.675,1.695,1.751,1.75,1.674,1.643,1.618,1.725,1.861,1.592,0.269
22-Mar-04,1.698,1.714,1.757,1.769,1.694,1.678,1.634,1.744,1.855,1.609,0.246
29-Mar-04,1.716,1.723,1.761,1.772,1.705,1.707,1.646,1.775,1.86,1.626,0.234
5-Apr-04,1.737,1.741,1.758,1.772,1.73,1.722,1.677,1.788,1.904,1.65,0.254
