price,location
2.29,Flagstaff
2.41,Flagstaff
2.35,Flagstaff
2.25,Flagstaff
2.22,Flagstaff
2.29,Flagstaff
2.41,Flagstaff
2.29,Flagstaff
2.25,Flagstaff
2.35,Flagstaff
2.29,Flagstaff
2.35,Flagstaff
2.35,Flagstaff
2.35,Flagstaff
2.35,Flagstaff
2.35,Flagstaff
2.29,Flagstaff
2.35,Flagstaff
2.35,Flagstaff
2.29,Flagstaff
2.35,Flagstaff
2.35,Flagstaff
2.33,Flagstaff
2.35,Flagstaff
2.35,Flagstaff
1.94,Huntsville
1.94,Huntsville
1.74,Huntsville
1.75,Huntsville
1.78,Huntsville
1.65,Huntsville
1.71,Huntsville
1.69,Huntsville
2.19,Huntsville
2.19,Huntsville
1.64,Huntsville
1.75,Huntsville
1.67,Huntsville
1.75,Huntsville
1.99,Huntsville
1.85,Huntsville
1.95,Huntsville
1.89,Huntsville
1.67,Huntsville
1.67,Huntsville
1.95,Huntsville
1.89,Huntsville
1.75,Huntsville
1.87,Huntsville
1.81,Huntsville
