Year,Average Gasoline Prices of West Coast Region,Average Gasoline Prices of Rocky Mountain Region
1994,1.174,1.139
1995,1.209,1.141
1996,1.317,1.233
1997,1.33,1.255
1998,1.154,1.093
1999,1.329,1.201
2000,1.63,1.512
2001,1.579,1.449
2002,1.46,1.355
2003,1.773,1.566
2004,2.063,1.846
2005,2.434,2.265
2006,2.757,2.556
2007,3.004,2.797
2008,3.448,3.214
2009,2.612,2.286
2010,3.033,2.767
2011,3.741,3.42
2012,3.932,3.504
2013,3.778,3.429
2014,3.652,3.335
2015,2.978,2.408
2016,2.58,2.126
2017,2.88,2.407
2018,3.3,2.775
2019,3.337,2.646
