County,Year,Good_Days
LA,2020,58
LA,2019,66
LA,2018,35
LA,2017,38
LA,2016,32
LA,2015,26
LA,2014,24
LA,2013,22
LA,2012,33
LA,2011,17
LA,2010,32
LA,2009,34
LA,2008,31
LA,2007,45
LA,2006,64
LA,2005,57
LA,2004,29
LA,2003,41
LA,2002,34
LA,2001,20
LA,2000,27
LA,1999,17
LA,1998,54
LA,1997,33
LA,1996,42
Tuolumne,2020,172
Tuolumne,2019,273
Tuolumne,2018,254
Tuolumne,2017,231
Tuolumne,2016,223
Tuolumne,2015,264
Tuolumne,2014,214
Tuolumne,2013,284
Tuolumne,2012,246
Tuolumne,2011,259
Tuolumne,2010,274
Tuolumne,2009,256
Tuolumne,2008,237
Tuolumne,2007,246
Tuolumne,2006,268
Tuolumne,2005,264
Tuolumne,2004,226
Tuolumne,2003,208
Tuolumne,2002,193
Tuolumne,2001,208
Tuolumne,2000,183
Tuolumne,1999,176
Tuolumne,1998,208
Tuolumne,1997,194
Tuolumne,1996,211
