year	income
1967.00	42056.00
1968.00	43868.00
1969.00	45499.00
1970.00	45146.00
1971.00	44707.00
1972.00	46622.00
1973.00	47563.00
1974.00	46057.00
1975.00	44851.00
1976.00	45595.00
1977.00	45884.00
1978.00	47659.00
1979.00	47527.00
1980.00	46024.00
1981.00	45260.00
1982.00	45139.00
1983.00	44823.00
1984.00	46215.00
1985.00	47079.00
1986.00	48746.00
1987.00	49358.00
1988.00	49737.00
1989.00	50624.00
1990.00	49950.00
1991.00	48516.00
1992.00	48117.00
1993.00	47884.00
1994.00	48418.00
1995.00	49935.00
1996.00	50661.00
1997.00	51704.00
1998.00	53582.00
1999.00	54932.00
2000.00	54841.00
2001.00	53646.00
2002.00	53019.00
2003.00	52973.00
2004.00	52788.00
2005.00	53371.00
2006.00	53768.00
2007.00	54489.00
2008.00	52546.00
2009.00	52195.00
2010.00	50831.00
2011.00	50045.00
