Year,Rate                                                                                                                                                                                                              
1983,4.31                                                                                                                                                                                                              
1984,4.42                                                                                                                                                                                                              
1985,4.52                                                                                                                                                                                                              
1986,4.35                                                                                                                                                                                                              
1987,4.39                                                                                                                                                                                                              
1988,4.21                                                                                                                                                                                                              
1989,3.4                                                                                                                                                                                                               
1990,3.61                                                                                                                                                                                                              
1991,3.67                                                                                                                                                                                                              
1992,3.61                                                                                                                                                                                                              
1993,2.98                                                                                                                                                                                                              
1994,2.95                                                                                                                                                                                                              
1995,2.72                                                                                                                                                                                                              
1996,2.96                                                                                                                                                                                                              
1997,2.3                                                                                                                                                                                                               
