Date	time	Assests                                                                                                                                                                                                           
6-Mar	1	96.9
6-Jun	2	107.4
6-Sep	3	107.2
6-Dec	4	116.2
7-Mar	5	123.7
7-Jun	6	134
7-Sep	7	123
7-Dec	8	93.2
8-Mar	9	93.7
8-Jun	10	105.6
8-Sep	11	101.5
8-Dec	12	158.8
9-Mar	13	118.7
9-Jun	14	111.9
9-Sep	15	87
9-Dec	16	86.1
10-Mar	17	83.4
10-Jun	18	85.7
10-Sep	19	74.8
10-Dec	20	76
11-Mar	21	75.7
11-Jun	22	75.9
11-Sep	23	75.2
11-Dec	24	87.9
12-Mar	25	91
12-Jun	26	90.1
12-Sep	27	83.9
12-Dec	28	95.8
13-Mar	29	90.5
