River,length,flowsto,length_1
Clarence,209,Pacific,209
Conway,48,Pacific,48
Waiau,169,Pacific,169
Hurunui,138,Pacific,138
Waipara,64,Pacific,64
Ashley,97,Pacific,97
Waimakariri,161,Pacific,161
Selwyn,95,Pacific,95
Rakaia,145,Pacific,145
Ashburton,90,Pacific,90
Rangitata,121,Pacific,121
Ophi,80,Pacific,80
Pareora,56,Pacific,56
Waihao,64,Pacific,64
Waitaki,209,Pacific,209
Kakanui,64,Pacific,64
Shag,72,Pacific,72
Taieri,288,Pacific,288
Clutha,322,Pacific,322
Hollyford,76,Tasman,76
Cascade,64,Tasman,64
Arawhata,68,Tasman,68
Haast,64,Tasman,64
Karangarua,37,Tasman,37
Cook,32,Tasman,32
Waiho,32,Tasman,32
Whataroa,51,Tasman,51
Wanganui,56,Tasman,56
Waitaha,40,Tasman,40
Hokitika,64,Tasman,64
Arahura,56,Tasman,56
Taramakau,80,Tasman,80
Grey,121,Tasman,121
Buller,177,Tasman,177
Mokihinui,56,Tasman,56
Karamea,80,Tasman,80
Heaphy,35,Tasman,35
Aorere,72,Tasman,72
Takaka,72,Tasman,72
Motueka,108,Tasman,108
Waimea,48,Tasman,48
