River	length	flowsto                                                                                                                                                                                                   
Clarence	209.00	Pacific                                                                                                                                                                                                
Conway	48.00	Pacific                                                                                                                                                                                                   
Waiau	169.00	Pacific                                                                                                                                                                                                   
Hurunui	138.00	Pacific                                                                                                                                                                                                 
Waipara	64.00	Pacific                                                                                                                                                                                                  
Ashley	97.00	Pacific                                                                                                                                                                                                   
Waimakariri	161.00	Pacific                                                                                                                                                                                             
Selwyn	95.00	Pacific                                                                                                                                                                                                   
Rakaia	145.00	Pacific                                                                                                                                                                                                  
Ashburton	90.00	Pacific                                                                                                                                                                                                
Rangitata	121.00	Pacific                                                                                                                                                                                               
Ophi	80.00	Pacific                                                                                                                                                                                                     
Pareora	56.00	Pacific                                                                                                                                                                                                  
Waihao	64.00	Pacific                                                                                                                                                                                                   
Waitaki	209.00	Pacific                                                                                                                                                                                                 
Kakanui	64.00	Pacific                                                                                                                                                                                                  
Shag	72.00	Pacific                                                                                                                                                                                                     
Taieri	288.00	Pacific                                                                                                                                                                                                  
Clutha	322.00	Pacific                                                                                                                                                                                                  
Hollyford	76.00	Tasman                                                                                                                                                                                                 
Cascade	64.00	Tasman                                                                                                                                                                                                   
Arawhata	68.00	Tasman                                                                                                                                                                                                  
Haast	64.00	Tasman                                                                                                                                                                                                     
Karangarua	37.00	Tasman                                                                                                                                                                                                
Cook	32.00	Tasman                                                                                                                                                                                                      
Waiho	32.00	Tasman                                                                                                                                                                                                     
Whataroa	51.00	Tasman                                                                                                                                                                                                  
Wanganui	56.00	Tasman                                                                                                                                                                                                  
Waitaha	40.00	Tasman                                                                                                                                                                                                   
Hokitika	64.00	Tasman                                                                                                                                                                                                  
Arahura	56.00	Tasman                                                                                                                                                                                                   
Taramakau	80.00	Tasman                                                                                                                                                                                                 
Grey	121.00	Tasman                                                                                                                                                                                                     
Buller	177.00	Tasman                                                                                                                                                                                                   
Mokihinui	56.00	Tasman                                                                                                                                                                                                 
Karamea	80.00	Tasman                                                                                                                                                                                                   
Heaphy	35.00	Tasman                                                                                                                                                                                                    
Aorere	72.00	Tasman                                                                                                                                                                                                    
Takaka	72.00	Tasman                                                                                                                                                                                                    
Motueka	108.00	Tasman                                                                                                                                                                                                  
Waimea	48.00	Tasman                                                                                                                                                                                                    
