Country,num_mobil_subsc,WHO_region
Afghanistan,29,EasMed
Albania,100,Europe
Algeria,93,Africa
Andorra,76,Europe
Angola,38,Africa
Antigua and Barbuda,158,Americas
Argentina,117,Americas
Armenia,100,Europe
Australia,105,WesPac
Austria,130,Europe
Azerbaijan,75,Europe
Bahamas,106,Americas
Bahrain,186,EasMed
Bangladesh,28,SEAsia
Barbados,159,Americas
Belarus,84,Europe
Belgium,112,Europe
Belize,53,Americas
Benin,42,Africa
Bhutan,37,SEAsia
Bolivia,50,Americas
Bosnia-Herzegovina,84,Europe
Botswana,77,Africa
Brazil,78,Americas
Brunei,96,WesPac
Bulgaria,138,Europe
Burkina Faso,17,Africa
Burundi,6,Africa
Cambodia,29,WesPac
Cameroon,32,Africa
Canada,66,Americas
Cape Verde,56,Africa
Central African Republic,4,Africa
Chad,17,Africa
Channel Islands,-,Europe
Chile,88,Americas
China,48,WesPac
Colombia,92,Americas
Comoros,15,Africa
Congo,50,Africa
"Congo, Dem. Rep. of",14,Africa
Costa Rica,42,Americas
Cote d'Ivoire,51,Africa
Croatia,133,Europe
Cuba,3,Americas
Cyprus,118,Europe
Czech Republic,134,Europe
Denmark,126,Europe
Djibouti,13,EasMed
Dominica,150,Americas
Dominican Republic,72,Americas
Ecuador,86,Americas
Egypt,51,EasMed
El Salvador,113,Americas
Equatorial Guinea,52,Africa
Eritrea,2,Africa
Estonia,188,Europe
Ethiopia,2,Africa
Federated States of Micronesia,31,WesPac
Fiji,71,WesPac
Finland,129,Europe
France,93,Europe
French Guiana,50,Americas
French Polynesia,70,WesPac
Gabon,90,Africa
Gambia,70,Africa
Georgia,64,Europe
Germany,128,Europe
Ghana,50,Africa
Greece,124,Europe
Grenada,58,Americas
Guadeloupe,70,Americas
Guam,59,WesPac
Guatemala,109,Americas
Guinea,39,Africa
Guinea-Bissau,32,Africa
Guyana,37,Americas
Haiti,32,Americas
Honduras,85,Americas
"Hong Kong, SAR",166,WesPac
Hungary,122,Europe
Iceland,109,Europe
India,29,SEAsia
Indonesia,62,SEAsia
Iran,59,EasMed
Iraq,58,EasMed
Ireland,121,Europe
Israel,127,Europe
Italy,152,Europe
Jamaica,101,Americas
Japan,87,WesPac
Jordan,87,EasMed
Kazakhstan,96,Europe
Kenya,42,Africa
Kiribati,1,WesPac
"Korea, North",-,SEAsia
"Korea, South",95,SEAsia
Kosovo,-,Europe
Kuwait,100,EasMed
Kyrgyzstan,63,Europe
Laos,33,WesPac
Latvia,99,Europe
Lebanon,34,EasMed
Lesotho,28,Africa
Liberia,19,Africa
Libya,77,EasMed
Liechtenstein,95,Europe
Lithuania,151,Europe
Luxembourg,147,Europe
"Macao, SAR",177,WesPac
Macedonia,123,Europe
Madagascar,25,Africa
Malawi,12,Africa
Malaysia,103,WesPac
Maldives,143,SEAsia
Mali,27,Africa
Malta,95,Europe
Marshall Islands,2,WesPac
Martinique,75,Americas
Mauritania,65,Africa
Mauritius,81,Africa
Mayotte,28,Africa
Mexico,69,Americas
Moldova,67,Europe
Monaco,67,Europe
Mongolia,67,WesPac
Montenegro,118,Europe
Morocco,72,EasMed
Mozambique,20,Africa
Myanmar,1,SEAsia
Namibia,49,Africa
Nauru,-,WesPac
Nepal,15,SEAsia
Netherlands,125,Europe
New Caledonia,80,WesPac
New Zealand,109,WesPac
Nicaragua,55,Americas
Niger,13,Africa
Nigeria,42,Africa
Norway,110,Europe
Oman,116,EasMed
Pakistan,50,EasMed
Palau,60,WesPac
Palestinian Territory,28,EasMed
Panama,115,Americas
Papua New Guinea,9,WesPac
Paraguay,95,Americas
Peru,73,Americas
Philippines,75,WesPac
Poland,115,Europe
Portugal,140,Europe
Puerto Rico,86,Americas
Qatar,131,EasMed
Reunion,75,Africa
Romania,115,Europe
Russia,141,Europe
Rwanda,14,Africa
Samoa,69,WesPac
San Marino,77,Europe
Sao Tome and Principe,31,Africa
Saudi Arabia,143,EasMed
Senegal,44,Africa
Serbia,98,Europe
Seychelles,112,Africa
Sierra Leone,18,Africa
Singapore,138,WesPac
Slovakia,102,Europe
Slovenia,102,Europe
Solomon Islands,6,WesPac
Somalia,7,EasMed
South Africa,91,Africa
Spain,112,Europe
Sri Lanka,55,SEAsia
St. Kitts-Nevis,157,Americas
St. Lucia,100,Americas
St. Vincent & the Grenadines,119,Americas
Sudan,29,EasMed
Suriname,81,Americas
Swaziland,46,Africa
Sweden,118,Europe
Switzerland,118,Europe
Syria,33,EasMed
Taiwan,110,WesPac
Tajikistan,54,Europe
Tanzania,31,Africa
Thailand,92,SEAsia
Timor-Leste,9,SEAsia
Togo,24,Africa
Tonga,49,WesPac
Trinidad and Tobago,113,Americas
Tunisia,85,EasMed
Turkey,89,Turkey
Turkmenistan,23,Europe
Tuvalu,20,WesPac
Uganda,27,Africa
Ukraine,121,Europe
United Arab Emirates,209,EasMed
United Kingdom,126,Europe
United States,87,Americas
Uruguay,105,Americas
Uzbekistan,47,Europe
Vanuatu,15,WesPac
Venezuela,96,Americas
Vietnam,80,WesPac
Western Sahara,-,Africa
Yemen,16,EasMed
Zambia,28,Africa
Zimbabwe,13,Africa
