bed,bath,sqft,lotacres,year,date,persqft,days_on_mark,orig_price,price,type
2,1,"1,158",0.15,2019,6/13/19,228.84,231,265000,265000,house
3,1,"1,316",0.18,1964,8/31/19,216.48,152,299999,284900,house
2,1,"1,002",0.08,2019,10/11/19,289.32,111,289900,289900,house
3,1,"1,250",0.19,1960,10/30/19,244,91,339000,305000,house
2,2.5,"1,248",0.08,2019,10/11/19,256.33,111,319900,319900,house
3,2,"1,528",0.17,1965,1/29/20,209.42,1,320000,320000,house
3,2,"1,388",0.16,1974,1/9/20,234.15,21,325000,325000,house
3,2.5,"1,325",0.08,2018,9/21/19,248.98,131,329900,329900,house
2,2,"1,519",0.08,2019,3/15/19,226.72,321,328400,344400,house
3,2,"1,519",0.08,2019,3/15/19,227.06,321,328900,344900,house
2,2,"1,519",0.08,2019,3/15/19,227.72,321,329900,345900,house
2,2,"1,519",0.08,2019,3/15/19,227.72,321,329900,345900,house
2,2,"1,519",0.08,2019,3/15/19,227.72,321,329900,345900,house
2,2,"1,519",0.08,2019,3/15/19,227.72,321,329900,345900,house
2,2,"1,519",0.08,2019,3/15/19,227.72,321,329900,345900,house
4,3.5,"1,678",0.08,2018,10/14/19,209.71,108,351900,351900,house
2,2,"1,550",0.08,2019,12/6/19,231.61,47,344000,359000,house
3,2.5,"1,727",0.09,2012,1/1/20,211.35,29,365000,365000,house
2,2,"1,459",0.08,2019,1/1/20,251.16,412,366448,366448,house
4,2,"2,100",0.17,1960,1/28/20,175.24,2,368000,368000,house
3,2.5,"1,697",0.05,2013,1/24/20,223.34,6,379000,379000,house
3,2,"1,434",0.16,1940,9/23/19,264.99,129,399000,380000,house
3,2.5,"1,700",0.06,2020,1/18/20,228.82,12,389000,389000,house
3,2,"1,996",0.08,2019,3/15/19,196.49,321,329900,392202,house
3,2,"1,669",0.15,2019,7/6/19,236.6,208,402400,394900,house
3,2,"1,455",0.08,2018,10/1/19,271.47,121,399000,395000,house
3,2,"1,609",0.18,2002,12/4/19,245.49,57,395000,395000,house
3,2,"1,777",0.24,1950,9/5/19,224.81,147,425000,399500,house
3,2.5,"2,071",0.08,2019,3/15/19,194.34,321,329900,402480,house
3,2,"1,424",0.15,2019,7/6/19,291.36,208,372400,414900,house
4,1.75,"1,547",0.17,1986,1/18/20,271.17,12,425000,419500,house
4,2,"2,225",0.19,1989,9/7/19,191.01,145,445000,425000,house
3,3,"2,054",0.08,2019,7/26/19,209.38,188,398775,430070,house
3,2,"1,569",0.15,2020,1/19/20,276.55,11,433900,433900,house
4,2.5,"2,135",0.16,1992,1/14/20,203.75,16,435000,435000,house
4,2.5,"2,013",0.06,2017,10/9/19,221.01,113,444900,444900,house
3,2.5,"1,950",0.09,2015,1/22/20,233.33,8,455000,455000,house
3,2,"1,701",0.19,2019,6/13/19,275.66,424,456400,468900,house
4,2,"1,914",0.32,2000,12/15/19,245.04,46,469000,469000,house
3,2.5,"2,090",0.17,2019,7/14/19,227.22,125,439900,474900,house
4,2,"1,542",0.16,1973,11/13/19,311.28,78,480000,480000,house
4,2.5,"2,264",0.44,1999,10/31/19,213.11,91,493500,482500,house
4,2.5,"2,400",0.18,2019,7/12/19,208.71,197,451400,500900,house
5,2.75,"3,182",0.23,1991,7/13/19,164.99,201,550000,525000,house
4,3.5,"2,528",0.16,2019,10/1/19,211.98,121,545900,535900,house
3,2.5,"2,530",0.3,1990,12/7/19,213.39,25,539900,539900,house
3,2.5,"2,450",0.13,2019,1/17/20,228.16,13,559000,559000,house
4,3.5,"2,362",0.16,2019,9/10/19,239.31,142,505689,565262,house
4,3.5,"3,020",0.18,2004,1/30/20,198.64,0,599900,599900,house
4,5,"3,732",0.27,1987,10/12/19,163.42,110,639000,609900,house
4,3,"2,629",0.3,1989,12/3/19,237.73,58,625000,625000,house
3,4,"2,550",0.16,2017,12/9/19,258.82,52,660000,660000,house
4,3.5,"3,760",0.67,1974,11/27/19,196.54,64,749000,739000,house
3,3.5,"2,638",0.46,2010,11/18/19,293.78,73,775000,775000,house
3,2.5,"2,341",0.31,2005,12/8/19,341.52,53,799500,799500,house
3,2.5,"2,366",0.25,2006,6/24/19,344.46,220,860000,815000,house
3,3,"2,852",0.36,2006,4/6/19,298.03,514,875000,850000,house
3,3.5,"2,305",0.4,2014,11/10/18,370.49,446,854000,854000,house
3,3.5,"3,000",0.32,2005,6/20/19,298.33,224,949000,895000,house
4,3.5,"3,636",0.58,2014,7/29/19,254.4,283,950000,925000,house
3,3,"3,386",5,2003,11/11/19,289.43,80,980000,980000,house
3,3.5,"2,962",0.33,2006,1/29/19,335.92,366,995000,995000,house
4,3.5,"3,358",0.58,2018,3/30/18,297.64,671,989000,999500,house
3,3.5,"2,617",0.53,2006,1/23/20,403.13,7,1055000,1055000,house
