country,leprosy,eegion,Income_group
Afghanistan,45,South Asia,Low income
Albania,No data,Europe & Central Asia,Upper middle income
Algeria,No data,Middle East & North Africa,Upper middle income
Andorra,0,Europe & Central Asia,High income
Angola,605,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,0,Latin America & Caribbean,High income
Argentina,250,Latin America & Caribbean,Upper middle income
Armenia,0,Europe & Central Asia,Upper middle income
Australia,10,East Asia & Pacific,High income
Austria,0,Europe & Central Asia,High income
Azerbaijan,No data,Europe & Central Asia,Upper middle income
Bahamas,No data,Latin America & Caribbean,High income
Bahrain,2,Middle East & North Africa,High income
Bangladesh,3754,South Asia,Lower middle income
Barbados,No data,Latin America & Caribbean,High income
Belarus,0,Europe & Central Asia,Upper middle income
Belgium,0,Europe & Central Asia,High income
Belize,1,Latin America & Caribbean,Upper middle income
Benin,150,Sub-Saharan Africa,Low income
Bhutan,12,South Asia,Lower middle income
Bolivia,62,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,0,Europe & Central Asia,Upper middle income
Botswana,1,Sub-Saharan Africa,Upper middle income
Brazil,26875,Latin America & Caribbean,Upper middle income
Brunei Darussalam,2,East Asia & Pacific,High income
Bulgaria,No data,Europe & Central Asia,Upper middle income
Burkina Faso,192,Sub-Saharan Africa,Low income
Burundi,400,Sub-Saharan Africa,Low income
Cambodia,137,East Asia & Pacific,Lower middle income
Cameroon,249,Sub-Saharan Africa,Lower middle income
Canada,5,North America,High income
Cabo Verde,9,Sub-Saharan Africa,Lower middle income
Central African Republic,341,Sub-Saharan Africa,Low income
Chad,373,Sub-Saharan Africa,Low income
Chile,5,Latin America & Caribbean,High income
China,634,East Asia & Pacific,Upper middle income
Colombia,362,Latin America & Caribbean,Upper middle income
Comoros,429,Sub-Saharan Africa,Lower middle income
Congo,204,Sub-Saharan Africa,Lower middle income
Costa Rica,11,Latin America & Caribbean,Upper middle income
Côte d'Ivoire,773,Sub-Saharan Africa,Lower middle income
Croatia,No data,Europe & Central Asia,High income
Cuba,190,Latin America & Caribbean,Upper middle income
Cyprus,0,Europe & Central Asia,High income
Czechia,0,Europe & Central Asia,High income
Democratic People's Republic of Korea,No data,East Asia & Pacific,Low income
Democratic Republic of the Congo,3649,Sub-Saharan Africa,Low income
Denmark,No data,Europe & Central Asia,High income
Djibouti,No data,Middle East & North Africa,Lower middle income
Dominica,No data,Latin America & Caribbean,Upper middle income
Dominican Republic,123,Latin America & Caribbean,Upper middle income
Ecuador,44,Latin America & Caribbean,Upper middle income
Egypt,543,Middle East & North Africa,Lower middle income
El Salvador,4,Latin America & Caribbean,Lower middle income
Equatorial Guinea,11,Sub-Saharan Africa,Upper middle income
Eritrea,3,Sub-Saharan Africa,Low income
Estonia,0,Europe & Central Asia,High income
Ethiopia,3114,Sub-Saharan Africa,Low income
Fiji,4,East Asia & Pacific,Upper middle income
Finland,No data,Europe & Central Asia,High income
France,8,Europe & Central Asia,High income
Gabon,6,Sub-Saharan Africa,Upper middle income
Gambia,0,Sub-Saharan Africa,Low income
Georgia,0,Europe & Central Asia,Upper middle income
Germany,No data,Europe & Central Asia,High income
Ghana,258,Sub-Saharan Africa,Lower middle income
Greece,0,Europe & Central Asia,High income
Grenada,No data,Europe & Central Asia,High income
Guatemala,0,Latin America & Caribbean,Upper middle income
Guinea,239,Sub-Saharan Africa,Low income
Guinea-Bissau,32,Sub-Saharan Africa,Low income
Guyana,67,Latin America & Caribbean,Upper middle income
Haiti,36,Latin America & Caribbean,Low income
Honduras,2,Latin America & Caribbean,Lower middle income
Hungary,No data,Europe & Central Asia,High income
Iceland,No data,Europe & Central Asia,High income
India,126164,South Asia,Lower middle income
Indonesia,15910,East Asia & Pacific,Lower middle income
Iran (Islamic Republic of),19,Middle East & North Africa,Upper middle income
Iraq,No data,Middle East & North Africa,Upper middle income
Ireland,No data,Europe & Central Asia,High income
Israel,No data,Middle East & North Africa,High income
Italy,8,Europe & Central Asia,High income
Jamaica,No data,Latin America & Caribbean,Upper middle income
Japan,2,East Asia & Pacific,High income
Jordan,0,Middle East & North Africa,Upper middle income
Kazakhstan,1,Europe & Central Asia,Upper middle income
Kenya,26,Sub-Saharan Africa,Lower middle income
Kiribati,187,East Asia & Pacific,Lower middle income
Kuwait,6,Middle East & North Africa,High income
Kyrgyzstan,No data,Europe & Central Asia,Lower middle income
Lao People's Democratic Republic,90,East Asia & Pacific,Lower middle income
Latvia,0,Europe & Central Asia,High income
Lebanon,0,Middle East & North Africa,Upper middle income
Lesotho,No data,Sub-Saharan Africa,Lower middle income
Liberia,152,Sub-Saharan Africa,Low income
Libya,1,Middle East & North Africa,Upper middle income
Lithuania,No data,Europe & Central Asia,High income
Luxembourg,No data,Europe & Central Asia,High income
Madagascar,1430,Sub-Saharan Africa,Low income
Malawi,351,Sub-Saharan Africa,Low income
