country	lifexp-2011	fertilrate-2011	lifexp-2000	fertilrate-2000	lifexp-1990	fertilrate-1990
Aruba	75.08039024	1.69	73.72060976	1.874	73.38997561	2.249
Andorra						
Afghanistan	60.06536585	5.395	54.84856098	7.733	48.56704878	7.687
Angola	51.05931707	6.099	45.20478049	6.844	41.13834146	7.165
Albania	77.16321951	1.748	74.27207317	2.383	71.95731707	2.97
Arab World	69.75853265	3.265545167	67.67006183	3.816890691	64.62899387	5.10195938
United Arab Emirates	76.781	1.841	74.40568293	2.644	71.72063415	4.388
Argentina	75.83860976	2.201	73.74565854	2.477	71.54365854	2.989
Armenia	74.33219512	1.738	71.27653659	1.688	67.74780488	2.538
American Samoa						
Antigua and Barbuda	75.50036585	2.115	73.39729268	2.316	71.16295122	2.061
Australia	81.84634146	1.87	79.23414634	1.756	76.99463415	1.902
Austria	81.03170732	1.42	78.02682927	1.36	75.53	1.45
Azerbaijan	70.55129268	1.92	66.7582439	2	64.74636585	2.74
Burundi	53.13656098	6.214	48.20802439	7.057	47.32914634	7.542
Belgium	80.48536585	1.84	77.72195122	1.67	76.05195122	1.62
Benin	58.94490244	5.01	55.1882439	5.975	53.42	6.744
Burkina Faso	55.4404878	5.781	50.4827561	6.592	49.36560976	7.007
Bangladesh	69.89180488	2.24	65.31973171	3.12	60.0084878	4.55
Bulgaria	74.16341463	1.51	71.66341463	1.26	71.64146341	1.81
Bahrain	76.40204878	2.115	74.5892439	2.765	72.5072439	3.738
"Bahamas, The"	74.75490244	1.898	72.25429268	2.071	70.63065854	2.639
Bosnia and Herzegovina	75.96241463	1.255	74.66917073	1.381	67.44639024	1.708
Belarus	70.65121951	1.51	68.91219512	1.31	70.83658537	1.91
Belize	73.48780488	2.756	70.53904878	3.594	71.1812439	4.508
Bermuda	79.28853659	1.764	77.86487805	1.74		
Bolivia	66.62692683	3.308	62.95460976	4.14	58.77858537	4.913
Brazil	73.34736585	1.822	70.25739024	2.364	66.515	2.809
Barbados	74.96714634	1.842	73.0194878	1.768	70.87453659	1.74
Brunei Darussalam	78.18102439	2.031	76.03095122	2.401	73.7164878	3.532
Bhutan	67.46073171	2.322	60.29080488	3.608	52.46431707	5.639
Botswana	46.66895122	2.712	50.48963415	3.413	62.9355122	4.698
Sub-Saharan Africa (IFC classification)						
Central African Republic	48.79304878	4.538	43.69231707	5.446	46.04782927	5.78
Canada	81.06831707	1.6269	79.23658537	1.49	77.37707317	1.83
East Asia and the Pacific (IFC classification)						
Europe and Central Asia (IFC classification)						
Switzerland	82.69512195	1.52	79.6804878	1.5	77.24243902	1.59
Channel Islands	79.97863415	1.444	77.52460976	1.402	75.4182439	1.46
Chile	79.3065122	1.844	76.75856098	2.087	73.54514634	2.624
China	75.042	1.657	72.14073171	1.51	69.47156098	2.506
Cote d'Ivoire	50.04756098	4.907	46.45390244	5.375	52.60892683	6.356
Latin America and the Caribbean (IFC classification)						
Middle East and North Africa (IFC classification)						
Cameroon	54.13736585	4.939	51.93587805	5.621	53.59126829	6.434
"Congo, Rep."	57.77521951	5.046	52.30192683	5.134	55.17768293	5.347
Colombia	73.57385366	2.346	70.98721951	2.64	68.29719512	3.104
Comoros	60.4254878	4.85	57.87943902	5.315	55.59941463	5.573
Cape Verde	74.20682927	2.375	69.5912439	3.701	65.88641463	5.307
Costa Rica	79.48956098	1.827	77.7344878	2.414	75.72668293	3.175
South Asia (IFC classification)						
Caribbean small states	71.62267277	2.205780909	69.3363476	2.389049303	68.82188469	2.74955792
