Sex,Location,TimeFrame,Salary
Male,Alabama,2011,"$42,951 "
Male,Alaska,2011,"$52,379 "
Male,Arizona,2011,"$42,544 "
Male,Arkansas,2011,"$37,488 "
Male,California,2011,"$49,281 "
Male,Colorado,2011,"$50,987 "
Male,Connecticut,2011,"$60,705 "
Male,Delaware,2011,"$50,411 "
Male,District of Columbia,2011,"$66,760 "
Male,Florida,2011,"$40,951 "
Male,Georgia,2011,"$43,902 "
Male,Hawaii,2011,"$45,494 "
Male,Idaho,2011,"$41,528 "
Male,Illinois,2011,"$50,746 "
Male,Indiana,2011,"$45,183 "
Male,Iowa,2011,"$43,624 "
Male,Kansas,2011,"$43,993 "
Male,Kentucky,2011,"$41,612 "
Male,Louisiana,2011,"$46,313 "
Male,Maine,2011,"$43,944 "
Male,Maryland,2011,"$56,708 "
Male,Massachusetts,2011,"$60,264 "
Male,Michigan,2011,"$50,053 "
Male,Minnesota,2011,"$50,580 "
Male,Mississippi,2011,"$40,202 "
Male,Missouri,2011,"$43,146 "
Male,Montana,2011,"$41,635 "
Male,Nebraska,2011,"$42,182 "
Male,Nevada,2011,"$41,803 "
Male,New Hampshire,2011,"$53,033 "
Male,New Jersey,2011,"$60,568 "
Male,New Mexico,2011,"$41,037 "
Male,New York,2011,"$50,388 "
Male,North Carolina,2011,"$41,950 "
Male,North Dakota,2011,"$44,660 "
Male,Ohio,2011,"$46,176 "
Male,Oklahoma,2011,"$41,420 "
Male,Oregon,2011,"$45,976 "
Male,Pennsylvania,2011,"$47,956 "
Male,Puerto Rico,2011,"$22,529 "
Male,Rhode Island,2011,"$48,842 "
Male,South Carolina,2011,"$41,464 "
Male,South Dakota,2011,"$40,285 "
Male,Tennessee,2011,"$41,309 "
Male,Texas,2011,"$43,160 "
Male,Utah,2011,"$47,573 "
Male,Vermont,2011,"$44,057 "
Male,Virginia,2011,"$52,805 "
Male,Washington,2011,"$53,046 "
Male,West Virginia,2011,"$42,125 "
Male,Wisconsin,2011,"$46,214 "
Male,Wyoming,2011,"$51,630 "
Female,Alabama,2011,"$31,862 "
Female,Alaska,2011,"$40,550 "
Female,Arizona,2011,"$36,048 "
Female,Arkansas,2011,"$30,752 "
Female,California,2011,"$41,817 "
Female,Colorado,2011,"$40,236 "
Female,Connecticut,2011,"$47,476 "
Female,Delaware,2011,"$40,500 "
Female,District of Columbia,2011,"$60,332 "
Female,Florida,2011,"$33,823 "
Female,Georgia,2011,"$35,438 "
Female,Hawaii,2011,"$37,242 "
Female,Idaho,2011,"$31,238 "
Female,Illinois,2011,"$39,150 "
Female,Indiana,2011,"$34,023 "
Female,Iowa,2011,"$33,745 "
Female,Kansas,2011,"$33,269 "
Female,Kentucky,2011,"$32,684 "
Female,Louisiana,2011,"$31,844 "
Female,Maine,2011,"$34,599 "
Female,Maryland,2011,"$48,748 "
Female,Massachusetts,2011,"$46,185 "
Female,Michigan,2011,"$36,931 "
Female,Minnesota,2011,"$40,416 "
Female,Mississippi,2011,"$29,548 "
Female,Missouri,2011,"$33,865 "
Female,Montana,2011,"$31,067 "
Female,Nebraska,2011,"$33,424 "
Female,Nevada,2011,"$35,484 "
Female,New Hampshire,2011,"$41,021 "
Female,New Jersey,2011,"$47,155 "
Female,New Mexico,2011,"$32,316 "
Female,New York,2011,"$42,113 "
Female,North Carolina,2011,"$33,459 "
Female,North Dakota,2011,"$32,462 "
Female,Ohio,2011,"$35,746 "
Female,Oklahoma,2011,"$31,274 "
Female,Oregon,2011,"$36,027 "
Female,Pennsylvania,2011,"$37,089 "
Female,Puerto Rico,2011,"$22,117 "
Female,Rhode Island,2011,"$41,412 "
Female,South Carolina,2011,"$31,330 "
Female,South Dakota,2011,"$31,329 "
Female,Tennessee,2011,"$33,184 "
Female,Texas,2011,"$35,301 "
Female,Utah,2011,"$32,843 "
Female,Vermont,2011,"$38,177 "
Female,Virginia,2011,"$40,969 "
Female,Washington,2011,"$40,993 "
Female,West Virginia,2011,"$29,688 "
Female,Wisconsin,2011,"$35,890 "
Female,Wyoming,2011,"$34,381 "
