Mode,State,Percentage                                                                                                                                                                                                                                          
Carpool,Alabama,9.90%                                                                                                                                                                                                                                          
Alone,Alabama,84.90%                                                                                                                                                                                                                                           
Public,Alabama,0.50%                                                                                                                                                                                                                                           
Other,Alabama,4.700%                                                                                                                                                                                                                                           
Carpool,Alaska,12.40%                                                                                                                                                                                                                                          
Alone,Alaska,68.20%                                                                                                                                                                                                                                            
Public,Alaska,1.90%                                                                                                                                                                                                                                            
Other,Alaska,17.500%                                                                                                                                                                                                                                           
Carpool,Arizona,11.60%                                                                                                                                                                                                                                         
Alone,Arizona,75.80%                                                                                                                                                                                                                                           
Public,Arizona,2.00%                                                                                                                                                                                                                                           
Other,Arizona,10.600%                                                                                                                                                                                                                                          
Carpool,Arkansas,10.30%                                                                                                                                                                                                                                        
Alone,Arkansas,82.70%                                                                                                                                                                                                                                          
Public,Arkansas,0.40%                                                                                                                                                                                                                                          
Other,Arkansas,6.600%                                                                                                                                                                                                                                          
Carpool,California,11.10%                                                                                                                                                                                                                                      
Alone,California,73.30%                                                                                                                                                                                                                                        
Public,California,5.20%                                                                                                                                                                                                                                        
Other,California,10.400%                                                                                                                                                                                                                                       
Carpool,Colorado,9.80%                                                                                                                                                                                                                                         
Alone,Colorado,75.50%                                                                                                                                                                                                                                          
Public,Colorado,3.10%                                                                                                                                                                                                                                          
Other,Colorado,11.600%                                                                                                                                                                                                                                         
Carpool,Connecticut,8.70%                                                                                                                                                                                                                                      
Alone,Connecticut,78.10%                                                                                                                                                                                                                                       
Public,Connecticut,4.70%                                                                                                                                                                                                                                       
Other,Connecticut,8.500%                                                                                                                                                                                                                                       
Carpool,Delaware,8.90%                                                                                                                                                                                                                                         
Alone,Delaware,81.10%                                                                                                                                                                                                                                          
Public,Delaware,3.30%                                                                                                                                                                                                                                          
Other,Delaware,6.700%                                                                                                                                                                                                                                          
Carpool,District of Columbia,6.50%                                                                                                                                                                                                                             
Alone,District of Columbia,33.10%                                                                                                                                                                                                                              
Public,District of Columbia,39.60%                                                                                                                                                                                                                             
Other,District of Columbia,20.800%                                                                                                                                                                                                                             
Carpool,Florida,9.90%                                                                                                                                                                                                                                          
Alone,Florida,79.70%                                                                                                                                                                                                                                           
Public,Florida,2.10%                                                                                                                                                                                                                                           
Other,Florida,8.300%                                                                                                                                                                                                                                           
Carpool,Georgia,10.50%                                                                                                                                                                                                                                         
Alone,Georgia,79.40%                                                                                                                                                                                                                                           
Public,Georgia,2.20%                                                                                                                                                                                                                                           
Other,Georgia,7.900%                                                                                                                                                                                                                                           
Carpool,Hawaii,14.20%                                                                                                                                                                                                                                          
Alone,Hawaii,67.10%                                                                                                                                                                                                                                            
Public,Hawaii,5.90%                                                                                                                                                                                                                                            
Other,Hawaii,12.800%                                                                                                                                                                                                                                           
Carpool,Idaho,9.80%                                                                                                                                                                                                                                            
Alone,Idaho,77.40%                                                                                                                                                                                                                                             
Public,Idaho,0.70%                                                                                                                                                                                                                                             
Other,Idaho,12.100%                                                                                                                                                                                                                                            
Carpool,Illinois,8.80%                                                                                                                                                                                                                                         
Alone,Illinois,73.30%                                                                                                                                                                                                                                          
Public,Illinois,9.00%                                                                                                                                                                                                                                          
Other,Illinois,8.900%                                                                                                                                                                                                                                          
Carpool,Indiana,8.80%                                                                                                                                                                                                                                          
