Motor Vehicles per 1,000 Population                                                                                                                                                                                                                            
Location,Location Type,TimeFrame,Data Type,Data,Footnotes                                                                                                                                                                                                      
Afghanistan,Country,2000-2005,Number,6,                                                                                                                                                                                                                        
Albania,Country,2000-2005,Number,85,                                                                                                                                                                                                                           
Algeria,Country,2000-2005,Number,91,                                                                                                                                                                                                                           
Andorra,Country,2000-2005,Number,750,                                                                                                                                                                                                                          
Angola,Country,2000-2005,Number,-,1                                                                                                                                                                                                                            
Antigua and Barbuda,Country,2000-2005,Number,-,1                                                                                                                                                                                                               
Argentina,Country,2000-2005,Number,181,                                                                                                                                                                                                                        
Armenia,Country,2000-2005,Number,-,1                                                                                                                                                                                                                           
Australia,Country,2000-2005,Number,663,                                                                                                                                                                                                                        
Austria,Country,2000-2005,Number,546,                                                                                                                                                                                                                          
Azerbaijan,Country,2000-2005,Number,72,                                                                                                                                                                                                                        
Bahamas,Country,2000-2005,Number,-,1                                                                                                                                                                                                                           
Bahrain,Country,2000-2005,Number,339,                                                                                                                                                                                                                          
Bangladesh,Country,2000-2005,Number,-,1                                                                                                                                                                                                                        
Barbados,Country,2000-2005,Number,-,1                                                                                                                                                                                                                          
Belarus,Country,2000-2005,Number,181,                                                                                                                                                                                                                          
Belgium,Country,2000-2005,Number,536,                                                                                                                                                                                                                          
Belize,Country,2000-2005,Number,157,                                                                                                                                                                                                                           
Benin,Country,2000-2005,Number,-,1                                                                                                                                                                                                                             
Bhutan,Country,2000-2005,Number,-,1                                                                                                                                                                                                                            
Bolivia,Country,2000-2005,Number,52,                                                                                                                                                                                                                           
Bosnia-Herzegovina,Country,2000-2005,Number,-,1                                                                                                                                                                                                                
Botswana,Country,2000-2005,Number,106,                                                                                                                                                                                                                         
Brazil,Country,2000-2005,Number,-,1                                                                                                                                                                                                                            
Brunei,Country,2000-2005,Number,701,                                                                                                                                                                                                                           
Bulgaria,Country,2000-2005,Number,376,                                                                                                                                                                                                                         
Burkina Faso,Country,2000-2005,Number,-,1                                                                                                                                                                                                                      
Burundi,Country,2000-2005,Number,-,1                                                                                                                                                                                                                           
Cambodia,Country,2000-2005,Number,1,                                                                                                                                                                                                                           
Cameroon,Country,2000-2005,Number,14,                                                                                                                                                                                                                          
Canada,Country,2000-2005,Number,584,                                                                                                                                                                                                                           
Cape Verde,Country,2000-2005,Number,-,1                                                                                                                                                                                                                        
Central African Republic,Country,2000-2005,Number,-,1                                                                                                                                                                                                          
Chad,Country,2000-2005,Number,-,1                                                                                                                                                                                                                              
Channel Islands,Country,2000-2005,Number,-,1                                                                                                                                                                                                                   
Chile,Country,2000-2005,Number,146,                                                                                                                                                                                                                            
China,Country,2000-2005,Number,24,                                                                                                                                                                                                                             
Colombia,Country,2000-2005,Number,-,1                                                                                                                                                                                                                          
Comoros,Country,2000-2005,Number,-,1                                                                                                                                                                                                                           
Congo,Country,2000-2005,Number,-,1                                                                                                                                                                                                                             
Congo, Dem. Rep. of                                                                                                                                                                                                                                            
Costa Rica,Country,2000-2005,Number,201,                                                                                                                                                                                                                       
Cote d'Ivoire,Country,2000-2005,Number,-,1                                                                                                                                                                                                                     
Croatia,Country,2000-2005,Number,341,                                                                                                                                                                                                                          
Cuba,Country,2000-2005,Number,2,                                                                                                                                                                                                                               
Cyprus,Country,2000-2005,Number,575,                                                                                                                                                                                                                           
