Player_Name,Salary,League
Al Jefferson,9769821.00,NBA
Jrue Holiday,25686667.00,NBA
Jameel Warney,46080.00,NBA
Sam Dekker,1794600.00,NBA
Victor Oladipo,21000000.00,NBA
D'Angelo Russell,5562360.00,NBA
Justin Hamilton,1000000.00,NBA
Jonathan Isaac,4186320.00,NBA
Bryn Forbes,1312611.00,NBA
Meyers Leonard,9904495.00,NBA
Alex Len,4187599.00,NBA
C.J. Watson,333334.00,NBA
Joe Ingles,14136364.00,NBA
Anderson Varejao,1913345.00,NBA
Jamal Murray,3355320.00,NBA
Nikola Pekovic,11600000.00,NBA
Damien Wilkins,2116955.00,NBA
Tyler Ulis,1312611.00,NBA
Vince Carter,8000000.00,NBA
Giannis Antetokounmpo,22471910.00,NBA
Darrell Arthur,7464912.00,NBA
Kent Bazemore,16910113.00,NBA
Frank Jackson,815615.00,NBA
Larry Drew,74159.00,NBA
Joe Barksdale,4500000.00,NFL
Brandon LaFell,1250000.00,NFL
Demetrious Cox,465000.00,NFL
Ryan Anderson,465000.00,NFL
Noah Spence,724377.00,NFL
Daniel Sorensen,690000.00,NFL
Cameron Fleming,1797000.00,NFL
Jordan Poyer,1500000.00,NFL
Ben Roethlisberger,12000000.00,NFL
Micah Hyde,2300000.00,NFL
Julius Peppers,1000000.00,NFL
Bryce Hager,615000.00,NFL
Lorenzo Alexander,2000000.00,NFL
Kasim Edebali,1000000.00,NFL
Demetrius Harris,1100000.00,NFL
Brandon Shell,540000.00,NFL
Richie Incognito,3175000.00,NFL
Marshall Newhouse,1050000.00,NFL
Wayne Gallman,465000.00,NFL
Shane Lechler,1500000.00,NFL
Matt Bryant,1450000.00,NFL
Coby Fleener,5800000.00,NFL
Danny Amendola,1250000.00,NFL
Eric Weddle,4000000.00,NFL
Adam Jones,6023529.00,NFL
