rank,team,x2019,last3,last1,home,away,x2018
1,Baltimore,31.9,23.7,12,27.9,36.5,23.9
2,Kansas City,29.9,39,31,30,29.8,34.8
3,San Francisco,29.6,28,20,32.3,26.7,21.4
4,Tampa Bay,28.6,26.7,22,25,31.4,24.8
5,New Orleans,28.1,33.3,20,27.4,28.9,30.4
6,Dallas,27.1,33.3,47,32.1,22.1,21.4
7,New England,25.5,20.3,13,23.9,27.2,27.7
8,Tennessee,24.9,24,24,25,24.9,19.4
9,Seattle,24.7,20.3,23,25.6,24,26.5
10,LA Rams,24.6,27.7,31,22.3,26.4,30.8
11,Minnesota,24.6,18.3,10,24.4,24.8,22.5
12,Houston,23.9,22.3,31,23.4,24.4,24.1
13,Atlanta,23.8,27,28,21,26.6,25.9
14,Green Bay,23.6,23.7,20,25.9,21.2,23.5
15,Philadelphia,23.2,20,9,19.7,27.1,22.1
16,Indianapolis,22.6,21.7,20,24.5,20.6,25.9
17,Arizona,22.6,29.7,24,22.2,22.9,14.1
18,Detroit,21.3,18,20,23.5,19.1,20.2
19,NY Giants,21.3,31.3,17,19.1,23.5,23.1
20,Carolina,21.2,13.3,10,20.4,22.1,23.5
21,LA Chargers,21.1,16,21,19,22.7,26.6
22,Cleveland,20.9,20.7,23,22.1,19.8,22.4
23,Buffalo,19.6,14,19,17.8,21.2,16.8
24,Oakland,19.6,18.3,15,20.7,18.7,18.1
25,Miami,19.1,28.3,27,19.6,18.6,19.9
26,Jacksonville,18.8,23.3,38,20,17.8,15.3
27,Pittsburgh,18.1,10,10,22,14.1,26.8
28,Denver,17.6,15.3,16,18.8,16.5,20.6
29,Chicago,17.5,12.3,21,16.6,18.4,25.6
30,Cincinnati,17.4,27,33,18.5,16.4,23
31,NY Jets,17.2,16.7,13,18.6,15.9,20.8
32,Washington,16.6,26,16,17.6,15.6,17.6
