"Natural Habitat Remaining"

Location,Location Type,TimeFrame,Data Type,Data,Footnotes
Afghanistan,Country,2007,Percent,75%,
Albania,Country,2007,Percent,36%,
Algeria,Country,2007,Percent,>95%,
Andorra,Country,2007,Percent,>95%,
Angola,Country,2007,Percent,95%,
Antigua and Barbuda,Country,2007,Percent,90%,
Argentina,Country,2007,Percent,79%,
Armenia,Country,2007,Percent,19%,
Australia,Country,2007,Percent,91%,
Austria,Country,2007,Percent,76%,
Azerbaijan,Country,2007,Percent,63%,
Bahamas,Country,2007,Percent,>95%,
Bahrain,Country,2007,Percent,>95%,
Bangladesh,Country,2007,Percent,<5%,
Barbados,Country,2007,Percent,-,1
Belarus,Country,2007,Percent,31%,
Belgium,Country,2007,Percent,23%,
Belize,Country,2007,Percent,83%,
Benin,Country,2007,Percent,83%,
Bhutan,Country,2007,Percent,58%,
Bolivia,Country,2007,Percent,91%,
Bosnia-Herzegovina,Country,2007,Percent,-,1
Botswana,Country,2007,Percent,90%,
Brazil,Country,2007,Percent,64%,
Brunei,Country,2007,Percent,80%,
Bulgaria,Country,2007,Percent,33%,
Burkina Faso,Country,2007,Percent,36%,
Burundi,Country,2007,Percent,57%,
Cambodia,Country,2007,Percent,42%,
Cameroon,Country,2007,Percent,85%,
Canada,Country,2007,Percent,95%,
Cape Verde,Country,2007,Percent,-,1
Central African Republic,Country,2007,Percent,>95%,
Chad,Country,2007,Percent,77%,
Channel Islands,Country,2007,Percent,<5%,
Chile,Country,2007,Percent,90%,
China,Country,2007,Percent,76%,
Colombia,Country,2007,Percent,71%,
Comoros,Country,2007,Percent,69%,
Congo,Country,2007,Percent,95%,
"Congo, Dem. Rep. of",Country,2007,Percent,93%,
Costa Rica,Country,2007,Percent,43%,
Cote d'Ivoire,Country,2007,Percent,50%,
Croatia,Country,2007,Percent,-,1
Cuba,Country,2007,Percent,36%,
Cyprus,Country,2007,Percent,48%,
Czech Republic,Country,2007,Percent,-,1
Denmark,Country,2007,Percent,6%,
Djibouti,Country,2007,Percent,>95%,
Dominica,Country,2007,Percent,>95%,
Dominican Republic,Country,2007,Percent,59%,
Ecuador,Country,2007,Percent,62%,
Egypt,Country,2007,Percent,>95%,
El Salvador,Country,2007,Percent,23%,
Equatorial Guinea,Country,2007,Percent,84%,
Eritrea,Country,2007,Percent,-,1
Estonia,Country,2007,Percent,38%,
Ethiopia,Country,2007,Percent,60%,
Federated States of Micronesia,Country,2007,Percent,78%,
Fiji,Country,2007,Percent,88%,
Finland,Country,2007,Percent,89%,
France,Country,2007,Percent,39%,
French Guiana,Country,2007,Percent,>95%,
