notreal,city,SO2
1,Phoenix,10
2,Little Rock,13
3,San Francisco,12
4,Denver,17
5,Hartford,56
6,Wilmington,36
7,Washington,29
8,Jacksonville,14
9,Miami,10
10,Atlanta,24
11,Chicago,110
12,Indianapolis,28
13,Des Moines,17
14,Wichita,8
15,Louisville,30
16,New Orleans,9
17,Baltimore,47
18,Detroit,35
19,Minneapolis-St. Paul,29
20,Kansas City,14
21,St. Louis,56
22,Omaha,14
23,Albuquerque,11
24,Albany,46
25,Buffalo,11
26,Cincinnati,23
27,Cleveland,65
28,Columbus,26
29,Philadelphia,69
30,Pittsburgh,61
31,Providence,94
32,Memphis,10
33,Nashville,18
34,Dallas,9
35,Houston,10
36,Salt Lake City,28
37,Norfolk,31
38,Richmond,26
39,Seattle,29
40,Charleston,31
41,Milwaukee,16
