city	SO2
Phoenix	10
Little Rock	13
San Francisco	12
Denver	17
Hartford	56
Wilmington	36
Washington	29
Jacksonville	14
Miami	10
Atlanta	24
Chicago	110
Indianapolis	28
Des Moines	17
Wichita	8
Louisville	30
New Orleans	9
Baltimore	47
Detroit	35
Minneapolis-St. Paul	29
Kansas City	14
St. Louis	56
Omaha	14
Albuquerque	11
Albany	46
Buffalo	11
Cincinnati	23
Cleveland	65
Columbus	26
Philadelphia	69
Pittsburgh	61
Providence	94
Memphis	10
Nashville	18
Dallas	9
Houston	10
Salt Lake City	28
Norfolk	31
Richmond	26
Seattle	29
Charleston	31
Milwaukee	16
