schooling,unemployment_rate
Bachelors,2.4
Bachelors,2.1
Bachelors,1.9
Bachelors,1.8
Bachelors,1.8
Bachelors,1.6
Bachelors,2.9
Bachelors,3
Bachelors,2.9
Bachelors,2.4
Bachelors,2.1
Bachelors,2.1
Bachelors,2.1
Bachelors,3.9
Bachelors,4.9
Bachelors,4.3
Bachelors,4.3
Bachelors,3.8
Bachelors,3.3
Bachelors,2.8
Bachelors,2.5
Bachelors,2.5
Bachelors,2.1
Bachelors,2.4
Bachelors,2
Associates,3.7
Associates,3.4
Associates,2.5
Associates,2.6
Associates,2.5
Associates,2.8
Associates,3.7
Associates,3.9
Associates,3.8
Associates,4
Associates,3.1
Associates,3.8
Associates,2.9
Associates,5.7
Associates,7.3
Associates,7.2
Associates,7
Associates,6
Associates,5
Associates,4.4
Associates,4.6
Associates,3.7
Associates,3
Associates,3.2
Associates,2.6
