"Science and Engineering Labor Force by Educational Attainment"

Parent Location,Location,Location Type,Education Level,TimeFrame,Data Type,Data,Footnotes
,Alabama,State,Master's Degree,2010,Percent,15.0%,
,Alabama,State,Ph.D.,2010,Percent,5.0%,
,Alabama,State,Bachelor's Degree,2010,Percent,40.0%,
,Alabama,State,Associate's Degree,2010,Percent,13.0%,
,Alaska,State,Bachelor's Degree,2010,Percent,-,
,Alaska,State,Associate's Degree,2010,Percent,6.0%,
,Alaska,State,Ph.D.,2010,Percent,6.0%,
,Alaska,State,Master's Degree,2010,Percent,20.0%,
,Arizona,State,Master's Degree,2010,Percent,16.0%,
,Arizona,State,Associate's Degree,2010,Percent,11.0%,
,Arizona,State,Bachelor's Degree,2010,Percent,38.0%,
,Arizona,State,Ph.D.,2010,Percent,5.0%,
,Arkansas,State,Master's Degree,2010,Percent,10.0%,
,Arkansas,State,Bachelor's Degree,2010,Percent,41.0%,
,Arkansas,State,Associate's Degree,2010,Percent,9.0%,
,Arkansas,State,Ph.D.,2010,Percent,4.0%,
,California,State,Bachelor's Degree,2010,Percent,41.0%,
,California,State,Associate's Degree,2010,Percent,7.0%,
,California,State,Master's Degree,2010,Percent,23.0%,
,California,State,Ph.D.,2010,Percent,9.0%,
,Colorado,State,Associate's Degree,2010,Percent,7.0%,
,Colorado,State,Master's Degree,2010,Percent,19.0%,
,Colorado,State,Ph.D.,2010,Percent,6.0%,
,Colorado,State,Bachelor's Degree,2010,Percent,44.0%,
,Connecticut,State,Master's Degree,2010,Percent,23.0%,
,Connecticut,State,Bachelor's Degree,2010,Percent,38.0%,
,Connecticut,State,Ph.D.,2010,Percent,10.0%,
,Connecticut,State,Associate's Degree,2010,Percent,7.0%,
,Delaware,State,Ph.D.,2010,Percent,10.0%,
,Delaware,State,Associate's Degree,2010,Percent,10.0%,
,Delaware,State,Bachelor's Degree,2010,Percent,33.0%,
,Delaware,State,Master's Degree,2010,Percent,19.0%,
,District of Columbia,State,Associate's Degree,2010,Percent,2.0%,
