Timestamp,cars,gender,distance,ice_cream,rent,major,height,winter
2018/08/29 11:07:51 AM MDT,Toyota,Male,10,Mint Chocolate Chip,500,business,74,Hated it
2018/08/29 11:59:07 AM MDT,Chevrolet,Male,10,Cookie Dough,100,Business,70,Loved it
2018/08/29 12:00:12 PM MDT,Honda,Male,2,Cookie Dough,660,BUSSINESS,82,Liked it
2018/08/29 12:00:37 PM MDT,Nissan,Male,2,Banana,562,Business Management,65,Loved it
2018/08/29 12:19:03 PM MDT,Toyota,Female,4,Chocolate,700,biology,66,No opinion
2018/08/29 5:00:50 PM MDT,Acura,Female,3.1,Mint Chocolate Chip,900,Biomedical Sciences,69,Hated it
2018/08/29 9:43:01 PM MDT,Jeep,Male,2.2,Mint Chocolate Chip,800,Business,70,Liked it
2018/08/30 6:15:55 PM MDT,No car,Female,3,Rocky Road,490,Anthropology ,67,No opinion
2018/08/31 10:03:30 AM MDT,Jeep,Male,3,Cookie Dough,500,forestry,69,Loved it
2018/08/31 10:25:12 AM MDT,Honda,Female,4.6,Sherbet,2200,Accounting ,68,Don't like it
2018/08/31 11:37:14 AM MDT,Toyota,Male,,Mint Chocolate Chip,1000,Business ,70,Liked it
2018/08/31 12:28:32 PM MDT,Jeep,Female,3,Mint Chocolate Chip,700,Dental hygiene ,62,Don't like it
2018/08/31 3:22:59 PM MDT,Toyota,Female,4.7,Rocky Road,0,Dental hygiene ,62,Liked it
2018/08/31 9:39:57 PM MDT,Jeep,Female,1.7,Mint Chocolate Chip,475,Exercise Science,64,Liked it
2018/09/01 1:47:54 PM MDT,Chevrolet,Female,3,Cookie Dough,685,nursing ,62,Loved it
2018/09/03 3:10:30 PM MDT,Dodge,Female,5,Sherbet,1240,Forestry,54,Loved it
2018/09/03 7:18:04 PM MDT,Nissan,Male,3.1,Pistachio,393,general studies,72,Loved it
2018/09/03 8:43:26 PM MDT,Jeep,Female,3,Mint Chocolate Chip,100,Speech Pathology ,61,Loved it
2018/09/04 1:21:17 PM MDT,Toyota,Male,2.1,Strawberry,700,Parks and Recreation,5.9,Liked it
2018/09/04 5:10:08 PM MDT,Subaru,Female,1,Chocolate extreme ,0,Psychology,68,Liked it
2018/09/04 11:25:34 PM MDT,GMC,Female,10,Coffee,550,Anthropology ,5.1,Loved it
2018/09/04 11:55:29 PM MDT,Jeep,Male,5,Strawberry,500,Exercise Science,69,Liked it
2018/09/05 12:01:38 AM MDT,Nissan,Male,4.8,I don't have favorites for most things. It always depends on the situation.,0,Business,72,Loved it
2018/09/05 10:36:11 AM MDT,Honda,Female,2,Cookies and Cream,630,Environmental Studies,65,Liked it
