Timestamp,vehicle,sex,distance,ice_cream,rent,major,height,winter
2019/08/26 11:17:12 AM MDT,Chevrolet,Female,10,Rocky Road,1500,Accounting,72,Loved it
2019/08/26 11:17:43 AM MDT,none,Female,2,Moose Tracks,900,,68,Liked it
2019/08/26 11:18:13 AM MDT,Honda,Female,2,Mint Chocolate Chip,418,speech language pathology ,63,Loved it
2019/08/26 11:18:25 AM MDT,Ford,Female,7.3,Rocky Road,1189,Pre-Health Careers,66,Loved it
2019/08/26 11:18:35 AM MDT,Jeep,Female,5,Chocolate,815,Dental Hygienist ,64,Liked it
2019/08/26 11:19:58 AM MDT,Volkswagen,Male,5,Mint Chocolate Chip,600,Business,74,Liked it
2019/08/27 2:02:48 PM MDT,Toyota,Male,8,Sherbet,1500,Forestry,71,Liked it
2019/08/27 5:09:07 PM MDT,Chevrolet,Male,10,Cookies and Cream,1400,Business,72,Liked it
2019/08/27 5:17:17 PM MDT,Honda,Male,2.2,Sherbet,850,Business,66,Hated it
2019/08/27 5:17:33 PM MDT,Ford,Female,5,Vanilla,0,Dental Hygiene,63,Liked it
2019/08/27 5:19:26 PM MDT,Subaru,Male,5,Rocky Road,0,Accounting,70,Liked it
2019/08/27 5:21:12 PM MDT,Nissan,Female,1.5,Rocky Road,1258,Forestry,67,Loved it
2019/08/27 5:34:43 PM MDT,Honda,Male,2.2,Cookie Dough,750,Forestry,66,Liked it
2019/08/27 5:36:04 PM MDT,Chevrolet,Female,10,Rocky Road,1500,Accounting,72,Loved it
2019/08/27 5:47:23 PM MDT,Hyundai,Female,12,Cookies and Cream,217,Business,67,Don't like it
2019/08/27 8:48:08 PM MDT,Toyota,Male,6.5,Cookie Dough,0,None,74,Liked it
2019/08/28 1:03:09 AM MDT,none,Male,3,Cookies and Cream,750,Accounting,68,Loved it
2019/08/28 10:27:53 AM MDT,Suzuki,Male,4,Chocolate Chip,375,Business,71,Liked it
2019/08/28 5:52:24 AM MDT,Toyota,Male,3,Strawberry,700,General Studies,69,Loved it
2019/08/28 8:30:35 AM MDT,,Male,6,Butter Pecan,500,Environmental Science,70,Loved it
