class,sex
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,female
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
first,male
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,female
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
second,male
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,female
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
third,male
