Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1950,0,1,1,5,12,1,0,0,2,1,0,0,23
1951,0,2,0,11,11,11,4,2,1,1,0,0,43
1952,0,0,0,7,5,5,4,1,0,0,0,0,22
1953,0,4,7,9,8,13,4,2,0,0,5,2,54
1954,0,0,7,13,19,4,4,2,3,1,0,0,53
1955,1,1,0,15,32,22,4,2,0,0,0,0,77
1956,0,2,1,20,6,9,7,2,0,1,1,0,49
1957,4,0,0,40,45,5,4,3,5,1,0,0,107
1958,0,2,0,4,4,8,6,2,4,0,12,0,42
1959,0,2,16,3,35,1,3,5,2,2,1,0,70
1960,1,3,5,19,61,2,3,2,1,0,1,0,98
1961,0,4,10,14,42,7,3,0,1,1,0,0,82
1962,0,0,0,4,33,21,6,3,0,0,0,0,67
1963,0,0,3,1,11,4,4,1,2,1,3,0,30
1964,0,0,0,17,22,3,4,4,1,0,2,0,53
1965,0,0,3,21,32,8,0,5,5,0,0,0,74
1966,0,1,0,8,11,13,1,0,2,0,0,0,36
1967,4,0,0,12,4,23,4,0,2,0,0,0,49
1968,0,0,0,16,26,9,0,1,0,0,0,3,55
1969,0,0,0,10,5,13,1,0,1,1,0,0,31
1970,0,0,0,8,5,17,2,1,9,8,0,0,50
1971,0,2,2,8,13,8,1,0,0,1,0,4,39
1972,0,0,0,11,5,6,3,1,0,2,0,2,30
1973,1,0,7,9,19,24,1,1,3,3,8,0,76
1974,0,1,2,3,9,24,0,3,0,1,2,0,45
1975,1,6,1,1,7,9,1,0,0,0,4,4,34
1976,0,3,6,7,7,3,2,0,0,0,0,0,28
1977,0,1,11,4,31,3,2,2,0,0,0,0,54
1978,0,0,0,14,5,1,0,0,1,0,0,0,21
1979,0,0,5,17,7,3,2,13,1,2,1,0,51
1980,0,0,3,7,9,1,0,2,2,1,0,0,25
1981,0,0,1,11,44,7,5,2,2,3,1,0,76
1982,0,0,11,11,56,11,1,3,2,0,2,4,101
1983,0,0,4,12,40,23,2,1,0,2,8,0,92
1984,0,0,6,23,9,3,0,0,2,6,1,0,50
1985,0,2,5,10,6,5,1,0,3,0,4,0,36
1986,0,0,2,4,25,1,0,2,7,6,0,0,47
1987,0,3,9,0,5,0,1,0,1,0,4,0,23
1988,0,0,5,0,2,3,0,0,2,0,5,0,17
1989,0,0,2,1,7,6,0,1,1,2,0,0,20
1990,0,0,10,3,10,6,1,0,0,0,0,0,30
1991,0,0,17,24,20,4,1,0,0,7,0,0,73
1992,0,0,2,9,25,9,2,0,16,1,0,0,64
1993,0,0,6,17,20,13,0,0,5,2,1,0,64
1994,0,0,1,15,11,2,6,2,0,3,0,0,40
1995,0,0,2,22,17,28,6,0,0,4,0,0,79
1996,0,0,1,18,9,6,0,6,7,0,1,0,48
1997,0,1,1,1,41,5,1,1,2,2,0,0,55
1998,0,0,1,1,22,22,2,1,3,27,4,0,83
1999,0,1,6,19,90,14,0,1,2,4,5,3,145
2000,0,2,15,6,11,3,0,0,0,7,0,0,44
2001,0,0,0,10,25,1,0,0,6,19,0,0,61
2002,0,0,0,7,7,2,0,0,2,0,0,0,18
2003,0,0,4,15,59,0,0,0,0,0,0,0,78
2004,0,0,12,13,26,4,0,0,0,1,6,0,62
2005,0,0,8,7,0,10,0,0,1,1,0,0,27
2006,0,0,7,8,4,5,0,0,3,0,0,0,27
2007,0,0,5,3,29,5,1,5,0,1,0,0,49
2008,4,0,13,9,42,5,0,0,2,0,1,1,77
2009,0,6,1,17,4,3,0,1,0,2,0,0,34
2010,0,0,2,1,91,4,1,0,3,0,0,1,103
2011,0,1,0,50,46,7,0,1,3,0,11,0,119
2012,0,0,5,54,3,0,0,0,0,1,0,0,63
2013,2,0,2,12,63,0,2,1,0,0,0,0,82
2014,0,0,0,4,4,5,0,0,1,1,0,1,16
2015,0,0,7,5,83,1,3,0,0,0,9,3,111
2016,0,0,5,27,24,0,1,0,0,0,0,0,57
2017,0,0,3,10,57,2,0,4,0,9,0,0,85
2018,0,0,0,0,23,1,0,2,0,12,4,0,42
