INSTITUTION,TYPE,STATE,ROOM_BOARD,INSTATE_TUITION,INSTATE_TOTAL,OUTOFSTATE_TUITION,OUTOFSTATE_TOTAL
University of Alaska AnchoragePublic 4-year,Public_4 year,AK,12200,7688,19888,23858,36058
University of Alaska FairbanksPublic 4-year,Public_4 year,AK,8930,8087,17017,24257,33187
University of Alaska SoutheastPublic 4-year,Public_4 year,AK,9200,7092,16292,19404,28604
Alaska Bible CollegePrivate 4-year,Private_4_year,AK,5700,9300,15000,9300,15000
Alaska Pacific UniversityPrivate 4-year,Private_4_year,AK,7300,20830,28130,20830,28130
Alabama Agricultural and Mechanical UniversityPublic 4-year,Public_4 year,AL,8379,9698,18077,17918,26297
Alabama State UniversityPublic 4-year,Public_4 year,AL,5422,11068,16490,19396,24818
Athens State UniversityPublic 4-year,Public_4 year,AL,NA,6810,6810,12870,12870
Auburn UniversityPublic 4-year,Public_4 year,AL,13332,11276,24608,30524,43856
Auburn University at MontgomeryPublic 4-year,Public_4 year,AL,6980,10288,17268,22048,29028
Jacksonville State UniversityPublic 4-year,Public_4 year,AL,8100,10425,18525,20145,28245
Troy UniversityPublic 4-year,Public_4 year,AL,8185,12460,20645,22875,31060
University of AlabamaPublic 4-year,Public_4 year,AL,10102,10780,20882,29230,39332
University of Alabama at BirminghamPublic 4-year,Public_4 year,AL,6400,10710,17110,24630,31030
University of Alabama in HuntsvillePublic 4-year,Public_4 year,AL,10094,10714,20808,22362,32456
University of MontevalloPublic 4-year,Public_4 year,AL,9330,12760,22090,25780,35110
University of North AlabamaPublic 4-year,Public_4 year,AL,9200,10370,19570,18680,27880
University of South AlabamaPublic 4-year,Public_4 year,AL,7620,9870,17490,19740,27360
University of West AlabamaPublic 4-year,Public_4 year,AL,8116,10040,18156,18490,26606
Columbia Southern UniversityFor-profit 4-year,For_profit_4_year,AL,NA,6785,6785,6785,6785
Amridge UniversityPrivate 4-year,Private_4_year,AL,NA,6900,6900,6900,6900
Birmingham-Southern CollegePrivate 4-year,Private_4_year,AL,12350,17650,30000,17650,30000
Concordia CollegePrivate 4-year,Private_4_year,AL,5700,10120,15820,10120,15820
Faulkner UniversityPrivate 4-year,Private_4_year,AL,7750,21690,29440,21690,29440
Heritage Christian UniversityPrivate 4-year,Private_4_year,AL,5745,12312,18057,12312,18057
Huntingdon CollegePrivate 4-year,Private_4_year,AL,9750,27400,37150,27400,37150
Huntsville Bible CollegePrivate 4-year,Private_4_year,AL,NA,5390,5390,5390,5390
Judson CollegePrivate 4-year,Private_4_year,AL,10590,18510,29100,18510,29100
Miles CollegePrivate 4-year,Private_4_year,AL,7042,11604,18646,11604,18646
Oakwood UniversityPrivate 4-year,Private_4_year,AL,9312,16720,26032,16720,26032
Samford UniversityPrivate 4-year,Private_4_year,AL,10550,31650,42200,31650,42200
Selma UniversityPrivate 4-year,Private_4_year,AL,6400,7885,14285,7885,14285
Spring Hill CollegePrivate 4-year,Private_4_year,AL,13462,39464,52926,39464,52926
Stillman CollegePrivate 4-year,Private_4_year,AL,7394,10938,18332,10938,18332
Talladega CollegePrivate 4-year,Private_4_year,AL,6704,12510,19214,12510,19214
Tuskegee UniversityPrivate 4-year,Private_4_year,AL,9650,22170,31820,22170,31820
United States Sports AcademyPrivate 4-year,Private_4_year,AL,NA,12210,12210,12210,12210
University of MobilePrivate 4-year,Private_4_year,AL,9600,22820,32420,22820,32420
Arkansas State UniversityPublic 4-year,Public_4 year,AR,8160,8608,16768,15298,23458
Arkansas Tech UniversityPublic 4-year,Public_4 year,AR,7870,9068,16938,15848,23718
Henderson State UniversityPublic 4-year,Public_4 year,AR,7504,8436,15940,10086,17590
