year,number,med_income_current,med_income_2017,mean_income_current,mean_income_2017
2017,127586,61372,61372,86220,86220
2016,126224,59039,60309,83143,84931
2015,125819,56516,58476,79263,82012
2014,124587,53657,55613,75738,78500
2013,122952,51939,54744,72641,76565
2012,122459,51017,54569,71274,76237
2011,121084,50054,54673,69677,76107
2010,119927,49276,55520,67392,75932
2009,117538,49777,57010,67976,77853
2008,117181,50303,57412,68424,78094
2007,116783,50233,59534,67609,80128
2006,116011,48201,58746,66570,81134
2005,114384,46326,58291,63344,79704
2004,113343,44334,57674,60466,78660
2003,112000,43318,57875,59067,78916
2002,111278,42409,57947,57852,79048
2001,109297,42228,58609,58208,80788
2000,108209,41990,59938,57135,81557
1999,106434,40696,60062,54737,80785
1998,103874,38885,58612,51855,78161
1997,102528,37005,56533,49692,75915
1996,101018,35492,55394,47123,73547
1995,99627,34076,54600,44938,72005
1994,98990,32264,52942,43133,70777
1993,97107,31241,52334,41428,69399
1992,96426,30636,52615,38840,66704
1991,95669,30126,53025,37922,66747
1990,94312,29943,54621,37403,68229
1989,93347,28906,55329,36520,69903
1988,92830,27225,54390,34017,67959
1987,91124,26061,53945,32410,67087
1986,89479,24897,53309,30759,65860
1985,88458,23618,51455,29066,63324
1984,86789,22415,50511,27464,61888
1983,85407,20885,49021,25401,59621
1982,83918,20171,49368,24309,59495
1981,83527,19074,49502,22787,59138
1980,82368,17710,50301,21063,59825
1979,80776,16461,51990,19554,61758
1978,77330,15064,52089,17730,61308
1977,76030,13572,50148,16100,59489
1976,74142,12686,49833,14922,58616
1975,72867,11800,49020,13779,57241
