type,volume
n,1663407
n,1583940
n,1299470
n,1535137
n,1431890
n,1578698
n,1453510
n,1650348
n,1288971
n,1366346
n,1326402
n,1503005
n,1474790
n,1317156
n,1441045
n,1463498
n,1650207
n,1523045
n,1441636
n,1432033
n,1420416
n,1480171
n,1360810
n,1410213
n,1574808
n,1502702
n,1203344
n,1319737
n,1688990
n,1292641
n,1512571
n,1635918
s,1331777
s,1487886
s,1066075
s,1297327
s,1499983
s,1861991
s,1368378
s,1476891
s,1443775
s,1337827
s,1658258
s,1588132
s,1690182
s,1569413
s,1177002
s,1387893
s,1483763
s,1688950
s,1563593
s,1317885
s,1420249
s,1363859
s,1238979
s,1286638
s,1325525
s,1588573
s,1476254
s,1648209
s,1354054
s,1354649
s,1636119
