Gender,FSIQ,VIQ,PIQ,Weight,Height,MRI_Count,FSIQ
Female,133,132,124,118,64.5,816932,133
Male,140,150,124,¥,72.5,1001121,140
Male,139,123,150,143,73.3,1038437,139
Male,133,129,128,172,68.8,965353,133
Female,137,132,134,147,65,951545,137
Female,99,90,110,146,69,928799,99
Female,138,136,131,138,64.5,991305,138
Female,92,90,98,175,66,854258,92
Male,89,93,84,134,66.3,904858,89
Male,133,114,147,172,68.8,955466,133
Female,132,129,124,118,64.5,833868,132
Male,141,150,128,151,70,1079549,141
Male,135,129,124,155,69,924059,135
Female,140,120,147,155,70.5,856472,140
Female,96,100,90,146,66,878897,96
Female,83,71,96,135,68,865363,83
Female,132,132,120,127,68.5,852244,132
Male,100,96,102,178,73.5,945088,100
Female,101,112,84,136,66.3,808020,101
Male,80,77,86,180,70,889083,80
Male,83,83,86,¥,¥,892420,83
Male,97,107,84,186,76.5,905940,97
Female,135,129,134,122,62,790619,135
Male,139,145,128,132,68,955003,139
Female,91,86,102,114,63,831772,91
Male,141,145,131,171,72,935494,141
Female,85,90,84,140,68,798612,85
Male,103,96,110,187,77,1062462,103
Female,77,83,72,106,63,793549,77
Female,130,126,124,159,66.5,866662,130
Female,133,126,132,127,62.5,857782,133
Male,144,145,137,191,67,949589,144
Male,103,96,110,192,75.5,997925,103
Male,90,96,86,181,69,879987,90
Female,83,90,81,143,66.5,834344,83
Female,133,129,128,153,66.5,948066,133
Male,140,150,124,144,70.5,949395,140
Female,88,86,94,139,64.5,893983,88
Male,81,90,74,148,74,930016,81
Male,89,91,89,179,75.5,935863,89
