model,mpg_city,mpg_highway,mpg_combined,mass
Aston Marton DBS Coupe M-6,11,17,13,1695
Aston Marton V8 Vantage A-S6,13,19,15,1548
Aston Marton V8 Vantage M-6,12,19,14,1548
Audi R8 M-6,12,19,15,1560
Audi TT Roadster Quattro A-S6,21,29,24,1445.976
Cadillac XLR 4.4L A-S6,14,23,17,1725.93
Chevrolet Corvette 6.2L M-6,16,26,19,1519
Lamborghini Murcielago A-S6,9,14,11,1650
Mercedes Benz SL550 A-7,13,21,16,1911.66
Mercedes Benz SL600 A-5,11,18,14,2018.115
Mercedes Benz SL63 AMG A-S7,12,19,14,2007.243
Pontiac Solstice 2.0L A-5,19,27,21,1305
Saturn Sky 2.0L A-5,19,27,21,1330
Jaguar XK A-6,16,25,19,1662.963
Mini M-6,25,33,28,1208.604
Mitsubishi Eclipse M-5,19,26,22,1483
Audi A5 Quattro A-S6,17,26,20,1610
Chevrolet Aveo 5 A-4,25,34,28,1155
Chevrolet Cobalt M-5,22,30,25,1276.101
Chevrolet Cobalt XFE M-5,25,37,30,0
Ford Mustang 4.0L A-5,16,24,19,1519.815
Ford Mustang 5.4L A-5,14,20,16,1635.33
Mazda RX-8 M-6,16,22,18,1350
Nissan GT-R A-S6,16,21,18,1730
Pontiac G3 Wave 5 A-4,25,34,28,1150
Pontiac G3 Wave 5 M-5,27,34,30,1150
Pontiac G5 A-4,24,33,27,1248
Pontiac G5 M-5,25,35,29,1248
Pontiac G5 GT A-4,23,32,26,1286
Pontiac G5 GT M-5,23,32,26,1286
Scion tC A-4,21,29,24,1353.111
Scion tC M-5,20,27,23,1353.111
Volkswagen Eos A-S6,22,29,25,1589.124
Volkswagen Eos M-6,21,31,25,1589.124
Volkswagen New Beetle A-S6,20,29,23,1656.168
Volkswagen New Beetle M-5,20,28,23,1656.168
Volvo C70 Convertible A-S5,18,26,21,0
Volvo C70 Convertible M-6,18,27,21,1643.031
Acura TSX A-S5,21,30,25,1548.807
Acura TSX M-6,20,28,23,1548.807
Hyundai Accent A-4,26,35,29,1114.833
Hyundai Accent M-5,27,33,29,1114.833
Mazda 3 2.0L A-S5,22,30,25,1259.34
Mazda 3 2.0L M-5,24,32,27,1259.34
Mazda 3 2.3L A-S5,22,28,24,1307.358
Mazda 3 2.3L M-5,22,29,25,1307.358
Mercedes CLS63 AMG A-S7,12,18,14,1907.13
Mitsubishi Lancer 2.0L A-S6,17,25,20,1392.069
Mitsubishi Lancer 2.0L AV,22,28,24,1392.069
Pontiac G6 2.4L A-S6,22,33,26,1579.611
Pontiac G6 2.4L A-4,22,30,25,1579.611
Saturn Astra 2DR Hatchback A-4,24,30,27,1283.349
Saturn Astra 2DR Hatchback M-5,24,32,27,1283.349
Subaru Legacy AWD A-S4,20,26,22,1497.165
Toyota Corolla A-4,27,35,30,1233.519
Volkswagen GTI A-S6,22,29,25,1449.6
Volkswagen GTI M-6,21,31,25,1463.19
Volkswagen Jetta 2.0L A-S6,22,29,25,1463.19
Volkswagen Rabbit A-S6,21,29,24,1347.675
Volkswagen Rabbit M-5,21,29,24,1347.675
Volvo C30 2.4L FWD A-S5,20,28,23,1450.053
Volvo C30 2.4L FWD M-5,20,28,23,1450.053
Volvo S40 AWD A-S5,18,26,21,1400
Volvo S40 AWD M-6,17,25,20,1400
Buick Lacrosse/Allure 3.8L A-4,17,28,21,1737.255
Cadillac STS 3.6L A-S6,17,26,20,1776.666
Cadillac STS 4.4L A-S6,13,19,15,1925.25
Chevrolet Malibu 2.4L A-4,22,30,25,1577
Chevrolet Malibu 3.5L A-4,18,29,25,1577
Ford Fusion FWD A-5,20,28,23,1485.84
Ford Fusion FWD M-5,20,29,23,1485.84
Hyundai Elantra A-4,25,33,28,1144
Hyundai Elantra M-5,24,33,27,1144
KIA Optima A-5,22,32,25,1432
KIA Optima M-5,22,32,25,1432
KIA Spectra A-4,24,32,27,1253.451
KIA Spectra M-5,23,30,26,1253.451
Mazda 6 A-S5,21,30,24,1628
Mazda 6 M-6,20,29,23,1628
Mercury Milan A-5,20,28,23,1506.225
Mercury Milan M-5,20,29,23,1506.225
Mitsubishi Galant A-S4,20,27,23,1980
Mitsubishi Galant A-S5,16,25,19,1980
Nissan Maxima AV,19,26,22,1634.877
Nissan Versa AV,27,33,29,1219.929
Nissan Versa A-4,24,32,27,1219.929
Saturn Aura 2.4L A-S6,22,33,26,1560.132
Saturn Aura 3.6L A-S6,17,26,20,1560.132
Toyota Camry A-5,21,31,25,1498.071
Toyota Camry M-5,21,31,25,1498.071
Volkswagen Passat A-S6,19,29,23,1452.318
Volkswagen Passat M-6,21,31,25,1452.318
Chevrolet Impala 3.5L A-4,18,29,22,1613.586
Chevrolet Impala 5.3L A-4,16,24,19,1613.586
Lincoln MKS AWD A-6,16,23,19,1950.165
Lincoln MKS FWD A-6,17,24,19,1950.165
Pontiac G8 A-S5,17,25,20,1787.538
Toyota Matrix 1.8L A-4,25,31,28,1343.145
KIA Rondo A-4,20,27,22,1542.918
KIA Rondo A-5,18,26,21,1542.918
Chevrolet Colorado 3.7L 2WD A-4,17,23,19,1835.103
Chevrolet Colorado Crewcab 2.9L 2WD A-4,18,24,20,1835.103
Toyota Tacoma 2WD A-4,19,25,21,1882.215
Toyota Tacoma 2WD M-5,20,26,22,1882.215
Chevrolet Silverado C15 2WD A-4,14,20,16,2075.646
GMC Sierra C15 2WD A-4,14,20,16,2251.863
GMC Sierra C15 5.3L 2WD A-6,14,20,16,2206.563
Nissan Titan 2WD A-5,13,17,14,2389.122
Nissan Titan 2WD Gas FFV A-5,13,18,14,2389.122
Hummer H3T 4WD 3.7L A-4,14,18,16,2189.349
Chevrolet Van 1500 Cargo 2WD FFV Gas,14,18,15,2161.263
GMC Savanna 1500 AWD Cargo FFV Gas,14,17,15,2305.77
Hyundai Entourage A-5,16,23,18,2068.398
KIA Sedona A-5,16,23,18,1987.311
Mazda 5 A-S5,21,27,23,1574.175
Toyota Sienna 2WD A-5,17,23,19,1892.181
Buick Enclave FWD A-5,17,24,19,2165.34
Cadillac Escalade 2WD FFV Gas A-5,12,19,15,2585.724
Cadillac SRX 2WD A-S5,15,23,18,1913.472
Chevrolet Avalanche 1500 5.3L 2WD,14,20,16,2536.347
Chevrolet Equinox FWD A-5,17,24,20,1698.75
Chevrolet HHR FWD 2.0L A-4,19,29,23,1453.224
Chevrolet Tahoe 1500 FFV Gas 5.3L A-6,14,20,16,2539.971
Chevrolet Tahoe 1500 FFV E85 5.3L A-6,10,15,12,2385.045
Chevrolet Trailblazer 4.2L,14,20,16,2048.919
Ford Escape FWD 2.5L A-6,20,28,23,1540.2
Ford Flex FWD A-6,17,24,19,2187.084
GMC Acadia FWD A-6,17,24,19,2109.168
GMC Envoy 2WD 4.2L A-6,14,20,16,1961.943
GMC Yukon 1500 2WD A-6,14,20,16,2383.686
Honda Pilot 2WD A-5,17,23,19,1956.507
Hyundai Santa Fe 2WD A-4,18,24,20,1797.957
Jeep Commander 2WD A-5,15,20,16,2355.147
Jeep Grand Cherokee 2WD A-5,16,21,18,2215.623
KIA Borrego 2WD A-5,17,21,18,2174.4
Lexus RX 350 2WD A-S5,18,23,20,1753.11
Mazda CX-7 2WD A-S6,17,23,20,1779.837
Mitsubishi Outlander 2WD A-S6,17,24,20,1537.935
Nissan Armada 2WD A-5,12,18,14,2564.433
Pontiac Torrent FWD A-5,17,24,20,1657.98
Saturn Outlook FWD A-6,17,24,19,2163.981
Saturn Vue FWD A-4,19,26,22,1715.964
Toyota Highlander 2WD A-S5,18,24,20,2042.124
GMC Yukon Denali 1500 FFV Gas AWD A-6 6.2L,12,19,14,2576.211
Hummer H3 4WD A-4 3.7L,14,18,16,2212.452
Land Rover LR2 A-S6,15,22,17,1927.515
