ID,Age,Sex,LicYr,LicMth,ActCar,Kids5,Kids6,PreferCar,Carsmall_new5K,Reason,Cost,Reliable,Perform,Fuel,Safety,AC/PS,Park,Room,Doors,Prestige,Colour
110,18,male,0,2,large,no,no,medium,large_used,safety,important,very_important,important,important,important,important,important,important,important,important,little_importance
111,25,female,8,0,small,no,no,small,small_new,safety,very_important,very_important,very_important,very_important,very_important,important,very_important,very_important,little_importance,important,important
112,63,male,46,0,large,no,no,large,large_used,comfort,important,important,important,important,important,important,important,important,important,important,important
113,51,female,35,0,large,no,no,medium,large_used,safety,little_importance,important,important,important,very_important,important,important,important,important,not_important,important
114,19,female,2,0,medium,no,no,medium,small_new,looks,important,important,very_important,important,important,little_importance,important,important,little_importance,important,important
115,51,female,30,0,medium,yes,yes,medium,large_used,comfort,important,very_important,very_important,important,very_important,very_important,important,important,important,little_importance,important
116,64,female,35,0,small,no,no,medium,large_used,cost,important,very_important,important,important,very_important,little_importance,important,important,very_important,little_importance,little_importance
117,60,female,35,0,large,no,no,small,small_new,safety,important,very_important,very_important,very_important,very_important,very_important,important,little_importance,little_importance,not_important,not_important
118,23,female,5,0,small,no,no,small,small_new,safety,important,very_important,important,important,very_important,important,important,important,not_important,little_importance,important
119,42,female,20,0,large,no,yes,small,small_new,comfort,important,very_important,important,very_important,very_important,very_important,very_important,very_important,important,little_importance,important
120,21,male,4,0,small,no,no,4,large_used,performance,very_important,very_important,important,important,very_important,important,little_importance,important,little_importance,little_importance,little_importance
121,41,male,24,0,large,no,yes,large,large_used,reliability,very_important,important,important,important,important,not_important,not_important,important,important,not_important,little_importance
122,23,male,5,0,large,no,no,4,large_used,comfort,very_important,important,important,important,important,very_important,little_importance,important,important,little_importance,little_importance
123,68,male,50,0,medium,no,no,large,small_new,reliability,important,very_important,important,important,important,important,little_importance,important,not_important,little_importance,important
124,27,male,10,0,large,no,no,medium,large_used,cost,important,very_important,important,very_important,very_important,important,little_importance,little_importance,important,little_importance,important
125,21,female,3,6,medium,no,no,medium,small_new,reliability,very_important,very_important,important,important,very_important,not_important,not_important,not_important,not_important,not_important,little_importance
126,18,female,0,2,small,no,no,small,small_new,safety,important,very_important,very_important,important,very_important,not_important,not_important,little_importance,not_important,not_important,not_important
127,24,female,0,4,medium,yes,yes,large,large_used,comfort,very_important,very_important,very_important,important,very_important,little_importance,important,very_important,important,not_important,little_importance
128,45,female,27,0,large,no,no,medium,large_used,safety,important,very_important,important,important,very_important,very_important,very_important,important,important,important,important
129,47,male,30,0,large,yes,yes,large,large_used,reliability,very_important,important,not_important,very_important,important,little_importance,not_important,little_importance,little_importance,not_important,not_important
130,23,male,2,6,small,no,no,medium,large_used,cost,very_important,important,important,very_important,important,little_importance,important,little_importance,important,not_important,not_important
1,27,male,10,0,large,no,no,medium,large_used,performance,very_important,important,very_important,little_importance,important,important,not_important,little_importance,not_important,important,not_important
2,24,male,6,0,small,no,no,medium,large_used,performance,important,very_important,important,little_importance,important,not_important,little_importance,important,not_important,not_important,little_importance
3,31,female,15,0,large,yes,no,4,large_used,safety,important,very_important,little_importance,little_importance,very_important,very_important,little_importance,very_important,very_important,little_importance,not_important
4,47,female,30,0,small,no,yes,medium,small_new,reliability,very_important,very_important,little_importance,important,very_important,very_important,important,little_importance,little_importance,little_importance,important
5,23,male,6,0,small,no,no,medium,large_used,cost,important,very_important,very_important,very_important,very_important,important,important,important,little_importance,little_importance,important
7,18,male,1,0,large,no,yes,large,large_used,reliability,not_important,important,important,very_important,very_important,important,important,important,little_importance,little_importance,not_important
131,19,female,1,0,medium,no,no,small,large_used,safety,very_important,important,little_importance,important,very_important,not_important,little_importance,not_important,not_important,not_important,little_importance
132,23,female,6,0,small,no,no,medium,small_new,safety,not_important,very_important,little_importance,very_important,very_important,little_importance,important,important,not_important,not_important,not_important
133,31,male,10,0,small,yes,yes,large,large_used,safety,not_important,little_importance,important,very_important,very_important,important,little_importance,very_important,little_importance,little_importance,not_important
134,30,female,13,0,large,yes,yes,medium,large_used,reliability,important,very_important,important,important,very_important,not_important,not_important,important,not_important,not_important,not_important
135,51,female,34,0,medium,no,no,large,large_used,safety,very_important,very_important,very_important,important,very_important,very_important,very_important,important,very_important,important,important
136,56,male,39,0,large,no,yes,large,large_used,cost,very_important,very_important,important,very_important,very_important,important,not_important,important,very_important,little_importance,very_important
137,22,male,4,0,medium,no,no,medium,small_new,looks,very_important,important,little_importance,important,little_importance,not_important,not_important,not_important,not_important,not_important,not_important
138,18,male,0,4,small,no,no,small,small_new,performance,little_importance,very_important,important,very_important,very_important,little_importance,important,important,very_important,important,little_importance
139,22,male,4,0,small,no,yes,small,small_new,cost,very_important,important,important,important,important,important,little_importance,important,important,little_importance,little_importance
140,20,female,2,0,medium,no,no,small,small_new,safety,very_important,very_important,important,important,very_important,important,very_important,little_importance,little_importance,not_important,not_important
141,23,female,5,0,small,no,no,small,small_new,comfort,very_important,very_important,important,very_important,very_important,very_important,very_important,important,little_importance,important,important
