method,crying                                                                                                                                                                                                          
convent,63                                                                                                                                                                                                             
convent,0                                                                                                                                                                                                              
convent,2                                                                                                                                                                                                              
convent,46                                                                                                                                                                                                             
convent,33                                                                                                                                                                                                             
convent,33                                                                                                                                                                                                             
convent,29                                                                                                                                                                                                             
convent,23                                                                                                                                                                                                             
convent,11                                                                                                                                                                                                             
convent,12                                                                                                                                                                                                             
convent,48                                                                                                                                                                                                             
convent,15                                                                                                                                                                                                             
convent,33                                                                                                                                                                                                             
convent,14                                                                                                                                                                                                             
convent,51                                                                                                                                                                                                             
convent,37                                                                                                                                                                                                             
convent,24                                                                                                                                                                                                             
convent,70                                                                                                                                                                                                             
convent,63                                                                                                                                                                                                             
convent,0                                                                                                                                                                                                              
convent,73                                                                                                                                                                                                             
convent,39                                                                                                                                                                                                             
convent,54                                                                                                                                                                                                             
convent,52                                                                                                                                                                                                             
convent,39                                                                                                                                                                                                             
convent,34                                                                                                                                                                                                             
convent,30                                                                                                                                                                                                             
convent,55                                                                                                                                                                                                             
convent,58                                                                                                                                                                                                             
convent,18                                                                                                                                                                                                             
new,0                                                                                                                                                                                                                  
new,32                                                                                                                                                                                                                 
new,20                                                                                                                                                                                                                 
new,23                                                                                                                                                                                                                 
new,14                                                                                                                                                                                                                 
new,19                                                                                                                                                                                                                 
new,60                                                                                                                                                                                                                 
new,59                                                                                                                                                                                                                 
new,64                                                                                                                                                                                                                 
new,64                                                                                                                                                                                                                 
new,72                                                                                                                                                                                                                 
new,50                                                                                                                                                                                                                 
new,44                                                                                                                                                                                                                 
new,14                                                                                                                                                                                                                 
new,10                                                                                                                                                                                                                 
new,58                                                                                                                                                                                                                 
new,19                                                                                                                                                                                                                 
new,41                                                                                                                                                                                                                 
new,17                                                                                                                                                                                                                 
new,5                                                                                                                                                                                                                  
new,36                                                                                                                                                                                                                 
new,73                                                                                                                                                                                                                 
new,19                                                                                                                                                                                                                 
new,46                                                                                                                                                                                                                 
new,9                                                                                                                                                                                                                  
new,43                                                                                                                                                                                                                 
new,73                                                                                                                                                                                                                 
new,27                                                                                                                                                                                                                 
new,25                                                                                                                                                                                                                 
new,18                                                                                                                                                                                                                 
