GHO,indicator,pulish,year,region,wbincome,country,number,percentage
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Afghanistan,110,109.61
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Andorra,2,1.79
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Antigua and Barbuda,0.13,0.13
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Australia,1155,1155.13
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Azerbaijan,48,47.54
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Bangladesh,220,219.63
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Belarus,265,264.52
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Benin,50,49.64
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Bolivia (Plurinational State of),212,211.59
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Brazil,2643,2643.36
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Bulgaria,179,179.14
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Cambodia,20,20.19
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Canada,802,801.72
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Chad,84,83.71
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,China,5879,5878.93
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Congo,31,30.91
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Costa Rica,92,92.24
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Cuba,271,271.39
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Czech Republic,372,372.08
UV_2,UV radiation attributable deaths ,Published,2002,Africa,Low income,Democratic Republic of the Congo,338,338.38
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Denmark,226,226.31
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Dominica,0.01,0.01
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Ecuador,98,97.81
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Egypt,55,54.54
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Equatorial Guinea,6,5.85
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Estonia,45,45.12
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Ethiopia,504,503.57
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Finland,155,154.73
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Gabon,40,40.3
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Gambia,7,7.15
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Germany,2257,2256.94
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Greece,316,316.08
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Grenada,0.32,0.32
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Guinea,58,58.48
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Guyana,1,1.35
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Haiti,8,8
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Hungary,372,371.99
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,India,1961,1960.57
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Indonesia,1013,1012.94
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Iraq,79,79.26
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Israel,181,180.93
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Italy,1754,1754.13
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Japan,1414,1414.28
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Kazakhstan,278,277.85
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Kenya,204,204.02
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Kuwait,5,5.26
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Lao People's Democratic Republic,15,14.92
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Latvia,83,82.97
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Lesotho,15,14.57
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Libya,36,36.47
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Lithuania,97,97.03
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Madagascar,0,0
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Malaysia,102,102.14
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Maldives,4,3.61
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Malta,8,7.94
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Mauritania,27,26.76
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Micronesia (Federated States of),0.81,0.81
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Mongolia,8,8.07
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Myanmar,85,85.14
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Nauru,0.06,0.06
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,New Zealand,223,223.25
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Niger,39,38.73
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Norway,212,212.46
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Pakistan,321,321.03
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Papua New Guinea,59,58.92
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Peru,0,0
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Portugal,264,263.87
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Republic of Korea,329,328.9
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Russian Federation,2360,2359.78
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Saint Kitts and Nevis,0,0
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Samoa,1,1.25
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Sao Tome and Principe,1,1.21
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Sierra Leone,45,45.01
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Slovenia,75,74.52
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Somalia,79,79.12
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Sri Lanka,42,42.3
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Suriname,0.98,0.98
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Switzerland,244,244.04
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Tajikistan,33,32.53
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,The former Yugoslav Republic of Macedonia,66,65.96
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Timor-Leste,2,2.26
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Trinidad and Tobago,5,4.68
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Tunisia,50,49.59
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Turkmenistan,36,35.65
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Uganda,174,173.83
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Ukraine,1184,1183.76
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,United Kingdom,1714,1713.97
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,United States of America,8785,8784.73
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Vanuatu,1,1
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Viet Nam,110,109.57
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Zimbabwe,98,98.28
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Albania,45,44.81
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Algeria,94,94.42
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Angola,199,199.17
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Argentina,812,811.89
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Armenia,67,67.45
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Austria,241,240.6
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Bahamas,2,1.78
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Bahrain,2,2.33
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Barbados,3,3
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Belgium,257,257.19
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Belize,1,1.34
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Bhutan,5,4.75
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Bosnia and Herzegovina,53,53.33
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Botswana,9,8.76
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Brunei Darussalam,0.62,0.62
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Burkina Faso,27,27
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Burundi,58,57.82
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Cameroon,356,356
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Cape Verde,5,4.6
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Central African Republic,45,45.05
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Chile,291,291.14
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Colombia,290,289.92
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Comoros,5,5.26
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Cook Islands,0.11,0.11
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,C??te d'Ivoire,94,93.84
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Croatia,196,195.63
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Cyprus,11,10.96
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Democratic People's Republic of Korea,22,22.3
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Djibouti,6,5.75
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Dominican Republic,64,64.16
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,El Salvador,36,36.09
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Eritrea,26,25.83
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Fiji,4,3.96
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,France,1442,1441.91
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Georgia,87,87.08
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Ghana,171,170.72
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Guatemala,36,36.08
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Guinea-Bissau,13,13.09
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Honduras,34,33.8
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Iceland,4,3.62
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Iran (Islamic Republic of),697,697.07
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Ireland,85,84.85
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Jamaica,14,13.91
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Jordan,30,30.05
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Kiribati,0.4,0.4
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Kyrgyzstan,47,46.96
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Lebanon,16,16.21
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Liberia,57,57.27
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Luxembourg,12,12.47
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Malawi,138,138.02
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Mali,39,39.05
UV_2,UV radiation attributable deaths ,Published,2002,Western Pacific,,Marshall Islands,0.43,0.43
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Mauritius,3,3.36
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Mexico,970,970.08
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Monaco,0.75,0.75
UV_2,UV radiation attributable deaths ,Published,2002,Eastern Mediterranean,,Morocco,124,123.77
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Mozambique,171,171.15
UV_2,UV radiation attributable deaths ,Published,2002,Africa,,Namibia,41,41.49
UV_2,UV radiation attributable deaths ,Published,2002,South-East Asia,,Nepal,53,52.8
UV_2,UV radiation attributable deaths ,Published,2002,Europe,,Netherlands,486,486.16
UV_2,UV radiation attributable deaths ,Published,2002,Americas,,Nicaragua,15,15.14
