 Address,City,type,Bd,Bth,SqFt,Lot Acres,Year,TT,Date,$/SqFt,DOM,Orig Price,List Price
3104 Mesa TRL,Flagstaff,mobile,1,1,500,0.19,1973,Sale,11/19/20,$300 ,72,"$150,000 ","$150,000 "
1200 S Riordan Ranch ST 103,Flagstaff,condo,1,1,526,0.01,1984,Sale,1/8/21,$332.68 ,22,"$174,990 ","$174,990 "
6245 N Snowflake DR,Flagstaff,mobile,3,2,"1,140",0.12,1976,Sale,1/1/21,$162.28 ,29,"$185,000 ","$185,000 "
10775 Townsend Winona RD,Flagstaff,house,0,1,"1,176",1.59,1976,Sale,1/28/21,$233.84 ,2,"$275,000 ","$275,000 "
2310 Keams Canyon TRL,Flagstaff,mobile,3,2,"1,792",0.12,1987,Sale,1/21/21,$167.41 ,9,"$300,000 ","$300,000 "
7765 Conley RD,Flagstaff,mobile,3,2,"1,456",2.42,2001,Sale,1/29/21,$212.91 ,2,"$310,000 ","$310,000 "
2817 W Alamo DR Lot 32,Flagstaff,house,2,1.5,"1,158",0.02,2021,Sale,9/7/20,$276.25 ,145,"$319,900 ","$319,900 "
4954 E Retreat CIR Lot 1,Flagstaff,house,2,1,"1,002",0.08,2020,Sale,10/1/20,$321.75 ,476,"$316,400 ","$322,400 "
1790 W Kaibab LN,Flagstaff,mobile,4,2,"1,350",0.13,1997,Sale,1/26/21,$240.74 ,4,"$325,000 ","$325,000 "
773 Comanche ST,Flagstaff,house,2,1,"1,216",0.13,1976,Sale,1/22/21,$287.01 ,8,"$349,000 ","$349,000 "
4978 E Retreat CIR Lot 5,Flagstaff,house,2,2.5,"1,248",0.08,2020,Sale,10/1/20,$281.57 ,121,"$345,400 ","$351,400 "
2467 W Pikes Peak DR,Flagstaff,townhouse,4,3,"1,605",0.03,2015,Sale,1/23/21,$224.30 ,4,"$360,000 ","$360,000 "
4960 E Retreat CIR Lot 2,Flagstaff,house,3,2.5,"1,325",0.08,2020,Sale,10/1/20,$272.75 ,473,"$355,400 ","$361,400 "
1930 Spencer CIR,Flagstaff,townhouse,2,2.5,"1,483",0.02,1984,Sale,1/29/21,$246.06 ,1,"$364,900 ","$364,900 "
4966 E Retreat CIR Lot 3,Flagstaff,house,4,3.5,"1,678",0.08,2020,Sale,10/1/20,$228.54 ,473,"$377,500 ","$383,500 "
727 E Zuni DR,Flagstaff,house,3,2,"1,696",0.6,1988,Sale,11/17/20,$229.89 ,74,"$389,900 ","$389,900 "
3321 N Wayman ST,Flagstaff,house,3,1.75,"1,728",0.17,1965,Sale,1/23/21,$225.64 ,2,"$389,900 ","$389,900 "
2374 W Cripple Creek DR,Flagstaff,townhouse,2,2.5,"1,274",0.03,2007,Sale,1/19/21,$313.19 ,11,"$399,000 ","$399,000 "
2519 E Lockett RD,Flagstaff,house,5,3,"2,086",0.21,1966,Sale,1/25/21,$191.71 ,2,"$399,900 ","$399,900 "
3869 Leather Vest 51,Flagstaff,condo,3,2,"1,783",0.01,2020,Sale,8/30/20,$246.71 ,153,"$429,900 ","$439,900 "
5860 Tyson TRL,Flagstaff,house,4,2,"1,633",1.02,2001,Sale,1/29/21,$284.75 ,0,"$465,000 ","$465,000 "
12866 Stockmens RD,Flagstaff,mobile,4,2,"2,520",2.45,2018,Sale,12/18/20,$197.21 ,43,"$496,960 ","$496,960 "
