year,low,high
1948,51,91
1949,53,85
1950,48,88
1951,39,73
1952,54,81
1953,37,68
1954,48,73
1955,43,75
1956,39,78
1957,39,69
1958,48,81
1959,43,77
1960,51,73
1961,42,68
1962,33,80
1963,48,71
1964,53,72
1965,44,73
1966,44,64
1967,51,66
1968,46,72
1969,48,80
1970,56,79
1971,48,78
1972,50,73
1973,43,72
1974,52,82
1975,46,80
1976,45,81
1977,46,82
1978,45,77
1979,37,77
1980,41,77
1981,50,75
1982,46,79
1983,48,80
1984,53,71
1985,46,75
1986,46,68
1987,48,79
1988,48,75
1989,46,78
1990,48,66
1991,53,69
1992,39,70
1993,50,75
1994,48,73
1995,57,84
1996,52,80
1997,48,66
1998,51,68
1999,48,68
2000,44,63
2001,46,77
2002,50,80
2003,53,77
2004,45,78
2005,48,77
2006,47,79
2007,51,80
2008,55,70
2009,52,80
2010,39,79
2011,45,84
2012,52,73
2013,52,76
2014,47,80
2015,49,76
2016,50,76
2017,46,82
2018,49,75
