heating,state,percentage
Electricty,Alabama,60.8
Oil,Alabama,0.2
Gas,Alabama,37.5
Electricty,Alaska,12
Oil,Alaska,31.8
Gas,Alaska,49
Electricty,Arizona,59.1
Oil,Arizona,0
Gas,Arizona,37.5
Electricty,Arkansas,46
Oil,Arkansas,0.1
Gas,Arkansas,48.9
Electricty,California,25.5
Oil,California,0.3
Gas,California,69.3
Electricty,Colorado,19.2
Oil,Colorado,0.1
Gas,Colorado,77.6
Electricty,Connecticut,15.3
Oil,Connecticut,46.3
Gas,Connecticut,35.6
Electricty,Delaware,31.4
Oil,Delaware,15.9
Gas,Delaware,50.7
Electricty,District of Columbia,35.4
Oil,District of Columbia,2.5
Gas,District of Columbia,61
Electricty,Florida,92.7
Oil,Florida,0.2
Gas,Florida,5.5
Electricty,Georgia,52.4
Oil,Georgia,0.3
Gas,Georgia,45.9
Electricty,Hawaii,32.1
Oil,Hawaii,0
Gas,Hawaii,3.4
Electricty,Idaho,33
Oil,Idaho,1.9
Gas,Idaho,55.6
Electricty,Illinois,14.6
Oil,Illinois,0.2
Gas,Illinois,83.8
Electricty,Indiana,27.1
Oil,Indiana,1
Gas,Indiana,68.8
Electricty,Iowa,18.8
Oil,Iowa,0.9
Gas,Iowa,77.4
Electricty,Kansas,22.3
Oil,Kansas,0.1
Gas,Kansas,75.1
Electricty,Kentucky,49.3
Oil,Kentucky,1.2
Gas,Kentucky,45.8
Electricty,Louisiana,61
Oil,Louisiana,0
Gas,Louisiana,38
Electricty,Maine,4.5
Oil,Maine,68.7
Gas,Maine,12.6
Electricty,Maryland,40.1
Oil,Maryland,10.5
Gas,Maryland,47.3
Electricty,Massachusetts,14
Oil,Massachusetts,31.8
Gas,Massachusetts,51.7
Electricty,Michigan,7.9
Oil,Michigan,1.5
Gas,Michigan,86.2
Electricty,Minnesota,16
Oil,Minnesota,2.9
Gas,Minnesota,76.7
Electricty,Mississippi,54.7
Oil,Mississippi,0.2
Gas,Mississippi,43.2
Electricty,Missouri,33.4
Oil,Missouri,0.3
Gas,Missouri,61.8
Electricty,Montana,21.1
Oil,Montana,1.6
Gas,Montana,67.3
Electricty,Nebraska,25.3
Oil,Nebraska,0.6
Gas,Nebraska,71.7
Electricty,Nevada,32.6
Oil,Nevada,0.7
Gas,Nevada,64.5
Electricty,New Hampshire,7.9
Oil,New Hampshire,48.8
Gas,New Hampshire,34
Electricty,New Jersey,11.4
Oil,New Jersey,11.9
Gas,New Jersey,75.8
Electricty,New Mexico,15.5
Oil,New Mexico,0.1
Gas,New Mexico,76.5
Electricty,New York,9.8
Oil,New York,27.5
Gas,New York,58.9
Electricty,North Carolina,59.2
Oil,North Carolina,4.8
Gas,North Carolina,33.4
Electricty,North Dakota,38
Oil,North Dakota,4.2
Gas,North Dakota,54.7
Electricty,Ohio,21.8
Oil,Ohio,2.8
Gas,Ohio,72.4
Electricty,Oklahoma,35
Oil,Oklahoma,0.1
Gas,Oklahoma,62.2
Electricty,Oregon,49
Oil,Oregon,3
Gas,Oregon,39.8
Electricty,Pennsylvania,20.7
Oil,Pennsylvania,19.7
Gas,Pennsylvania,54.6
Electricty,Puerto Rico,15.6
Oil,Puerto Rico,0
Gas,Puerto Rico,1
Electricty,Rhode Island,8.4
Oil,Rhode Island,36.8
Gas,Rhode Island,52.6
Electricty,South Carolina,68.5
Oil,South Carolina,1.5
Gas,South Carolina,28.3
Electricty,South Dakota,27.7
Oil,South Dakota,3.4
Gas,South Dakota,65.5
Electricty,Tennessee,59
Oil,Tennessee,0.5
Gas,Tennessee,37.9
Electricty,Texas,58.1
Oil,Texas,0.1
Gas,Texas,40.7
Electricty,Utah,9.5
Oil,Utah,0.2
Gas,Utah,88.4
Electricty,Vermont,4.2
Oil,Vermont,47.7
Gas,Vermont,30.6
Electricty,Virginia,51.6
Oil,Virginia,6.5
Gas,Virginia,38.3
Electricty,Washington,53.5
Oil,Washington,2.7
Gas,Washington,38.5
Electricty,West Virginia,42.4
Oil,West Virginia,3.3
Gas,West Virginia,45.9
Electricty,Wisconsin,14.7
Oil,Wisconsin,3.3
Gas,Wisconsin,76.1
Electricty,Wyoming,23
Oil,Wyoming,0.5
Gas,Wyoming,68.9
