price,sqft,age,FEATS,NE,CUST,COR,Tax
2050,2650,13,7,NE,custom,notcorner,1639
2080,2600,*,4,NE,custom,notcorner,1088
2150,2664,6,5,NE,custom,notcorner,1193
2150,2921,3,6,NE,custom,notcorner,1635
1999,2580,4,4,NE,custom,notcorner,1732
1900,2580,4,4,NE,notcustom,notcorner,1534
1800,2774,2,4,NE,notcustom,notcorner,1765
1560,1920,1,5,NE,custom,notcorner,1161
1450,2150,*,4,NE,notcustom,notcorner,*
1449,1710,1,3,NE,custom,notcorner,1010
1375,1837,4,5,NE,notcustom,notcorner,1191
1270,1880,8,6,NE,notcustom,notcorner,930
1250,2150,15,3,NE,notcustom,notcorner,984
1235,1894,14,5,NE,custom,notcorner,1112
1170,1928,18,8,NE,custom,notcorner,600
1180,1830,*,3,NE,notcustom,notcorner,733
1155,1767,16,4,NE,notcustom,notcorner,794
1110,1630,15,3,NE,notcustom,corner,867
1139,1680,17,4,NE,notcustom,corner,750
995,1725,*,3,NE,notcustom,notcorner,923
995,1500,15,4,NE,notcustom,notcorner,743
975,1430,*,3,NE,notcustom,notcorner,752
975,1360,*,4,NE,notcustom,notcorner,696
900,1400,16,2,NE,notcustom,corner,731
960,1573,17,6,NE,notcustom,notcorner,768
860,1385,*,2,NE,notcustom,notcorner,653
1695,2931,28,3,NE,notcustom,corner,1142
1553,2200,28,4,NE,notcustom,notcorner,1035
1250,2277,*,4,NE,custom,notcorner,*
1300,2000,*,3,NE,custom,notcorner,1076
1020,1478,53,3,NE,notcustom,corner,626
1020,1713,30,4,NE,notcustom,corner,600
922,1326,*,4,NE,notcustom,notcorner,668
925,1050,*,2,NE,notcustom,corner,553
899,1464,*,2,NE,custom,notcorner,566
850,1190,41,1,NE,notcustom,notcorner,600
876,1156,*,1,NE,notcustom,notcorner,*
890,1746,*,2,NE,notcustom,notcorner,591
870,1280,*,1,NE,notcustom,notcorner,599
700,1215,*,3,NE,notcustom,notcorner,477
720,1121,46,4,NE,notcustom,notcorner,398
720,1050,*,1,NE,notcustom,notcorner,*
749,1733,43,6,NE,notcustom,notcorner,656
731,1299,*,6,NE,notcustom,notcorner,585
725,1140,*,3,NE,notcustom,corner,490
670,1181,*,4,NE,notcustom,notcorner,440
2150,2848,4,6,NE,custom,notcorner,1487
1599,2440,*,5,NE,custom,notcorner,1265
1350,2253,23,4,NE,custom,notcorner,939
1299,2743,25,5,NE,custom,corner,1232
1250,2180,17,4,NE,notcustom,corner,1141
1239,1706,14,4,NE,notcustom,notcorner,810
1200,1948,*,4,NE,notcustom,notcorner,899
1125,1710,16,4,NE,custom,notcorner,800
1100,1657,*,4,NE,notcustom,notcorner,865
1080,2200,26,4,NE,notcustom,notcorner,1076
1050,1680,13,4,NE,notcustom,notcorner,875
1049,1900,34,3,NE,notcustom,notcorner,690
955,1565,*,3,NE,custom,notcorner,648
934,1543,20,3,NE,notcustom,notcorner,820
875,1173,6,4,NE,notcustom,notcorner,456
889,1549,*,4,NE,notcustom,notcorner,723
855,1900,*,3,NE,notcustom,notcorner,780
835,1560,*,5,NE,notcustom,corner,638
810,1365,*,2,NE,notcustom,notcorner,673
805,1258,7,4,NE,notcustom,corner,821
799,1314,*,2,NE,notcustom,notcorner,671
750,1338,*,3,NE,notcustom,corner,649
759,997,4,4,NE,notcustom,notcorner,461
755,1275,*,5,NE,notcustom,notcorner,*
750,1030,*,1,NE,notcustom,notcorner,486
730,1027,*,3,NE,notcustom,notcorner,427
729,1007,19,6,NE,notcustom,notcorner,513
710,1083,22,4,NE,notcustom,notcorner,504
773,1320,*,5,NE,notcustom,notcorner,*
690,1348,15,2,NE,custom,notcorner,*
670,1350,*,2,NE,notcustom,notcorner,622
619,837,*,2,NE,notcustom,notcorner,342
1295,3750,*,4,notNE,custom,corner,1200
975,1500,7,3,notNE,custom,corner,700
939,1428,40,2,notNE,notcustom,notcorner,701
820,1375,*,1,notNE,notcustom,notcorner,585
780,1080,*,3,notNE,custom,notcorner,600
770,900,*,3,notNE,notcustom,notcorner,391
700,1505,*,2,notNE,notcustom,corner,591
620,1480,*,4,notNE,notcustom,notcorner,*
540,1142,*,0,notNE,notcustom,notcorner,223
1070,1464,*,2,notNE,notcustom,notcorner,376
2100,2116,25,3,notNE,custom,notcorner,1209
725,1280,*,3,notNE,notcustom,notcorner,447
660,1159,*,0,notNE,notcustom,notcorner,225
600,1198,*,4,notNE,notcustom,notcorner,*
580,1051,15,2,notNE,notcustom,notcorner,426
1844,2250,40,6,notNE,custom,notcorner,915
1580,2563,*,2,notNE,custom,notcorner,1189
699,1400,45,1,notNE,custom,corner,481
1330,1850,5,5,notNE,custom,corner,*
1160,1720,5,4,notNE,notcustom,notcorner,867
1109,1740,4,3,notNE,notcustom,notcorner,816
1129,1700,6,4,notNE,notcustom,notcorner,725
1050,1620,6,4,notNE,notcustom,notcorner,800
1045,1630,6,4,notNE,notcustom,notcorner,750
1050,1920,8,4,notNE,notcustom,notcorner,944
1020,1606,5,4,notNE,notcustom,notcorner,811
1000,1535,7,5,notNE,notcustom,corner,668
1030,1540,6,2,notNE,notcustom,corner,826
975,1739,13,3,notNE,notcustom,notcorner,880
950,1715,*,3,notNE,notcustom,notcorner,900
940,1305,5,3,notNE,notcustom,notcorner,647
920,1415,7,4,notNE,notcustom,notcorner,866
945,1580,9,3,notNE,notcustom,notcorner,810
874,1236,3,4,notNE,notcustom,notcorner,707
872,1229,6,3,notNE,notcustom,notcorner,721
870,1273,4,4,notNE,notcustom,notcorner,638
869,1165,7,4,notNE,notcustom,notcorner,694
766,1200,7,4,notNE,notcustom,corner,634
739,970,4,4,notNE,notcustom,corner,541
