Day,Time,Rooms                                                                                                                                                                                                                                                 
Mon. 1,1,65                                                                                                                                                                                                                                                    
Tues. 2,2,67                                                                                                                                                                                                                                                   
Wed. 3,3,63                                                                                                                                                                                                                                                    
Thurs. 4,4,54                                                                                                                                                                                                                                                  
Fri. 5,5,68                                                                                                                                                                                                                                                    
Sat. 6,6,72                                                                                                                                                                                                                                                    
Sun. 7,7,74                                                                                                                                                                                                                                                    
Mon. 8,8,72                                                                                                                                                                                                                                                    
Tues. 9,9,63                                                                                                                                                                                                                                                   
Wed. 10,10,64                                                                                                                                                                                                                                                  
Thurs. 11,11,67                                                                                                                                                                                                                                                
Fri. 12,12,71                                                                                                                                                                                                                                                  
Sat. 13,13,78                                                                                                                                                                                                                                                  
Sun. 14,14,79                                                                                                                                                                                                                                                  
Mon. 15,15,73                                                                                                                                                                                                                                                  
Tues. 16,16,62                                                                                                                                                                                                                                                 
Wed. 17,17,58                                                                                                                                                                                                                                                  
Thurs. 18,18,61                                                                                                                                                                                                                                                
Fri. 19,19,67                                                                                                                                                                                                                                                  
Sat. 20,20,75                                                                                                                                                                                                                                                  
Sun. 21,21,72                                                                                                                                                                                                                                                  
