price,size,bed,bath,type                                                                                                                                                                                                                                       
349900,1951,5,2.5,house                                                                                                                                                                                                                                        
549900,2413,4,3,house                                                                                                                                                                                                                                          
289999,1524,3,2,house                                                                                                                                                                                                                                          
669900,2915,3,2.5,house                                                                                                                                                                                                                                        
659000,2706,3,3,house                                                                                                                                                                                                                                          
595000,2587,3,3,house                                                                                                                                                                                                                                          
330900,1669,3,2.5,house                                                                                                                                                                                                                                        
469900,2351,2,2.5,townhouse                                                                                                                                                                                                                                    
529000,2539,4,3,house                                                                                                                                                                                                                                          
489900,2506,3,3,townhouse                                                                                                                                                                                                                                      
403000,2280,3,2,house                                                                                                                                                                                                                                          
469900,2360,3,2.5,townhouse                                                                                                                                                                                                                                    
464900,2335,2,2.5,townhouse                                                                                                                                                                                                                                    
396500,1975,4,2.75,house                                                                                                                                                                                                                                       
464900,2335,2,2.5,townhouse                                                                                                                                                                                                                                    
396500,1975,4,2.75,house                                                                                                                                                                                                                                       
388000,2392,3,2.5,townhouse                                                                                                                                                                                                                                    
749900,3580,5,4,house                                                                                                                                                                                                                                          
212000,906,2,2,townhouse                                                                                                                                                                                                                                       
594900,2618,3,2.5,house                                                                                                                                                                                                                                        
549900,2413,4,3,house                                                                                                                                                                                                                                          
374900,2106,2,2.5,townhouse                                                                                                                                                                                                                                    
250000,2508,4,3.5,house                                                                                                                                                                                                                                        
259000,1435,3,2,townhouse                                                                                                                                                                                                                                      
825000,2865,3,4,house                                                                                                                                                                                                                                          
596136,4088,3,3,house                                                                                                                                                                                                                                          
14995000,4088,4,4,house                                                                                                                                                                                                                                        
559900,2308,3,2.5,house                                                                                                                                                                                                                                        
392000,2359,4,4,townhouse                                                                                                                                                                                                                                      
299900,1421,3,2,house                                                                                                                                                                                                                                          
471000,2389,3,2.5,townhouse                                                                                                                                                                                                                                    
799000,3750,3,2.5,house                                                                                                                                                                                                                                        
346000,1624,2,2.5,townhouse                                                                                                                                                                                                                                    
532000,2778,5,3,house                                                                                                                                                                                                                                          
275000,1436,3,3,townhouse                                                                                                                                                                                                                                      
189900,805,2,2,condo                                                                                                                                                                                                                                           
985000,3856,3,3.5,house                                                                                                                                                                                                                                        
949000,2962,4,3.5,house                                                                                                                                                                                                                                        
320000,1629,3,3,townhouse                                                                                                                                                                                                                                      
