City,type,bed,bath,SqFt,Lot_Acres,Year,Date,cost_per_sqf,DOM,Orig_Price,List_Price
Flagstaff,MB,2,1,728,0.12,1992,11/15/21,52.19,39,45000,38000
Flagstaff,MB,1,1,320,0.1,1955,12/18/21,140.62,5,45000,45000
Flagstaff,CN,0,1,508,0,2021,11/16/21,512.11,43,257650,260150
Flagstaff,CN,2,2,827,0.04,1983,11/14/21,350.66,44,289999,289999
Flagstaff,CN,2,2,776,0.02,1998,12/23/21,386.57,6,299980,299980
Flagstaff,SF,3,1,975,0.15,1945,9/2/21,307.69,118,359000,299999
Flagstaff,CN,1,1,772,0,2021,8/9/21,388.8,142,300150,300150
Flagstaff,CN,1,1,772,0,2021,8/24/21,395.92,127,303150,305650
Flagstaff,CN,1,1,772,0,2021,11/16/21,395.92,43,303150,305650
Flagstaff,SF,2,1.5,"1,158",0.02,2021,9/7/20,276.25,478,319900,319900
Flagstaff,MB,2,2,980,0.23,1982,10/25/21,336.73,22,330000,330000
Flagstaff,CN,2,2,"1,098",0.08,1999,12/24/21,309.65,5,340000,340000
Flagstaff,SF,2,1,642,0.08,1945,11/19/21,615.26,39,395000,395000
Flagstaff,TH,3,2.5,"1,762",0.02,1992,12/15/21,227.01,13,400000,400000
Flagstaff,CN,1,1,794,0,2022,12/9/21,504.28,20,400400,400400
Flagstaff,CN,1,1,800,0,2022,12/9/21,506.12,20,400400,404900
Flagstaff,CN,1,1,794,0,2022,12/9/21,510.58,20,405400,405400
Flagstaff,CN,1,1,810,0,2022,12/9/21,502.35,20,406900,406900
Flagstaff,CN,1,1,805,0,2022,11/16/21,507.33,37,403400,408400
Flagstaff,CN,1,1,800,0,2022,12/9/21,512.38,20,409900,409900
Flagstaff,CN,1,1,794,0,2022,12/9/21,516.88,20,410400,410400
Flagstaff,CN,1,1,810,0,2022,12/9/21,508.52,20,411900,411900
Flagstaff,CN,1,1,805,0,2022,11/16/21,513.54,37,408400,413400
Flagstaff,CN,1,1,810,0,2022,12/9/21,514.69,20,416900,416900
Flagstaff,CN,1,1,810,0,2022,12/9/21,520.86,20,421900,421900
Flagstaff,CN,1,1,805,0,2022,11/16/21,525.96,37,418400,423400
Flagstaff,CN,1,1,800,0,2022,12/9/21,531.12,20,424900,424900
Flagstaff,MB,5,4,"3,100",2.5,1993,9/9/21,137.09,111,475000,425000
Flagstaff,SF,4,2,"2,300",0.17,1963,12/20/21,189.09,9,434900,434900
Flagstaff,TH,2,2.5,"1,550",0.04,1993,12/17/21,290.32,12,450000,450000
Flagstaff,SF,3,1.5,"1,406",0.16,1951,9/30/21,347.8,90,489000,489000
Flagstaff,SF,4,2.5,"1,738",0.09,1995,11/17/21,281.87,42,499900,489900
Flagstaff,TH,3,2.5,"1,536",0.07,2007,12/20/21,324.87,9,499000,499000
Flagstaff,CN,2,2,968,0,2022,11/16/21,534.5,37,512400,517400
Flagstaff,CN,2,2,968,0,2022,11/16/21,539.67,37,517400,522400
Flagstaff,CN,2,2,"1,048",0,2022,11/16/21,508.02,43,532400,532400
Flagstaff,CN,2,2,"1,153",0,2022,11/16/21,464.35,43,530400,535400
Flagstaff,CN,2,2,"1,153",0,2022,11/16/21,468.69,43,535400,540400
Flagstaff,SF,3,2,"1,334",0.19,1975,12/2/21,412.29,27,550000,550000
Flagstaff,SF,4,2,"2,225",0.19,1989,10/28/21,249.88,62,555988,555988
Flagstaff,SF,3,2,"1,413",0.17,1997,11/11/21,445.15,48,630000,629000
Flagstaff,SF,4,3,"1,944",1.01,1976,12/3/21,349.74,26,679900,679900
Flagstaff,SF,3,2,"1,362",1.13,1989,12/17/21,510.28,12,695000,695000
Flagstaff,SF,3,3,"2,059",0.16,2002,12/16/21,347.26,13,715000,715000
Flagstaff,SF,4,3.5,"2,222",0.28,1979,12/11/21,337.08,17,749000,749000
Flagstaff,SF,5,3,"2,553",2.5,2004,12/17/21,293.77,11,750000,750000
Flagstaff,SF,4,2,"1,970",0.15,1973,11/19/21,385.27,39,729000,759000
Flagstaff,SF,4,2.5,"2,501",2.34,2006,11/19/21,343,40,857843,857843
Flagstaff,SF,6,2.5,"2,422",0.31,1950,9/10/21,378.61,167,795000,917000
Flagstaff,SF,4,2.5,"2,819",0.18,2006,12/15/21,344.09,13,970000,970000
Flagstaff,SF,3,2.5,"3,002",0.34,1983,11/26/21,336.11,32,1009000,1009000
Flagstaff,SF,4,3.5,"3,906",0.35,1979,4/1/21,262.41,268,1025000,1025000
Flagstaff,SF,5,3.5,"2,096",0.17,1901,11/17/21,524.81,40,1100000,1100000
Flagstaff,SF,3,3.5,"3,586",2.5,2021,7/20/21,334.63,162,1200000,1200000
Flagstaff,SF,3,3.5,"3,009",0.19,2022,11/27/21,398.8,32,1200000,1200000
Flagstaff,SF,3,2.5,"3,276",2.01,1980,12/11/21,396.83,18,1300000,1300000
Flagstaff,SF,5,4.5,"3,755",2.3,1996,12/26/21,359.52,3,1350000,1350000
Flagstaff,CN,3,3.5,"1,879",0.05,2018,11/13/21,758.38,46,1425000,1425000
Flagstaff,SF,4,3.5,"3,221",5.76,2010,11/10/21,464.14,51,1495000,1495000
Flagstaff,SF,4,2,"2,255",18.91,1994,10/29/21,665.19,61,2250000,1500000
Flagstaff,SF,3,3,"2,685",0.57,1990,10/15/21,594.04,75,1495000,1595000
Flagstaff,SF,4,3,"4,035",4.36,1993,10/8/21,396.53,81,1500000,1600000
Flagstaff,SF,5,6.5,"3,592",0.32,1995,11/12/21,466.31,49,1675000,1675000
Flagstaff,SF,3,3.5,"2,637",0.47,2023,2/1/21,660.97,328,1618500,1743000
Flagstaff,SF,4,4,"5,480",1.92,1994,11/24/21,319.16,34,1799000,1749000
Flagstaff,SF,4,5,"3,880",4.62,1974,11/18/20,451.03,401,1750000,1750000
Flagstaff,SF,4,4,"3,660",0.65,2021,6/5/21,519.13,207,1900000,1900000
Flagstaff,SF,6,4,"4,337",1.6,2008,5/13/21,458.84,230,2100000,1990000
Flagstaff,SF,7,6.5,"6,591",1.86,1991,10/3/21,303.44,87,2200000,2000000
Flagstaff,SF,2,1.5,"1,641",10.9,1976,10/20/21,1218.77,70,2000000,2000000
Flagstaff,SF,4,4,"4,531",2.24,2003,8/20/21,484.44,123,2395000,2195000
Flagstaff,SF,5,4.5,"3,787",1.39,1999,12/2/21,587.54,27,2225000,2225000
Flagstaff,SF,4,4.5,"4,023",0.39,2021,8/17/21,733.28,134,2950000,2950000
Flagstaff,SF,5,4,"5,200",1.36,2017,12/2/21,575.96,27,2995000,2995000
Flagstaff,SF,3,3.5,"4,931",0.72,2004,11/30/21,667.21,29,3290000,3290000
Flagstaff,SF,4,5,"6,100",1.28,2000,10/28/21,606.39,63,3950000,3699000
Flagstaff,SF,5,5.5,"7,184",12.29,1995,8/17/21,695.99,133,5000000,5000000
Flagstaff,SF,5,5.5,"6,538",0.89,2023,12/7/21,825.94,22,5400000,5400000
