Quarter,CurrentTotal,CurrentMen,CurrentWomen,CPI_2013,2013Total,2013Men,2013Women
2004Q1,$629 ,$705 ,$562 ,79.958,$787 ,$882 ,$703 
2004Q2,642,715,576,81.102,792,882,710
2004Q3,635,712,574,81.388,780,875,705
2004Q4,646,720,577,81.875,789,879,705
2005Q1,647,723,580,82.39,785,878,704
2005Q2,647,714,584,83.492,775,855,699
2005Q3,651,723,588,84.508,770,856,696
2005Q4,658,730,588,84.937,775,859,692
2006Q1,662,737,594,85.395,775,863,696
2006Q2,663,732,597,86.84,763,843,687
2006Q3,678,755,603,87.327,776,865,691
2006Q4,681,748,607,86.582,787,864,701
2007Q1,687,752,610,87.465,785,860,697
2007Q2,693,765,610,89.142,777,858,684
2007Q3,698,774,621,89.388,781,866,695
2007Q4,700,774,615,90.024,778,860,683
2008Q1,713,783,633,91.047,783,860,695
2008Q2,722,802,636,93.046,776,862,684
2008Q3,724,802,637,94.128,769,852,677
2008Q4,727,806,647,91.465,795,881,707
2009Q1,732,815,645,91.01,804,896,709
2009Q2,737,818,652,91.975,801,889,709
2009Q3,742,820,664,92.6,801,886,717
2009Q4,747,823,666,92.786,805,887,718
2010Q1,748,836,662,93.159,803,897,711
2010Q2,743,813,670,93.601,794,869,716
2010Q3,745,822,670,93.689,795,877,715
2010Q4,750,826,676,93.965,798,879,719
2011Q1,750,821,679,95.153,788,863,714
2011Q2,754,828,687,96.812,779,855,710
2011Q3,758,837,682,97.208,780,861,702
2011Q4,761,838,686,97.06,784,863,707
2012Q1,765,841,693,97.832,782,860,708
2012Q2,772,867,686,98.642,783,879,695
2012Q3,764,838,693,98.858,773,848,701
2012Q4,772,868,690,98.894,781,878,698
2013Q1,770,860,700,99.477,774,865,704
2013Q2,776,862,705,100.016,776,862,705
2013Q3,778,859,706,100.394,775,856,703
2013Q4,782,862,712,100.113,781,861,711
2014Q1,791,867,716,100.876,784,859,710
