year	cpi
1947	37.5
1948	40.5
1949	40
1950	40.5
1951	43.7
1952	44.5
1953	44.8
1954	45.2
1955	45
1956	45.7
1957	47.2
1958	48.5
1959	48.9
1960	49.7
1961	50.2
1962	50.7
1963	51.4
1964	52.1
1965	52.9
1966	54.4
1967	56.1
1968	58.3
1969	60.9
1970	63.9
1971	66.7
1972	68.7
1973	73
1974	80.3
1975	86.9
1976	91.9
1977	97.7
1978	104.4
1979	114.4
1980	127.1
1981	139.2
1982	147.6
1983	153.9
1984	160.2
1985	165.7
1986	168.7
1987	174.4
1988	180.8
1989	188.6
1990	198
1991	205.1
1992	210.3
1993	215.5
1994	220.1
1995	225.4
1996	231.4
1997	236.4
1998	239.7
1999	244.7
2000	252.9
2001	260
2002	264.2
2003	270.1
2004	277.4
2005	286.7
2006	296.1
2007	304.5
2008	316.2
2009	315
2010	320.2
2011	330.3
