Country Name,Country Code,Region,IncomeGroup,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
Aruba,ABW,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,South Asia,Low income,43.11500168,43.12400055,43.12900162,43.0719986,43.00299835,43.01699829,42.77000046,42.55400085,42.4129982,42.33399963,42.27399826,42.53900146,42.89899826,43.2859993,43.6609993,44.02500153,43.59700012,43.19200134,42.8730011,42.70899963,42.73500061,43.32799911,44.11700058,45.03900146,46.01699829,47.00099945,47.76599884,48.47399902,48.65999985
Angola,AGO,Sub-Saharan Africa,Lower middle income,74.94499969,74.8789978,74.8259964,74.78199768,74.76999664,74.78399658,74.78299713,74.80599976,74.84600067,74.89399719,74.94100189,74.96199799,74.98400116,75.01100159,75.04799652,75.09400177,75.12599945,75.16500092,75.20899963,75.2559967,75.30699921,75.34400177,75.38899994,75.43299866,75.46499634,75.47899628,75.47000122,75.4509964,75.41200256
Albania,ALB,Europe & Central Asia,Upper middle income,53.77099991,56.29600143,56.68700027,55.74700165,54.90399933,53.74599838,53.07500076,53.81200027,53.15399933,52.25400162,51.76900101,51.11000061,50.67900085,49.75899887,48.87799835,48.05099869,47.38899994,46.8030014,46.26900101,44.94499969,45.69300079,47.10400009,48.80599976,44.65000153,44.78900146,47.67599869,47.45899963,47.31200027,47.19100189
Andorra,AND,Europe & Central Asia,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,19.18997384,19.24094029,19.13158606,19.29515143,19.64479203,19.66156277,19.51602337,19.27293307,19.07511087,19.53509532,19.59283551,19.52237381,19.08891526,19.32403151,19.44487942,19.53443783,19.68182805,20.17107447,19.847304,20.0578424,20.1716604,20.27703141,20.46452736,20.76731435,20.70378372,20.51515276,20.6160466,20.56841599,20.58151634
United Arab Emirates,ARE,Middle East & North Africa,High income,28.21199989,28.87899971,29.51199913,30.30900002,30.80800056,31.25900078,31.55900002,31.96199989,32.49000168,33.10200119,33.71900177,34.06900024,34.61999893,35.35499954,36.23199844,37.17300034,38.29299927,39.57500076,41.0019989,42.51499939,44.02899933,45.14300156,46.21300125,47.26300049,48.32300186,49.39599991,50.16199875,51.26699829,51.14899826
Argentina,ARG,Latin America & Caribbean,Upper middle income,43.17499924,44.61000061,46.10100174,47.10800171,48.06200027,48.10599899,48.97600174,50.02199936,50.61000061,50.41999817,50.38299942,50.00299835,48.82300186,49.42699814,50.06000137,49.41999817,49.93799973,49.01800156,48.11899948,48.82300186,47.83300018,48.10200119,48.18799973,47.79000092,47.1570015,47.82500076,48.47999954,49.11800003,48.96699905
Armenia,ARM,Europe & Central Asia,Upper middle income,48.93899918,48.98400116,48.97999954,48.92900085,48.8409996,48.72000122,48.58800125,48.45500183,48.31900024,48.16899872,48,47.86600113,47.7140007,47.57400131,47.49100113,47.49300003,47.54600143,47.68000031,47.69499969,48.29899979,49.5870018,52.09199905,51.96900177,52.63100052,51.9469986,51.16600037,49.44100189,49.41999817,49.57500076
American Samoa,ASM,East Asia & Pacific,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
