Numwords,Numsentences,numsyllable,magazine,education
205,9,34,SciAm,high
203,20,21,SciAm,high
229,18,37,SciAm,high
208,16,31,SciAm,high
146,9,10,SciAm,high
230,16,24,SciAm,high
215,16,39,Fortune,high
153,9,10,Fortune,high
205,11,17,Fortune,high
80,13,18,Fortune,high
208,22,32,Fortune,high
89,16,17,Fortune,high
49,5,3,NewYorker,high
93,18,10,NewYorker,high
46,6,6,NewYorker,high
34,6,5,NewYorker,high
39,5,6,NewYorker,high
88,12,6,NewYorker,high
191,25,13,SportsIll,medium
219,17,22,SportsIll,medium
205,23,25,SportsIll,medium
57,7,3,SportsIll,medium
105,10,5,SportsIll,medium
109,9,2,SportsIll,medium
82,10,9,Newsweek,medium
88,10,3,Newsweek,medium
39,5,0,Newsweek,medium
94,11,4,Newsweek,medium
206,18,29,Newsweek,medium
197,18,26,Newsweek,medium
68,9,5,People,medium
44,9,5,People,medium
203,17,24,People,medium
139,13,15,People,medium
72,11,3,People,medium
67,7,8,People,medium
162,14,16,NationalEQ,low
31,6,9,NationalEQ,low
85,11,10,NationalEQ,low
111,12,3,NationalEQ,low
88,11,12,NationalEQ,low
60,15,10,NationalEQ,low
97,6,10,Grit,low
169,12,11,Grit,low
78,14,12,Grit,low
68,11,13,Grit,low
32,4,1,Grit,low
50,9,9,Grit,low
208,18,43,TrueConf,low
81,12,13,TrueConf,low
83,12,14,TrueConf,low
195,17,32,TrueConf,low
111,11,24,TrueConf,low
208,20,15,TrueConf,low
