person,degree,marijuana
1,bachelor,not legal
2,bachelor,legal
3,graduate,not legal
4,graduate,legal
5,high school,not legal
6,high school,legal
7,junior college,not legal
8,junior college,legal
9,Lt high school,not legal
10,Lt high school,legal
11,bachelor,not legal
12,bachelor,legal
13,graduate,not legal
14,graduate,legal
15,high school,not legal
16,high school,legal
17,junior college,not legal
18,junior college,legal
19,Lt high school,not legal
20,Lt high school,legal
21,bachelor,not legal
22,bachelor,legal
23,graduate,not legal
24,graduate,legal
25,high school,not legal
26,high school,legal
27,junior college,not legal
28,junior college,legal
29,Lt high school,not legal
30,Lt high school,legal
31,bachelor,not legal
32,bachelor,legal
33,graduate,not legal
34,graduate,legal
35,high school,not legal
36,high school,legal
37,junior college,not legal
38,junior college,legal
39,Lt high school,not legal
40,Lt high school,legal
41,bachelor,not legal
42,bachelor,legal
43,graduate,not legal
44,graduate,legal
45,high school,not legal
46,high school,legal
47,junior college,not legal
48,junior college,legal
49,Lt high school,not legal
50,Lt high school,legal
51,bachelor,not legal
52,bachelor,legal
53,graduate,not legal
54,graduate,legal
55,high school,not legal
56,high school,legal
57,junior college,not legal
58,junior college,legal
59,Lt high school,not legal
60,Lt high school,legal
61,bachelor,not legal
62,bachelor,legal
63,graduate,not legal
64,graduate,legal
65,high school,not legal
66,high school,legal
67,junior college,not legal
68,junior college,legal
69,Lt high school,not legal
70,Lt high school,legal
71,bachelor,not legal
72,bachelor,legal
73,graduate,not legal
74,graduate,legal
75,high school,not legal
76,high school,legal
77,junior college,not legal
78,junior college,legal
79,Lt high school,not legal
80,Lt high school,legal
81,bachelor,not legal
82,bachelor,legal
83,graduate,not legal
84,graduate,legal
85,high school,not legal
86,high school,legal
87,junior college,not legal
88,junior college,legal
89,Lt high school,not legal
90,Lt high school,legal
91,bachelor,not legal
92,bachelor,legal
93,graduate,not legal
94,graduate,legal
95,high school,not legal
96,high school,legal
97,junior college,not legal
98,junior college,legal
99,Lt high school,not legal
100,Lt high school,legal
101,bachelor,not legal
102,bachelor,legal
103,graduate,not legal
104,graduate,legal
105,high school,not legal
106,high school,legal
107,junior college,not legal
108,junior college,legal
109,Lt high school,not legal
110,Lt high school,legal
111,bachelor,not legal
112,bachelor,legal
113,graduate,not legal
114,graduate,legal
115,high school,not legal
116,high school,legal
117,junior college,not legal
118,junior college,legal
119,Lt high school,not legal
120,Lt high school,legal
121,bachelor,not legal
122,bachelor,legal
123,graduate,not legal
124,graduate,legal
125,high school,not legal
126,high school,legal
127,junior college,not legal
128,junior college,legal
129,Lt high school,not legal
130,Lt high school,legal
131,bachelor,not legal
132,bachelor,legal
133,graduate,not legal
134,graduate,legal
135,high school,not legal
136,high school,legal
137,junior college,not legal
138,junior college,legal
139,Lt high school,not legal
140,Lt high school,legal
141,bachelor,not legal
142,bachelor,legal
143,graduate,not legal
144,graduate,legal
145,high school,not legal
146,high school,legal
147,junior college,not legal
148,junior college,legal
149,Lt high school,not legal
150,Lt high school,legal
151,bachelor,not legal
152,bachelor,legal
153,graduate,not legal
154,graduate,legal
155,high school,not legal
156,high school,legal
157,junior college,not legal
158,junior college,legal
159,Lt high school,not legal
160,Lt high school,legal
161,bachelor,not legal
162,bachelor,legal
163,graduate,not legal
164,graduate,legal
165,high school,not legal
166,high school,legal
167,junior college,not legal
168,junior college,legal
169,Lt high school,not legal
170,Lt high school,legal
171,bachelor,not legal
172,bachelor,legal
173,graduate,not legal
174,graduate,legal
175,high school,not legal
176,high school,legal
177,junior college,not legal
178,junior college,legal
179,Lt high school,not legal
180,Lt high school,legal
181,bachelor,not legal
182,bachelor,legal
183,graduate,not legal
184,graduate,legal
185,high school,not legal
186,high school,legal
187,junior college,not legal
188,junior college,legal
189,Lt high school,not legal
190,Lt high school,legal
191,bachelor,not legal
192,bachelor,legal
193,graduate,not legal
194,graduate,legal
195,high school,not legal
196,high school,legal
197,junior college,not legal
198,junior college,legal
199,Lt high school,not legal
200,Lt high school,legal
201,bachelor,not legal
202,bachelor,legal
203,graduate,not legal
204,graduate,legal
205,high school,not legal
206,high school,legal
207,junior college,not legal
208,junior college,legal
209,Lt high school,not legal
210,Lt high school,legal
211,bachelor,not legal
212,bachelor,legal
213,graduate,not legal
214,graduate,legal
215,high school,not legal
216,high school,legal
217,junior college,not legal
218,junior college,legal
219,Lt high school,not legal
220,Lt high school,legal
221,bachelor,not legal
222,bachelor,legal
223,graduate,not legal
224,graduate,legal
225,high school,not legal
226,high school,legal
227,junior college,not legal
228,junior college,legal
229,Lt high school,not legal
230,Lt high school,legal
231,bachelor,not legal
232,bachelor,legal
233,graduate,not legal
234,graduate,legal
235,high school,not legal
236,high school,legal
237,junior college,not legal
238,junior college,legal
239,Lt high school,not legal
240,Lt high school,legal
241,bachelor,not legal
242,bachelor,legal
243,graduate,not legal
244,graduate,legal
245,high school,not legal
246,high school,legal
247,junior college,not legal
248,junior college,legal
249,Lt high school,not legal
250,Lt high school,legal
251,bachelor,not legal
252,bachelor,legal
253,graduate,not legal
254,graduate,legal
255,high school,not legal
256,high school,legal
257,junior college,not legal
258,junior college,legal
259,Lt high school,not legal
260,Lt high school,legal
261,bachelor,not legal
262,bachelor,legal
263,graduate,not legal
264,graduate,legal
265,high school,not legal
266,high school,legal
267,junior college,not legal
268,junior college,legal
269,Lt high school,not legal
270,Lt high school,legal
271,bachelor,not legal
272,bachelor,legal
273,graduate,not legal
274,graduate,legal
275,high school,not legal
276,high school,legal
277,junior college,not legal
278,junior college,legal
279,Lt high school,not legal
280,Lt high school,legal
281,bachelor,not legal
282,bachelor,legal
283,graduate,not legal
284,graduate,legal
285,high school,not legal
286,high school,legal
287,junior college,not legal
288,junior college,legal
289,Lt high school,not legal
290,Lt high school,legal
291,bachelor,not legal
292,bachelor,legal
293,graduate,not legal
294,graduate,legal
295,high school,not legal
296,high school,legal
297,junior college,not legal
298,junior college,legal
299,Lt high school,not legal
300,Lt high school,legal
301,bachelor,not legal
302,bachelor,legal
303,graduate,not legal
304,graduate,legal
305,high school,not legal
306,high school,legal
307,junior college,not legal
308,junior college,legal
309,Lt high school,not legal
310,Lt high school,legal
311,bachelor,not legal
312,bachelor,legal
313,graduate,not legal
314,graduate,legal
315,high school,not legal
316,high school,legal
317,junior college,not legal
318,junior college,legal
319,Lt high school,not legal
320,Lt high school,legal
321,bachelor,not legal
322,bachelor,legal
323,graduate,not legal
324,graduate,legal
325,high school,not legal
326,high school,legal
327,junior college,not legal
328,junior college,legal
329,Lt high school,not legal
330,Lt high school,legal
331,bachelor,not legal
332,bachelor,legal
333,graduate,not legal
334,graduate,legal
335,high school,not legal
336,high school,legal
337,junior college,not legal
338,junior college,legal
339,Lt high school,not legal
340,Lt high school,legal
341,bachelor,not legal
342,bachelor,legal
343,graduate,not legal
344,graduate,legal
345,high school,not legal
346,high school,legal
347,junior college,not legal
348,junior college,legal
349,Lt high school,not legal
350,Lt high school,legal
351,bachelor,not legal
352,bachelor,legal
353,graduate,not legal
354,graduate,legal
355,high school,not legal
356,high school,legal
357,junior college,not legal
358,junior college,legal
359,Lt high school,not legal
360,Lt high school,legal
361,bachelor,not legal
362,bachelor,legal
363,graduate,not legal
364,graduate,legal
365,high school,not legal
366,high school,legal
367,junior college,not legal
368,junior college,legal
369,Lt high school,not legal
370,Lt high school,legal
371,bachelor,not legal
372,bachelor,legal
373,graduate,not legal
374,graduate,legal
375,high school,not legal
376,high school,legal
377,junior college,not legal
378,junior college,legal
379,Lt high school,not legal
380,Lt high school,legal
381,bachelor,not legal
382,bachelor,legal
383,graduate,not legal
384,graduate,legal
385,high school,not legal
386,high school,legal
387,junior college,not legal
388,junior college,legal
389,Lt high school,not legal
390,Lt high school,legal
391,bachelor,not legal
392,bachelor,legal
393,graduate,not legal
394,graduate,legal
395,high school,not legal
396,high school,legal
397,junior college,not legal
398,junior college,legal
399,Lt high school,not legal
400,Lt high school,legal
401,bachelor,not legal
402,bachelor,legal
403,graduate,not legal
404,graduate,legal
405,high school,not legal
406,high school,legal
407,junior college,not legal
408,junior college,legal
409,Lt high school,not legal
410,Lt high school,legal
411,bachelor,not legal
412,bachelor,legal
413,graduate,not legal
414,graduate,legal
415,high school,not legal
416,high school,legal
417,junior college,not legal
418,junior college,legal
419,Lt high school,not legal
420,Lt high school,legal
421,bachelor,not legal
422,bachelor,legal
423,graduate,not legal
424,graduate,legal
425,high school,not legal
426,high school,legal
427,junior college,not legal
428,Lt high school,not legal
429,Lt high school,legal
430,bachelor,not legal
431,bachelor,legal
432,graduate,not legal
433,graduate,legal
434,high school,not legal
435,high school,legal
436,junior college,not legal
437,Lt high school,not legal
438,Lt high school,legal
439,bachelor,not legal
440,bachelor,legal
441,graduate,not legal
442,graduate,legal
443,high school,not legal
444,high school,legal
445,Lt high school,not legal
446,Lt high school,legal
447,bachelor,not legal
448,bachelor,legal
449,graduate,not legal
450,graduate,legal
451,high school,not legal
452,high school,legal
453,Lt high school,not legal
454,Lt high school,legal
455,bachelor,not legal
456,bachelor,legal
457,graduate,not legal
458,graduate,legal
459,high school,not legal
460,high school,legal
461,Lt high school,not legal
462,Lt high school,legal
463,bachelor,not legal
464,bachelor,legal
465,graduate,not legal
466,graduate,legal
467,high school,not legal
468,high school,legal
469,Lt high school,not legal
470,Lt high school,legal
471,bachelor,not legal
472,bachelor,legal
473,graduate,not legal
474,graduate,legal
475,high school,not legal
476,high school,legal
477,Lt high school,not legal
478,Lt high school,legal
479,bachelor,not legal
480,bachelor,legal
481,graduate,not legal
482,graduate,legal
483,high school,not legal
484,high school,legal
485,Lt high school,not legal
486,Lt high school,legal
487,bachelor,not legal
488,bachelor,legal
489,graduate,not legal
490,graduate,legal
491,high school,not legal
492,high school,legal
493,Lt high school,not legal
494,Lt high school,legal
495,bachelor,not legal
496,bachelor,legal
497,graduate,not legal
498,graduate,legal
499,high school,not legal
500,high school,legal
501,Lt high school,not legal
502,Lt high school,legal
503,bachelor,not legal
504,bachelor,legal
505,graduate,not legal
506,graduate,legal
507,high school,not legal
508,high school,legal
509,Lt high school,not legal
510,Lt high school,legal
511,bachelor,not legal
512,bachelor,legal
513,graduate,not legal
514,graduate,legal
515,high school,not legal
516,high school,legal
517,Lt high school,not legal
518,Lt high school,legal
519,bachelor,not legal
520,bachelor,legal
521,graduate,not legal
522,graduate,legal
523,high school,not legal
524,high school,legal
525,Lt high school,not legal
526,Lt high school,legal
527,bachelor,not legal
528,bachelor,legal
529,graduate,not legal
530,graduate,legal
531,high school,not legal
532,high school,legal
533,Lt high school,not legal
534,Lt high school,legal
535,bachelor,not legal
536,bachelor,legal
537,graduate,not legal
538,graduate,legal
539,high school,not legal
540,high school,legal
541,Lt high school,not legal
542,Lt high school,legal
543,bachelor,not legal
544,bachelor,legal
545,graduate,not legal
546,graduate,legal
547,high school,not legal
548,high school,legal
549,Lt high school,not legal
550,Lt high school,legal
551,bachelor,not legal
552,bachelor,legal
553,graduate,not legal
554,graduate,legal
555,high school,not legal
556,high school,legal
557,Lt high school,not legal
558,Lt high school,legal
559,bachelor,not legal
560,bachelor,legal
561,graduate,not legal
562,graduate,legal
563,high school,not legal
564,high school,legal
565,Lt high school,not legal
566,Lt high school,legal
567,bachelor,not legal
568,bachelor,legal
569,graduate,not legal
570,graduate,legal
571,high school,not legal
572,high school,legal
573,Lt high school,not legal
574,Lt high school,legal
575,bachelor,not legal
576,bachelor,legal
577,graduate,not legal
578,graduate,legal
579,high school,not legal
580,high school,legal
581,Lt high school,not legal
582,Lt high school,legal
583,bachelor,not legal
584,bachelor,legal
585,graduate,not legal
586,graduate,legal
587,high school,not legal
588,high school,legal
589,Lt high school,not legal
590,Lt high school,legal
591,bachelor,not legal
592,bachelor,legal
593,graduate,legal
594,high school,not legal
595,high school,legal
596,Lt high school,not legal
597,Lt high school,legal
598,bachelor,not legal
599,bachelor,legal
600,graduate,legal
601,high school,not legal
602,high school,legal
603,Lt high school,not legal
604,Lt high school,legal
605,bachelor,not legal
606,bachelor,legal
607,graduate,legal
608,high school,not legal
609,high school,legal
610,Lt high school,not legal
611,bachelor,not legal
612,bachelor,legal
613,graduate,legal
614,high school,not legal
615,high school,legal
616,Lt high school,not legal
617,bachelor,not legal
618,bachelor,legal
619,graduate,legal
620,high school,not legal
621,high school,legal
622,Lt high school,not legal
623,bachelor,not legal
624,bachelor,legal
625,graduate,legal
626,high school,not legal
627,high school,legal
628,Lt high school,not legal
629,bachelor,not legal
630,bachelor,legal
631,graduate,legal
632,high school,not legal
633,high school,legal
634,Lt high school,not legal
635,bachelor,not legal
636,bachelor,legal
637,graduate,legal
638,high school,not legal
639,high school,legal
640,Lt high school,not legal
641,bachelor,not legal
642,bachelor,legal
643,graduate,legal
644,high school,not legal
645,high school,legal
646,Lt high school,not legal
647,bachelor,not legal
648,bachelor,legal
649,graduate,legal
650,high school,not legal
651,high school,legal
652,Lt high school,not legal
653,bachelor,not legal
654,bachelor,legal
655,high school,not legal
656,high school,legal
657,Lt high school,not legal
658,bachelor,not legal
659,bachelor,legal
660,high school,not legal
661,high school,legal
662,Lt high school,not legal
663,bachelor,not legal
664,bachelor,legal
665,high school,not legal
666,high school,legal
667,Lt high school,not legal
668,bachelor,not legal
669,bachelor,legal
670,high school,not legal
671,high school,legal
672,Lt high school,not legal
673,bachelor,not legal
674,bachelor,legal
675,high school,not legal
676,high school,legal
677,Lt high school,not legal
678,bachelor,not legal
679,bachelor,legal
680,high school,not legal
681,high school,legal
682,Lt high school,not legal
683,bachelor,not legal
684,bachelor,legal
685,high school,not legal
686,high school,legal
687,Lt high school,not legal
688,bachelor,not legal
689,bachelor,legal
690,high school,not legal
691,high school,legal
692,Lt high school,not legal
693,bachelor,not legal
694,bachelor,legal
695,high school,not legal
696,high school,legal
697,Lt high school,not legal
698,bachelor,not legal
699,bachelor,legal
700,high school,not legal
701,high school,legal
702,Lt high school,not legal
703,bachelor,not legal
704,bachelor,legal
705,high school,not legal
706,high school,legal
707,Lt high school,not legal
708,bachelor,not legal
709,bachelor,legal
710,high school,not legal
