state	legality
Alabama	medical
Alaska	legal
Arizona	medical
Arkansas	medical
California	legal
Colorado	legal
Connecticut	medical
Delaware	decriminalized
Florida	medical
Georgia	medical
Hawaii	medical
Idaho	misdemeanor
Illinois	decriminalized
Indiana	medical
Iowa	medical
Kansas	misdemeanor
Kentucky	misdemeanor
Louisiana	medical
Maine	legal
Maryland	decriminalized
Massochusetts	legal
Michigan	medical
Minnesota	decriminalized
Mississippi	decriminalized
Missouri	misdemeanor
Montana	medical
Nebraska	decriminalized
Nevada	legal
New Hampshire	decriminalized
New Jersey	medical
New Mexico	medical
New York	decriminalized
North Carolina	decriminalized
Ohio	decriminalized
Oklahoma	medical
Oregon	legal
Pennsylvania	medical
Rhode Island	decriminalized
South Dakota	misdemeanor
Tennessee	medical_limited
Texas	medical_limited
Utah	misdemeanor
Vermont	legal
Virgina	misdemeanor
Washington	legal
West Virginia	medical
Wisconsin	medical_limited
Wyoming	medical_limited
