country,samesex
Belgium,mariage
Cenmark,mariage
Finland,mariage
France,mariage
Germany,mariage
Iceland,mariage
Irleand,mariage
Luxembuoug,mariage
Malta,mariage
Mnetherlands,mariage
Normway,mariage
Portugal,mariage
Spain,mariage
Sweden,mariage
UK,mariage
Austria,mariage
Andorra,civilunion
Croatia,civilunion
Cyprus,civilunion
Czech_Republic,civilunion
Estonia,civilunion
Creece,civilunion
Hungry,civilunion
Liechtenstein,civilunion
Slovenia,civilunion
Sweitzerland,civilunion
San_Marino,cohabitation
Earmenia,recognizes
Estonia,recognizes
Slovakia,recognizes
Armenia,recognizes
Belarus,none
Bulgaria,none
Croatia,partnerships
Gerorgia,none
Hungary,partnerships
Latvia,none
Lithuania,none
Moldova,none
Poland,none
Serbia,none
Slovakia,none
Ukraine,none
