country,prenatal,percent
Burkina Faso,yes,60.7
Bahamas,yes,87
Belarus,yes,99.9
Belize,yes,95.9
Barbados,yes,89
China,yes,89.3
Cote dlvoire,yes,84.3
Costa Rica,yes,69.6
Dominica,yes,99.9
Georgia,yes,95.3
Guinea,yes,70.7
Grenada,yes,98
Guatemala,yes,59.6
India,yes,65.1
Jamaica,yes,98.4
Kazakhstan,yes,94.4
Nigeria,yes,63.6
Oman,yes,96
Pakistan,yes,24.8
Somalia,yes,32.3
Turks and Caicos Islands,yes,100
Trinidad and Tobago,yes,93
Tanzania,yes,48.8
St. Vincent and the Grenadines,yes,91.8
Zambia,yes,83.1
Zimbabwe,yes,93.1
