wine,pricefrys,pricetw
stella rosa black,12.99,9.89
Kendall Jackson vintners reserve ,11.99,10.47
LaMarca Prosecco ,13.99,12.97
Moet & Chandon champagne ,53.99,39.97
Menage a trois red ,8.99,7.97
Apotheic red ,8.99,7.97
19 crimes red ,8.99,8.47
14 hands red ,7.99,7.77
Josh sellers red ,13.99,11.69
Barefoot red moscato ,5.5,4.47
1000 stories red blend ,14.99,16.19
Dark horse red blend ,7.99,6.29
Bonterra cabernet sauvignon ,11.99,9.89
Chateau ste michelle riesling ,14.99,17.99
Beringer California chardonnay ,4.5,4.04
Clos du Bois pinot grigio ,9.99,7.47
Chocovine chocolate wine ,9.99,8.09
Fetzer gewurztraminer ,5.5,5.47
Cupcakes vineyards rose ,7.99,7.19
Oyster Bay Sauvignon Blanc ,11.99,9.97
White Haven Sauvignon Blanc,16.99,14.97
Nobilo Sauvignon Blanc ,9.99,7.49
Bella sera pinot grigio ,11.99,8.99
La Crema Pinot Noir,27.99,18.67
Hahn Estates Pinot Noir ,12.99,10.79
