height,weight,age,gender,smokes,alcohol,exercise,ran,pulse_before,pulse_after,year,diffbefafter
170,68,22,male,yes,yes,moderate,sat,70,71,93,-1
182,75,26,male,yes,yes,moderate,sat,80,76,93,4
180,85,19,male,yes,yes,moderate,ran,68,125,95,-57
182,85,20,male,yes,yes,low,sat,70,68,95,2
167,70,22,male,yes,yes,low,sat,92,84,96,8
178,86,21,male,yes,yes,low,sat,76,80,98,-4
170,58,21,male,yes,yes,moderate,sat,90,84,98,6
184,65,21,male,yes,no,moderate,sat,65,67,95,-2
195,84,18,male,no,yes,high,sat,71,73,93,-2
184,74,22,male,no,yes,low,ran,78,141,93,-63
168,60,23,male,no,yes,moderate,ran,88,150,93,-62
170,75,20,male,no,yes,high,ran,76,88,93,-12
187,59,18,male,no,yes,high,sat,78,82,93,-4
180,72,18,male,no,yes,moderate,sat,69,67,93,2
185,110,22,male,no,yes,low,sat,77,73,93,4
180,70,18,male,no,yes,moderate,ran,80,146,93,-66
170,60,18,male,no,yes,moderate,sat,62,59,95,3
189,60,19,male,no,yes,moderate,ran,78,168,95,-90
175,75,20,male,no,yes,moderate,ran,59,92,95,-33
175,65,19,male,no,yes,moderate,ran,60,104,95,-44
175,66,20,male,no,yes,moderate,sat,66,68,95,-2
178,63,23,male,no,yes,low,sat,84,90,95,-6
183,73,20,male,no,yes,moderate,sat,63,65,96,-2
182,63,20,male,no,yes,high,ran,56,110,96,-54
173,70,20,male,no,yes,high,ran,64,126,96,-62
182,85,20,male,no,yes,high,sat,60,56,96,4
180,75,20,male,no,yes,moderate,ran,65,82,96,-17
188,87,20,male,no,yes,high,ran,50,90,96,-40
180,102,20,male,no,yes,moderate,sat,76,72,96,4
180,80,21,male,no,yes,moderate,sat,80,80,96,0
182,98,19,male,no,yes,moderate,ran,76,150,96,-74
186,87,23,male,no,yes,high,ran,49,83,97,-34
179,80,20,male,no,yes,moderate,ran,145,155,97,-10
191,78,19,male,no,yes,high,ran,68,136,97,-68
167,63,28,male,no,yes,moderate,sat,72,68,97,4
194,95,18,male,no,yes,moderate,ran,84,140,97,-56
175,78.5,19,male,no,yes,low,ran,85,131,97,-46
186,96,19,male,no,yes,low,ran,78,132,97,-54
182,60,22,male,no,yes,low,sat,86,84,98,2
170,65,18,male,no,yes,high,sat,69,64,98,5
185,85,19,male,no,yes,moderate,sat,75,68,98,7
178,58,19,male,no,no,low,sat,74,76,93,-2
170,56,19,male,no,no,low,sat,64,63,93,1
175,60,19,male,no,no,low,sat,88,86,93,2
176,59,19,male,no,no,moderate,sat,68,69,93,-1
185,90,18,male,no,no,low,ran,80,140,95,-60
169,68,19,male,no,no,moderate,sat,58,58,95,0
178,62,21,male,no,no,low,sat,70,74,96,-4
190,82,19,male,no,no,moderate,sat,76,73,97,3
172,53,20,male,no,no,low,ran,72,136,97,-64
170,58.5,20,male,no,no,low,sat,80,82,97,-2
171,71,41,male,no,no,low,sat,52,60,97,-8
180,76,21,male,no,no,high,sat,74,72,97,2
194,110,25,male,no,no,moderate,sat,75,75,97,0
192,105,21,male,no,no,moderate,sat,80,73,97,7
189,88,45,male,no,no,moderate,sat,74,72,97,2
180,65,20,male,no,no,moderate,ran,88,144,98,-56
68,63,19,male,no,no,moderate,ran,88,136,98,-48
179,80,20,male,no,no,moderate,ran,76,168,98,-92
165,60,19,female,yes,yes,low,ran,88,120,98,-32
163,47,23,female,yes,yes,low,ran,71,125,98,-54
166,56,21,female,yes,no,moderate,sat,83,79,93,4
173,57,18,female,no,yes,moderate,sat,86,88,93,-2
179,58,19,female,no,yes,moderate,ran,82,150,93,-68
167,62,18,female,no,yes,high,ran,96,176,93,-80
173,64,18,female,no,yes,low,sat,90,88,93,2
162,57,20,female,no,yes,moderate,sat,68,72,93,-4
169,55,18,female,no,yes,moderate,sat,71,77,93,-6
164,56,19,female,no,yes,high,sat,68,68,93,0
178,56,21,female,no,yes,moderate,ran,86,150,95,-64
165,63,18,female,no,yes,moderate,sat,84,84,95,0
155,49,18,female,no,yes,moderate,sat,104,92,95,12
170,60,19,female,no,yes,moderate,sat,80,80,95,0
162,60,19,female,no,yes,moderate,sat,66,60,95,6
174,60,19,female,no,yes,low,ran,66,89,96,-23
167,75,20,female,no,yes,moderate,sat,65,67,96,-2
171,67,18,female,no,yes,low,sat,76,74,96,2
166,50,19,female,no,yes,low,ran,76,132,96,-56
175,57,20,female,no,yes,moderate,ran,72,115,96,-43
163,51,18,female,no,yes,low,ran,70,120,97,-50
172,59,18,female,no,yes,moderate,ran,78,129,97,-51
162,50,19,female,no,yes,moderate,ran,90,160,97,-70
175,54,18,female,no,yes,moderate,sat,61,59,97,2
165,58,23,female,no,yes,low,sat,64,68,98,-4
170,62,20,female,no,yes,moderate,sat,64,64,98,0
155,55,20,female,no,yes,high,sat,82,87,98,-5
170,63,20,female,no,yes,low,ran,92,120,98,-28
155,50,19,female,no,no,moderate,sat,78,79,93,-1
140,50,34,female,no,no,low,ran,70,98,93,-28
163,55,20,female,no,no,low,sat,78,74,93,4
177,74,18,female,no,no,moderate,ran,70,96,93,-26
172,60,21,female,no,no,low,sat,81,79,95,2
160,57,19,female,no,no,moderate,ran,75,130,95,-55
164,66,23,female,no,no,low,ran,74,168,95,-94
163,55,20,female,no,no,moderate,ran,70,119,95,-49
164,46,18,female,no,no,moderate,sat,104,96,95,8
171,70,26,female,no,no,moderate,sat,76,76,95,0
157,41,20,female,no,no,moderate,ran,70,95,96,-25
158,51,18,female,no,no,moderate,ran,68,84,96,-16
160,49,19,female,no,no,low,sat,80,72,96,8
180,77,18,female,no,no,moderate,ran,47,136,96,-89
164,54,18,female,no,no,low,sat,80,76,96,4
151,42,22,female,no,no,low,ran,85,130,97,-45
165,48,19,female,no,no,low,sat,83,84,97,-1
170,53.5,20,female,no,no,low,sat,60,62,97,-2
164,78,28,female,no,no,moderate,ran,64,120,98,-56
168,55,24,female,no,no,moderate,sat,74,70,98,4
93,27,19,female,no,no,low,sat,119,120,98,-1
161,43,19,female,no,no,low,sat,90,89,98,1
