Income	Housing
51574	125500
67712	250000
47826	167500
40112	111400
58328	385500
56765	247800
67276	270500
58415	231500
45040	159000
47209	148100
66529	515300
45589	162900
55137	173800
46974	124200
50957	129200
50241	132000
41724	123200
42944	144100
46709	173800
71122	286900
65339	333100
46859	122400
58906	186200
37095	103100
45321	138400
45076	193500
50723	133200
49760	173700
63280	237300
69667	315900
42558	160300
56448	283400
45150	154900
53585	153800
46829	129900
44312	117900
49161	237300
51230	166000
54554	238000
43107	139900
48362	140500
42764	142100
50740	136000
57049	215900
52977	217500
61741	245000
57573	259500
40196	103800
51059	165800
54901	194800
